D	ix	dance	full_title	count	title	opus	no	path
128	0	deutscher	12 Wiener Deutsche D 128	12	Wiener Deutsche		1	128/D128deutscher01.mscx
128	1	deutscher	12 Wiener Deutsche D 128	12	Wiener Deutsche		2	128/D128deutscher02.mscx
128	2	deutscher	12 Wiener Deutsche D 128	12	Wiener Deutsche		3	128/D128deutscher03.mscx
128	3	deutscher	12 Wiener Deutsche D 128	12	Wiener Deutsche		4	128/D128deutscher04.mscx
128	4	deutscher	12 Wiener Deutsche D 128	12	Wiener Deutsche		5	128/D128deutscher05.mscx
128	5	deutscher	12 Wiener Deutsche D 128	12	Wiener Deutsche		6	128/D128deutscher06.mscx
128	6	deutscher	12 Wiener Deutsche D 128	12	Wiener Deutsche		7	128/D128deutscher07.mscx
128	7	deutscher	12 Wiener Deutsche D 128	12	Wiener Deutsche		8	128/D128deutscher08.mscx
128	8	deutscher	12 Wiener Deutsche D 128	12	Wiener Deutsche		9	128/D128deutscher09.mscx
128	9	deutscher	12 Wiener Deutsche D 128	12	Wiener Deutsche		10	128/D128deutscher10.mscx
128	10	deutscher	12 Wiener Deutsche D 128	12	Wiener Deutsche		11	128/D128deutscher11.mscx
128	11	deutscher	12 Wiener Deutsche D 128	12	Wiener Deutsche		12	128/D128deutscher12.mscx
139	0	deutscher	Deutscher D 139	1	Deutscher		1	139/D139deutscher01.mscx
145	0	walzer	12 Walzer op. 18 D 145	12	Walzer	op. 18	1	145/D145walzer01.mscx
145	0	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	1	145/D145ländler01.mscx
145	0	ecossaise	9 Ecossaisen op. 18 D 145	9	Ecossaisen	op. 18	1	145/D145ecossaise01.mscx
145	1	walzer	12 Walzer op. 18 D 145	12	Walzer	op. 18	2	145/D145walzer02.mscx
145	1	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	2	145/D145ländler02.mscx
145	1	ecossaise	9 Ecossaisen op. 18 D 145	9	Ecossaisen	op. 18	2	145/D145ecossaise02.mscx
145	2	walzer	12 Walzer op. 18 D 145	12	Walzer	op. 18	3	145/D145walzer03.mscx
145	2	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	3	145/D145ländler03.mscx
145	2	ecossaise	9 Ecossaisen op. 18 D 145	9	Ecossaisen	op. 18	3	145/D145ecossaise03.mscx
145	3	walzer	12 Walzer op. 18 D 145	12	Walzer	op. 18	4	145/D145walzer04.mscx
145	3	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	4	145/D145ländler04.mscx
145	3	ecossaise	9 Ecossaisen op. 18 D 145	9	Ecossaisen	op. 18	4	145/D145ecossaise04.mscx
145	4	walzer	12 Walzer op. 18 D 145	12	Walzer	op. 18	5	145/D145walzer05.mscx
145	4	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	5	145/D145ländler05.mscx
145	4	ecossaise	9 Ecossaisen op. 18 D 145	9	Ecossaisen	op. 18	5	145/D145ecossaise05.mscx
145	5	walzer	12 Walzer op. 18 D 145	12	Walzer	op. 18	6	145/D145walzer06.mscx
145	5	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	6	145/D145ländler06.mscx
145	5	ecossaise	9 Ecossaisen op. 18 D 145	9	Ecossaisen	op. 18	6	145/D145ecossaise06.mscx
145	6	walzer	12 Walzer op. 18 D 145	12	Walzer	op. 18	7	145/D145walzer07.mscx
145	6	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	7	145/D145ländler07.mscx
145	6	ecossaise	9 Ecossaisen op. 18 D 145	9	Ecossaisen	op. 18	7	145/D145ecossaise07.mscx
145	7	walzer	12 Walzer op. 18 D 145	12	Walzer	op. 18	8	145/D145walzer08.mscx
145	7	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	8	145/D145ländler08.mscx
145	7	ecossaise	9 Ecossaisen op. 18 D 145	9	Ecossaisen	op. 18	8	145/D145ecossaise08.mscx
145	8	walzer	12 Walzer op. 18 D 145	12	Walzer	op. 18	9	145/D145walzer09.mscx
145	8	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	9	145/D145ländler09.mscx
145	8	ecossaise	9 Ecossaisen op. 18 D 145	9	Ecossaisen	op. 18	9	145/D145ecossaise09.mscx
145	9	walzer	12 Walzer op. 18 D 145	12	Walzer	op. 18	10	145/D145walzer10.mscx
145	9	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	10	145/D145ländler10.mscx
145	10	walzer	12 Walzer op. 18 D 145	12	Walzer	op. 18	11	145/D145walzer11.mscx
145	10	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	11	145/D145ländler11.mscx
145	11	walzer	12 Walzer op. 18 D 145	12	Walzer	op. 18	12	145/D145walzer12.mscx
145	11	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	12	145/D145ländler12.mscx
145	12	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	13	145/D145ländler13.mscx
145	13	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	14	145/D145ländler14.mscx
145	14	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	15	145/D145ländler15.mscx
145	15	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	16	145/D145ländler16.mscx
145	16	ländler	17 Ländler op. 18 D 145	17	Ländler	op. 18	17	145/D145ländler17.mscx
146	0	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	1	146/D146walzer01a.mscx
146	0	trio	11+1 Trios op. post. 127 D 146	11+1	Trio	op. post. 127	1	146/D146trio01b.mscx
146	1	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	2	146/D146walzer02.mscx
146	1	trio	11+1 Trios op. post. 127 D 146	11+1	Trio	op. post. 127	3	146/D146trio03b.mscx
146	2	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	3	146/D146walzer03a.mscx
146	2	alternative_trio	11+1 Trios op. post. 127 D 146	11+1	alternative_trio	op. post. 127	3	146/D146alternative_trio03b.mscx
146	3	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	4	146/D146walzer04a.mscx
146	3	trio	11+1 Trios op. post. 127 D 146	11+1	Trio	op. post. 127	4	146/D146trio04b.mscx
146	4	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	5	146/D146walzer05a.mscx
146	4	trio	11+1 Trios op. post. 127 D 146	11+1	Trio	op. post. 127	5	146/D146trio05b.mscx
146	5	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	6	146/D146walzer06a.mscx
146	5	trio	11+1 Trios op. post. 127 D 146	11+1	Trio	op. post. 127	6	146/D146trio06b.mscx
146	6	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	7	146/D146walzer07a.mscx
146	6	trio	11+1 Trios op. post. 127 D 146	11+1	Trio	op. post. 127	7	146/D146trio07b.mscx
146	7	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	8	146/D146walzer08a.mscx
146	7	trio	11+1 Trios op. post. 127 D 146	11+1	Trio	op. post. 127	8	146/D146trio08b.mscx
146	8	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	9	146/D146walzer09a.mscx
146	8	trio	11+1 Trios op. post. 127 D 146	11+1	Trio	op. post. 127	9	146/D146trio09b.mscx
146	9	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	10	146/D146walzer10a.mscx
146	9	trio	11+1 Trios op. post. 127 D 146	11+1	Trio	op. post. 127	10	146/D146trio10b.mscx
146	10	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	11	146/D146walzer11a.mscx
146	10	trio	11+1 Trios op. post. 127 D 146	11+1	Trio	op. post. 127	11	146/D146trio11b.mscx
146	11	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	12	146/D146walzer12.mscx
146	11	trio	11+1 Trios op. post. 127 D 146	11+1	Trio	op. post. 127	20	146/D146trio20b.mscx
146	12	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	13	146/D146walzer13.mscx
146	13	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	14	146/D146walzer14.mscx
146	14	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	15	146/D146walzer15.mscx
146	15	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	16	146/D146walzer16.mscx
146	16	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	17	146/D146walzer17.mscx
146	17	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	18	146/D146walzer18.mscx
146	18	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	19	146/D146walzer19.mscx
146	19	walzer	20 Letzte Walzer op. post. 127 D 146	20	Letzte Walzer	op. post. 127	20	146/D146walzer20a.mscx
158	0	ecossaise	Ecossaise D 158	1	Ecossaise		1	158/D158ecossaise01.mscx
299	0	ecossaise	12 Ecossaisen D 299	12	Ecossaisen		1	299/D299ecossaise01.mscx
299	1	ecossaise	12 Ecossaisen D 299	12	Ecossaisen		2	299/D299ecossaise02.mscx
299	2	ecossaise	12 Ecossaisen D 299	12	Ecossaisen		3	299/D299ecossaise03.mscx
299	3	ecossaise	12 Ecossaisen D 299	12	Ecossaisen		4	299/D299ecossaise04.mscx
299	4	ecossaise	12 Ecossaisen D 299	12	Ecossaisen		5	299/D299ecossaise05.mscx
299	5	ecossaise	12 Ecossaisen D 299	12	Ecossaisen		6	299/D299ecossaise06.mscx
299	6	ecossaise	12 Ecossaisen D 299	12	Ecossaisen		7	299/D299ecossaise07.mscx
299	7	ecossaise	12 Ecossaisen D 299	12	Ecossaisen		8	299/D299ecossaise08.mscx
299	8	ecossaise	12 Ecossaisen D 299	12	Ecossaisen		9	299/D299ecossaise09.mscx
299	9	ecossaise	12 Ecossaisen D 299	12	Ecossaisen		10	299/D299ecossaise10.mscx
299	10	ecossaise	12 Ecossaisen D 299	12	Ecossaisen		11	299/D299ecossaise11.mscx
299	11	ecossaise	12 Ecossaisen D 299	12	Ecossaisen		12	299/D299ecossaise12.mscx
334	0	menuett	Menuett D 334	1	Menuett		1	334/D334menuett01a.mscx
334	0	trio	1 Trio D 334	1	Trio		1	334/D334trio01b.mscx
335	0	menuett	Menuett D 335	1	Menuett		1	335/D335menuett01a.mscx
335	0	trioi	1*II Trios D 335	1*II	TrioI		1	335/D335trioI01b.mscx
335	1	trioii	1*II Trios D 335	1*II	TrioII		1	335/D335trioII01c.mscx
336	0	menuett	Menuett D 336	1	Menuett		1	336/D336menuett01a.mscx
336	0	trio	1 Trio D 336	1	Trio		1	336/D336trio01b.mscx
365	0	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	1	365/D365walzer01.mscx
365	1	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	2	365/D365walzer02.mscx
365	2	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	3	365/D365walzer03.mscx
365	3	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	4	365/D365walzer04.mscx
365	4	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	5	365/D365walzer05.mscx
365	5	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	6	365/D365walzer06.mscx
365	6	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	7	365/D365walzer07.mscx
365	7	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	8	365/D365walzer08.mscx
365	8	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	9	365/D365walzer09.mscx
365	9	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	10	365/D365walzer10.mscx
365	10	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	11	365/D365walzer11.mscx
365	11	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	12	365/D365walzer12.mscx
365	12	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	13	365/D365walzer13.mscx
365	13	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	14	365/D365walzer14.mscx
365	14	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	15	365/D365walzer15.mscx
365	15	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	16	365/D365walzer16.mscx
365	16	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	17	365/D365walzer17.mscx
365	17	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	18	365/D365walzer18.mscx
365	18	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	19	365/D365walzer19.mscx
365	19	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	20	365/D365walzer20.mscx
365	20	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	21	365/D365walzer21.mscx
365	21	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	22	365/D365walzer22.mscx
365	22	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	23	365/D365walzer23.mscx
365	23	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	24	365/D365walzer24.mscx
365	24	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	25	365/D365walzer25.mscx
365	25	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	26	365/D365walzer26.mscx
365	26	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	27	365/D365walzer27.mscx
365	27	walzer	36 Erste Walzer op. 9 D 365	36	Erste Walzer	op. 9	28	365/D365walzer28.mscx
