id	D	no	dance	path
1	41	1	menuett	D041menuett01a.mscx
2	41	1	trio	D041trio01b.mscx
3	41	2	menuett	D041menuett02a.mscx
4	41	2	trio	D041trio02b.mscx
5	41	3	menuett	D041menuett03a.mscx
6	41	3	trio	D041trio03b.mscx
7	41	4	menuett	D041menuett04a.mscx
8	41	4	trio	D041trio04b.mscx
9	41	5	menuett	D041menuett05a.mscx
10	41	5	trio	D041trio05b.mscx
11	41	6	menuett	D041menuett06a.mscx
12	41	6	trio	D041trio06b.mscx
13	41	7	menuett	D041menuett07a.mscx
14	41	7	trio	D041trio07b.mscx
15	41	8	menuett	D041menuett08a.mscx
16	41	8	trio	D041trio08b.mscx
17	41	9	menuett	D041menuett09a.mscx
18	41	9	trio	D041trio09b.mscx
19	41	10	menuett	D041menuett10a.mscx
20	41	10	trio	D041trio10b.mscx
21	41	11	menuett	D041menuett11a.mscx
22	41	11	trio	D041trio11b.mscx
23	41	12	menuett	D041menuett12a.mscx
24	41	12	trio	D041trio12b.mscx
25	41	13	menuett	D041menuett13a.mscx
26	41	13	trio	D041trio13b.mscx
27	41	14	menuett	D041menuett14a.mscx
28	41	14	trio	D041trio14b.mscx
29	41	15	menuett	D041menuett15a.mscx
30	41	15	trio	D041trio15b.mscx
31	41	16	menuett	D041menuett16a.mscx
32	41	16	trio	D041trio16b.mscx
33	41	17	menuett	D041menuett17a.mscx
34	41	17	trio	D041trio17b.mscx
35	41	18	menuett	D041menuett18a.mscx
36	41	18	trio	D041trio18b.mscx
37	41	19	menuett	D041menuett19a.mscx
38	41	19	trio	D041trio19b.mscx
39	41	20	menuett	D041menuett20a.mscx
40	41	20	trio	D041trio20b.mscx
41	91	1	menuett	D091menuett01a.mscx
42	91	1	trioi	D091trioI01b.mscx
43	91	1	trioii	D091trioII01c.mscx
44	91	2	menuett	D091menuett02a.mscx
45	91	2	trioi	D091trioI02b.mscx
46	91	2	trioii	D091trioII02c.mscx
47	128	1	deutscher	D128deutscher01.mscx
48	128	2	deutscher	D128deutscher02.mscx
49	128	3	deutscher	D128deutscher03.mscx
50	128	4	deutscher	D128deutscher04.mscx
51	128	5	deutscher	D128deutscher05.mscx
52	128	6	deutscher	D128deutscher06.mscx
53	128	7	deutscher	D128deutscher07.mscx
54	128	8	deutscher	D128deutscher08.mscx
55	128	9	deutscher	D128deutscher09.mscx
56	128	10	deutscher	D128deutscher10.mscx
57	128	11	deutscher	D128deutscher11.mscx
58	128	12	deutscher	D128deutscher12.mscx
59	139	1	deutscher	D139deutscher01a.mscx
60	139	1	trio	D139trio01b.mscx
61	145	1	walzer	D145walzer01.mscx
62	145	2	walzer	D145walzer02.mscx
63	145	3	walzer	D145walzer03.mscx
64	145	4	walzer	D145walzer04.mscx
65	145	5	walzer	D145walzer05.mscx
66	145	6	walzer	D145walzer06.mscx
67	145	7	walzer	D145walzer07.mscx
68	145	8	walzer	D145walzer08.mscx
69	145	9	walzer	D145walzer09.mscx
70	145	10	walzer	D145walzer10.mscx
71	145	11	walzer	D145walzer11.mscx
72	145	12	walzer	D145walzer12.mscx
73	145	1	ländler	D145ländler01.mscx
74	145	2	ländler	D145ländler02.mscx
75	145	3	ländler	D145ländler03.mscx
76	145	4	ländler	D145ländler04.mscx
77	145	5	ländler	D145ländler05.mscx
78	145	6	ländler	D145ländler06.mscx
79	145	7	ländler	D145ländler07.mscx
80	145	8	ländler	D145ländler08.mscx
81	145	9	ländler	D145ländler09.mscx
82	145	10	ländler	D145ländler10.mscx
83	145	11	ländler	D145ländler11.mscx
84	145	12	ländler	D145ländler12.mscx
85	145	13	ländler	D145ländler13.mscx
86	145	14	ländler	D145ländler14.mscx
87	145	15	ländler	D145ländler15.mscx
88	145	16	ländler	D145ländler16.mscx
89	145	17	ländler	D145ländler17.mscx
90	145	1	ecossaise	D145ecossaise01.mscx
91	145	2	ecossaise	D145ecossaise02.mscx
92	145	3	ecossaise	D145ecossaise03.mscx
93	145	4	ecossaise	D145ecossaise04.mscx
94	145	5	ecossaise	D145ecossaise05.mscx
95	145	6	ecossaise	D145ecossaise06.mscx
96	145	7	ecossaise	D145ecossaise07.mscx
97	145	8	ecossaise	D145ecossaise08.mscx
98	145	9	ecossaise	D145ecossaise09.mscx
99	146	1	walzer	D146walzer01a.mscx
100	146	1	trio	D146trio01b.mscx
101	146	2	walzer	D146walzer02.mscx
102	146	3	walzer	D146walzer03a.mscx
103	146	3	trio	D146trio03b.mscx
104	146	3	alternative_trio	D146alternative_trio03b.mscx
105	146	4	walzer	D146walzer04a.mscx
106	146	4	trio	D146trio04b.mscx
107	146	5	walzer	D146walzer05a.mscx
108	146	5	trio	D146trio05b.mscx
109	146	6	walzer	D146walzer06a.mscx
110	146	6	trio	D146trio06b.mscx
111	146	7	walzer	D146walzer07a.mscx
112	146	7	trio	D146trio07b.mscx
113	146	8	walzer	D146walzer08a.mscx
114	146	8	trio	D146trio08b.mscx
115	146	9	walzer	D146walzer09a.mscx
116	146	9	trio	D146trio09b.mscx
117	146	10	walzer	D146walzer10a.mscx
118	146	10	trio	D146trio10b.mscx
119	146	11	walzer	D146walzer11a.mscx
120	146	11	trio	D146trio11b.mscx
121	146	12	walzer	D146walzer12.mscx
