	id	D	no	dance	path
0	1	41	1	menuett	41/D041menuett01a.mscx
1	2	41	1	trio	41/D041trio01b.mscx
2	3	41	2	menuett	41/D041menuett02a.mscx
3	4	41	2	trio	41/D041trio02b.mscx
4	5	41	3	menuett	41/D041menuett03a.mscx
5	6	41	3	trio	41/D041trio03b.mscx
6	7	41	4	menuett	41/D041menuett04a.mscx
7	8	41	4	trio	41/D041trio04b.mscx
8	9	41	5	menuett	41/D041menuett05a.mscx
9	10	41	5	trio	41/D041trio05b.mscx
10	11	41	6	menuett	41/D041menuett06a.mscx
11	12	41	6	trio	41/D041trio06b.mscx
12	13	41	7	menuett	41/D041menuett07a.mscx
13	14	41	7	trio	41/D041trio07b.mscx
14	15	41	8	menuett	41/D041menuett08a.mscx
15	16	41	8	trio	41/D041trio08b.mscx
16	17	41	9	menuett	41/D041menuett09a.mscx
17	18	41	9	trio	41/D041trio09b.mscx
18	19	41	10	menuett	41/D041menuett10a.mscx
19	20	41	10	trio	41/D041trio10b.mscx
20	21	41	11	menuett	41/D041menuett11a.mscx
21	22	41	11	trio	41/D041trio11b.mscx
22	23	41	12	menuett	41/D041menuett12a.mscx
23	24	41	12	trio	41/D041trio12b.mscx
24	25	41	13	menuett	41/D041menuett13a.mscx
25	26	41	13	trio	41/D041trio13b.mscx
26	27	41	14	menuett	41/D041menuett14a.mscx
27	28	41	14	trio	41/D041trio14b.mscx
28	29	41	15	menuett	41/D041menuett15a.mscx
29	30	41	15	trio	41/D041trio15b.mscx
30	31	41	16	menuett	41/D041menuett16a.mscx
31	32	41	16	trio	41/D041trio16b.mscx
32	33	41	17	menuett	41/D041menuett17a.mscx
33	34	41	17	trio	41/D041trio17b.mscx
34	35	41	18	menuett	41/D041menuett18a.mscx
35	36	41	18	trio	41/D041trio18b.mscx
36	37	41	19	menuett	41/D041menuett19a.mscx
37	38	41	19	trio	41/D041trio19b.mscx
38	39	41	20	menuett	41/D041menuett20a.mscx
39	40	41	20	trio	41/D041trio20b.mscx
40	41	91	1	menuett	91/D091menuett01a.mscx
41	42	91	1	trioi	91/D091trioI01b.mscx
43	43	91	1	trioii	91/D091trioII01c.mscx
42	44	91	2	menuett	91/D091menuett02a.mscx
44	45	91	2	trioi	91/D091trioI02b.mscx
45	46	91	2	trioii	91/D091trioII02c.mscx
