id	segment_id	bass	intervals	onbeat	offbeat	labels	next	next_bass	next_label
1	1	C	('M3', 'P5')	('M3', 'P5')	('M3', 'P5')	major	(1, 2)	C	major
1	2	C	('M3', 'P5')	('M3', 'P5')	('M3', 'P5')	major	(1, 3)	C	major
1	3	C	('M2', 'M3', 'P4', 'P5', 'M6', 'M7')	('M2', 'M3', 'P5', 'M7')	('M3', 'P4', 'M6')	major	(1, 4)	G	major
1	4	G	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'P5', 'M6')	('P4', 'M6')	major	(1, 5)	C	major
1	5	C	('M3', 'P5')	('M3', 'P5')	('M3', 'P5')	major	(1, 6)	C	major
1	6	C	('M3', 'P5')	('M3', 'P5')	('M3', 'P5')	major	(1, 7)	A	dominant43
1	7	A	('M2', 'm3', 'P4', 'P5', 'M6', 'm7', 'M7')	('m3', 'P5', 'm7')	('M2', 'm3', 'P4', 'M6', 'M7')	dominant43	(1, 8)	G	M3
1	8	G	('M2', 'M3', 'P4')	('M2', 'M3', 'P4')	()	M3	(1, 9)	G	unison
1	9	G	()	()	()	unison	(1, 10)	G	unison
1	10	G	()	()	()	unison	(1, 11)	G	dominant7
1	11	G	('M3', 'P4', 'P5', 'M6', 'm7')	('M3', 'P4', 'P5', 'M6', 'm7')	('M6',)	dominant7	(1, 12)	G	major
1	12	G	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'P5', 'M6')	('P4', 'M6')	major	(1, 13)	C	major
1	13	C	('M3', 'P5')	('M3', 'P5')	('M3', 'P5')	major	(1, 14)	C	major
1	14	C	('M3', 'P5')	('M3', 'P5')	('M3', 'P5')	major	(1, 15)	G	major
1	15	G	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'P5', 'M6')	('M6',)	major	(1, 16)	C	M3
1	16	C	('M3',)	('M3',)	()	M3			
2	1	C	('M3', 'P4', 'P5', 'M6', 'm7')	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'P5', 'M6', 'm7')	dominant7	(2, 2)	C	major
2	2	C	('A2', 'M3', 'P5')	('M3', 'P5')	('A2', 'M3', 'P5')	major	(2, 3)	C	dominant7
2	3	C	('M3', 'P4', 'P5', 'M6', 'm7')	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'P5', 'M6', 'm7')	dominant7	(2, 4)	C	major
2	4	C	('M2', 'M3', 'P5', 'M7')	('M2', 'M3', 'P5')	('P5', 'M7')	major	(2, 5)	B	minor7
2	5	B	('m3', 'P5', 'm6', 'm7')	('m3', 'm6', 'm7')	('P5', 'm6')	minor7	(2, 6)	A	dominant43
2	6	A	('m3', 'P4', 'P5', 'M6')	('m3', 'P4', 'M6')	('m3', 'P5', 'M6')	dominant43	(2, 7)	G	major
2	7	G	('M2', 'M3', 'P4', 'P5', 'M6', 'M7')	('M2', 'M3', 'P5', 'M6')	('M2', 'M3', 'P4', 'P5', 'M7')	major	(2, 8)	G	major
2	8	G	('M2', 'M3', 'P4', 'P5')	('M2', 'M3', 'P4', 'P5')	()	major	(2, 9)	B	dominant65
2	9	B	('m3', 'P4', 'D5', 'm6')	('P4', 'm6')	('m3', 'D5', 'm6')	dominant65	(2, 10)	C	major
2	10	C	('A2', 'M3', 'P5')	('A2', 'M3', 'P5')	('P5',)	major	(2, 11)	B	dominant65
2	11	B	('m3', 'P4', 'D5', 'm6')	('P4', 'm6')	('m3', 'D5', 'm6')	dominant65	(2, 12)	C	major
2	12	C	('M3', 'P4', 'P5')	('M3', 'P4', 'P5')	('P5',)	major	(2, 13)	B	dominant65
2	13	B	('m3', 'P4', 'D5', 'm6', 'm7')	('m6',)	('m3', 'P4', 'D5', 'm6', 'm7')	dominant65	(2, 14)	C	major
2	14	C	('A2', 'M3', 'P5')	('A2', 'M3', 'P5')	('P5',)	major	(2, 15)	B	dominant65
2	15	B	('m3', 'P4', 'D5', 'm6')	('P4', 'm6')	('m3', 'D5', 'm6')	dominant65	(2, 16)	C	major
2	16	C	('M3', 'P4', 'P5')	('M3', 'P4')	('P5',)	major	(2, 17)	C	dominant7
2	17	C	('M3', 'P4', 'P5', 'M6', 'm7')	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'P5', 'M6', 'm7')	dominant7	(2, 18)	C	major
2	18	C	('M3', 'A4', 'P5', 'M6')	('M3', 'P5', 'M6')	('A4', 'P5')	major	(2, 19)	G	dominant7
2	19	G	('M2', 'M3', 'P5', 'm7', 'M7')	('M2', 'M3', 'P5', 'm7')	('M3', 'M7')	dominant7	(2, 20)	E	major6
2	20	E	('m3', 'm6')	('m3', 'm6')	('m3', 'm6')	major6	(2, 21)	G	dominant7
2	21	G	('M2', 'M3', 'P4', 'P5', 'M6', 'm7')	('M2', 'M3', 'P4', 'P5', 'M6', 'm7')	('m7',)	dominant7	(2, 22)	C	unison
2	22	C	()	()	()	unison			
3	1	C	('M3', 'P5')	('M3', 'P5')	('M3', 'P5')	major	(3, 2)	C	dominant7
3	2	C	('M3', 'P5', 'm7')	('M3', 'P5', 'm7')	('M3', 'm7')	dominant7	(3, 3)	F	major
3	3	F	('M2', 'M3', 'P5', 'M7')	('M2', 'M3', 'P5', 'M7')	('P5',)	major	(3, 4)	G	major64
3	4	G	('P4', 'P5', 'M6', 'm7')	('P4', 'P5', 'M6', 'm7')	('P5', 'm7')	major64	(3, 5)	G	dominant7
3	5	G	('M3', 'P5', 'm7')	('M3', 'P5', 'm7')	('P5', 'm7')	dominant7	(3, 6)	F	dominant2
3	6	F	('M2', 'A4', 'M6')	('M2', 'A4', 'M6')	('M2', 'A4', 'M6')	dominant2	(3, 7)	E	minor7
3	7	E	('m2', 'm3', 'P5', 'm6', 'm7')	('m2', 'm3', 'P5', 'm6', 'm7')	()	minor7	(3, 8)	C	minor6
3	8	C	('M3', 'A4', 'M6')	('M3', 'A4', 'M6')	('A4', 'M6')	minor6	(3, 9)	A	dominant43
3	9	A	('m3', 'M6')	('m3', 'M6')	('m3', 'M6')	dominant43	(3, 10)	A	dominant43
3	10	A	('M2', 'm3', 'P4', 'M6', 'm6', 'm7')	('M2', 'm3', 'P4', 'M6', 'm6', 'm7')	('M2', 'P4', 'm6', 'm7')	dominant43	(3, 11)	B	dominant65
3	11	B	('m3', 'D5', 'm6')	('m3', 'D5', 'm6')	()	dominant65	(3, 12)	G	dominant7
3	12	G	('M3', 'P4', 'P5', 'M6', 'm7')	('M3', 'P4', 'P5', 'M6', 'm7')	('P4', 'M6')	dominant7	(3, 13)	C	major
3	13	C	('M3', 'P5')	('M3', 'P5')	('M3', 'P5')	major	(3, 14)	E	major6
3	14	E	('m3', 'm6')	('m3', 'm6')	('m3', 'm6')	major6	(3, 15)	F	dominant2
3	15	F	('M2', 'M3', 'A4', 'P5', 'M6', 'M7')	('M2', 'M3', 'A4', 'P5', 'M6', 'M7')	()	dominant2	(3, 16)	C	M3
3	16	C	('M3',)	('M3',)	()	M3			
4	1	G	('M2', 'M3', 'P5', 'm7')	('M3', 'P5')	('M2', 'M3', 'P5', 'm7')	dominant7	(4, 2)	G	major64
4	2	G	('P4', 'P5', 'M6', 'm7')	('P4', 'M6')	('P4', 'P5', 'M6', 'm7')	major64	(4, 3)	G	dominant7
4	3	G	('M2', 'M3', 'P5', 'm7')	('M3', 'P5')	('M2', 'M3', 'P5', 'm7')	dominant7	(4, 4)	C	suspension
4	4	C	('M2', 'M3', 'M7')	('M2', 'M3')	('M3', 'M7')	suspension	(4, 5)	F#	dominant65
4	5	F#	('m3', 'D5', 'm6')	('m3', 'D5', 'm6')	('D5', 'm6')	dominant65	(4, 6)	G	major
4	6	G	('M3', 'P5', 'M6', 'M7')	('M3', 'P5')	('M3', 'P5', 'M6', 'M7')	major	(4, 7)	F#	dominant65
4	7	F#	('m3', 'D5', 'm6')	('m3', 'D5', 'm6')	('D5', 'm6')	dominant65	(4, 8)	G	dominant7
4	8	G	('M2', 'M3', 'P5', 'm7')	('M3', 'P5')	('M2', 'm7')	dominant7	(4, 9)	A	dominant7
4	9	A	('M3', 'P5', 'm6', 'm7')	('M3', 'P5', 'm6')	('P5', 'm7')	dominant7	(4, 10)	A	minor64
4	10	A	('P4', 'm6', 'm7')	('P4', 'm6')	('m6', 'm7')	minor64	(4, 11)	A	dominant7
4	11	A	('M3', 'P5', 'm6', 'm7')	('M3', 'P5', 'm6')	('P5', 'm7')	dominant7	(4, 12)	Ab	minor6
4	12	Ab	('A1', 'M3', 'A4', 'A5', 'M6', 'M7')	('A1', 'M3', 'A4', 'M6')	('A1', 'A5', 'M6', 'M7')	minor6	(4, 13)	G	dominant7
4	13	G	('M3', 'P5', 'M6', 'm7')	('M3', 'P5', 'M6', 'm7')	('P5', 'm7')	dominant7	(4, 14)	G	major64
4	14	G	('P4', 'M6', 'm7')	('P4', 'M6')	('M6', 'm7')	major64	(4, 15)	G	dominant7
4	15	G	('M3', 'P5', 'M6', 'm7')	('M3', 'P5', 'M6', 'm7')	('P5',)	dominant7	(4, 16)	G	major64
4	16	G	('P4', 'P5', 'M6', 'm7')	('P4', 'M6')	('P4', 'P5', 'M6', 'm7')	major64	(4, 17)	G	dominant7
4	17	G	('M2', 'M3', 'P5', 'm7')	()	('M2', 'M3', 'P5', 'm7')	dominant7	(4, 18)	G	major64
4	18	G	('P4', 'P5', 'M6', 'm7')	('P4', 'M6')	('P4', 'P5', 'M6', 'm7')	major64	(4, 19)	G	dominant7
4	19	G	('M2', 'M3', 'P5', 'm7')	()	('M2', 'M3', 'P5', 'm7')	dominant7	(4, 20)	C	M3
4	20	C	('M3',)	('M3',)	()	M3			
5	1	A	('m3', 'P5')	('m3', 'P5')	()	minor	(5, 2)	F	minor6
5	2	F	('M3', 'M6')	('M3', 'M6')	()	minor6	(5, 3)	F	m3
5	3	F	('M2', 'm3')	('M2', 'm3')	()	m3	(5, 4)	G	dominant7
5	4	G	('M2', 'M3', 'm7')	('M2', 'm7')	('M3',)	dominant7	(5, 5)	E	dominant43
5	5	E	('m3', 'P5', 'M6', 'm6', 'm7', 'M7')	('m3', 'P5', 'm6', 'm7')	('M6', 'M7')	dominant43	(5, 6)	C	dominant2
5	6	C	('M2', 'M3', 'A4', 'P5')	('M2', 'M3', 'A4', 'P5')	('M3', 'A4')	dominant2	(5, 7)	B	minor7
5	7	B	('m2', 'm3', 'P4', 'P5', 'm6', 'm7')	('m2', 'm3', 'P4', 'P5', 'm6', 'm7')	('m2', 'm7')	minor7	(5, 8)	G	M3
5	8	G	('M3',)	('M3',)	()	M3	(5, 9)	G	major
5	9	G	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'M6')	('P4', 'P5', 'M6')	major	(5, 10)	G	major
5	10	G	('M2', 'M3', 'P4', 'P5')	('M3', 'P5')	('M2', 'P4')	major	(5, 11)	G	major
5	11	G	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'M6')	('P4', 'P5', 'M6')	major	(5, 12)	C	major
5	12	C	('M2', 'M3', 'P5', 'M7')	('M2', 'M3', 'P5', 'M7')	()	major	(5, 13)	A	minor
5	13	A	('m3', 'P5')	('m3', 'P5')	()	minor	(5, 14)	F	minor6
5	14	F	('M3', 'M6')	('M3', 'M6')	()	minor6	(5, 15)	E	minor7
5	15	E	('m2', 'm3', 'P4', 'P5', 'm6', 'm7')	('m2', 'm3', 'P5', 'm6')	('m2', 'P4', 'P5', 'm7')	minor7	(5, 16)	C	M3
5	16	C	('M3',)	('M3',)	()	M3			
6	1	D	('M2', 'm3', 'P4', 'M6', 'm7')	('M2', 'P4', 'M6', 'm7')	('m3', 'P4', 'M6')	dominant43	(6, 2)	C	major
6	2	C	('M3', 'A4', 'P5', 'M6')	('M3', 'A4', 'P5', 'M6')	()	major	(6, 3)	D	dominant43
6	3	D	('M2', 'm3', 'P4', 'M6', 'm7')	('M2', 'P4', 'M6', 'm7')	('m3', 'P4', 'M6')	dominant43	(6, 4)	C	major
6	4	C	('M3', 'P5')	('M3', 'P5')	()	major	(6, 5)	F	major
6	5	F	('M3', 'P5')	('M3', 'P5')	('M3', 'P5')	major	(6, 6)	E	major6
6	6	E	('m3', 'm6')	('m3', 'm6')	('m3', 'm6')	major6	(6, 7)	G	dominant7
