id	segment_id	chords
1	1	('C', 'major')
1	2	('C', 'major')
1	3	('C', 'major')
1	4	('G', 'major')
1	5	('C', 'major')
1	6	('C', 'major')
1	7	('A', 'dominant43')
1	8	('G', 'M3')
1	9	('G', 'unison')
1	10	('G', 'unison')
1	11	('G', 'dominant7')
1	12	('G', 'major')
1	13	('C', 'major')
1	14	('C', 'major')
1	15	('G', 'major')
1	16	('C', 'M3')
2	1	('C', 'dominant7')
2	2	('C', 'major')
2	3	('C', 'dominant7')
2	4	('C', 'major')
2	5	('B', 'minor7')
2	6	('A', 'dominant43')
2	7	('G', 'major')
2	8	('G', 'major')
2	9	('B', 'dominant65')
2	10	('C', 'major')
2	11	('B', 'dominant65')
2	12	('C', 'major')
2	13	('B', 'dominant65')
2	14	('C', 'major')
2	15	('B', 'dominant65')
2	16	('C', 'major')
2	17	('C', 'dominant7')
2	18	('C', 'major')
2	19	('G', 'dominant7')
2	20	('E', 'major6')
2	21	('G', 'dominant7')
2	22	('C', 'unison')
3	1	('C', 'major')
3	2	('C', 'dominant7')
3	3	('F', 'major')
3	4	('G', 'major64')
3	5	('G', 'dominant7')
3	6	('F', 'dominant2')
3	7	('E', 'minor7')
3	8	('C', 'minor6')
3	9	('A', 'dominant43')
3	10	('A', 'dominant43')
3	11	('B', 'dominant65')
3	12	('G', 'dominant7')
3	13	('C', 'major')
3	14	('E', 'major6')
3	15	('F', 'dominant2')
3	16	('C', 'M3')
4	1	('G', 'dominant7')
4	2	('G', 'major64')
4	3	('G', 'dominant7')
4	4	('C', 'suspension')
4	5	('F#', 'dominant65')
4	6	('G', 'major')
4	7	('F#', 'dominant65')
4	8	('G', 'dominant7')
4	9	('A', 'dominant7')
4	10	('A', 'minor64')
4	11	('A', 'dominant7')
4	12	('Ab', 'minor6')
4	13	('G', 'dominant7')
4	14	('G', 'major64')
4	15	('G', 'dominant7')
4	16	('G', 'major64')
4	17	('G', 'dominant7')
4	18	('G', 'major64')
4	19	('G', 'dominant7')
4	20	('C', 'M3')
5	1	('A', 'minor')
5	2	('F', 'minor6')
5	3	('F', 'm3')
5	4	('G', 'dominant7')
5	5	('E', 'dominant43')
5	6	('C', 'dominant2')
5	7	('B', 'minor7')
5	8	('G', 'M3')
5	9	('G', 'major')
5	10	('G', 'major')
5	11	('G', 'major')
5	12	('C', 'major')
5	13	('A', 'minor')
5	14	('F', 'minor6')
5	15	('E', 'minor7')
5	16	('C', 'M3')
6	1	('D', 'dominant43')
6	2	('C', 'major')
6	3	('D', 'dominant43')
6	4	('C', 'major')
6	5	('F', 'major')
6	6	('E', 'major6')
6	7	('G', 'dominant7')
6	8	('C', 'M3')
6	9	('C', 'major')
6	10	('C', 'major')
6	11	('E', 'dominant43')
6	12	('D', 'minor')
6	13	('D', 'dominant43')
6	14	('C', 'major')
6	15	('G', 'dominant7')
6	16	('C', 'unison')
7	1	('A', 'minor')
7	2	('G#', 'dominant65')
7	3	('A', 'minor')
7	4	('G#', 'major6')
7	5	('G', 'dominant2')
7	6	('F', 'minor6')
7	7	('G', 'dominant7')
7	8	('C', 'M3')
7	9	('C', 'M3')
7	10	('C', 'P5')
7	11	('C', 'M3')
7	12	('G', 'unison')
7	13	('E', 'dominant7')
7	14	('E', 'minor64')
7	15	('E', 'dominant7')
7	16	('E', 'minor64')
7	17	('E', 'dominant7')
7	18	('F', 'major')
7	19	('E', 'dominant7')
7	20	('A', 'm3')
8	1	('C', 'major64')
8	2	('C', 'major')
8	3	('C', 'major64')
8	4	('C', 'major')
8	5	('C', 'major')
8	6	('G', 'major')
8	7	('D', 'dominant7')
8	8	('G', 'dominant7')
8	9	('G', 'dominant7')
8	10	('G', 'dominant7')
8	11	('G', 'dominant7')
8	12	('G', 'major')
8	13	('C', 'major64')
8	14	('E', 'major6')
8	15	('F', 'dominant2')
8	16	('C', 'M3')
9	1	('C', 'major')
9	2	('F', 'minor6')
9	3	('G', 'dominant7')
9	4	('C', 'major')
9	5	('C', 'major')
9	6	('F', 'minor6')
9	7	('G', 'dominant7')
9	8	('C', 'major')
9	9	('G', 'major')
9	10	('G', 'major')
9	11	('G', 'major')
9	12	('G', 'major')
9	13	('C', 'major')
9	14	('F', 'minor6')
9	15	('G', 'dominant7')
9	16	('C', 'M3')
