	mean	95% CI: +-	birth_year
Monteverdi (1567-1643)	0.6289248948366936	0.01034852979579326	1567
Corelli (1653-1713)	0.6215168801560319	0.005791425425110464	1653
Couperin (1668-1733): Concerts royaux	0.6325304778527198	0.008754396754304894	1668
Couperin (1668-1733): Gouts reunis	0.6376210795851185	0.004776880413489781	1668
Couperin (1668-1733): L'art de toucher le clavecin	0.647683673167108	0.014125447456075356	1668
Couperin (1668-1733): Pieces de clavecin	0.6171832890426937	0.00787292332176148	1668
J.S. Bach (1685-1750): French suites	0.6495416239143535	0.00605075612924566	1685
J.S.Bach (1685-1750): English suites	0.6574174084010761	0.013487472327183614	1685
Hasse (1699-1783)	0.6412	0.0121	1699
W.F. Bach (1710-1784)	0.6840790120210114	0.03018970990444847	1710
Kozeluh (1747-1818)	0.666172135568162	0.008455979401155389	1747
Mozart (1756-1795): Songs and arias	0.6792	0.0089	1756
Mozart (1756-1795): Piano sonatas	0.6653379176364274	0.0057071534838910596	1756
Pleyel (1757-1831)	0.6836889423821646	0.08493898987128001	1757
Beethoven (1770-1827): String quartets	0.6960007352458468	0.007580569531297154	1770
Beethoven (1770-1827): Piano sonatas	0.6922650091389194	0.007216438309790352	1770
Schubert (1797-1828): Dances	0.5885898817555811	0.003895510583772799	1797
Schubert (1797-1828): Winterreise	0.6390139748196042	0.023541568852538552	1797
Schubert (1797-1828): Schwanengesang	0.7108	0.0162	1797
Schubert (1797-1828): Die Schöne Müllerin	0.6711	0.0113	1797
Mendelssohn (1809-1847)	0.7008541569958481	0.012715927831268736	1809
Chopin (1810-1849)	0.6901773167787101	0.01654602674416772	1810
Schumann (1810-1856): Liederkreis	0.6579297784964611	0.02545357588941921	1810
Schumann (1810-1856): Kinderszenen	0.6390062498251873	0.022073587351185697	1810
Liszt (1811-1886)	0.7385889402832881	0.0560621461138503	1811
Tchaikovsky (1840-1893)	0.6995564127883401	0.03859891170380336	1840
Dvorak (1841-1904)	0.6649787784283251	0.03651888257842728	1841
Grieg (1843-1907)	0.6846444752522134	0.014925116839045847	1843
Debussy (1862-1818)	0.7127112088671181	0.04888589017233369	1862
Strauss (1864-1949)	0.745	0.0253	1864
Ravel (1875-1937)	0.8091020657186527	0.034773529495974335	1875
Medtner (1880-1951)	0.7206473732744982	0.026696777982212042	1880
