	importance	CI
interval_downbeat_offbeat	0.06072317188398264	0.0031272693282295844
onset_entropy	0.060398708630784025	0.00249020480103955
ratio_downbeat_non_downbeat_strictly	0.058180021945655344	0.0015208455626435496
duration_entropy	0.05231506793297365	0.002386619392997426
TaTaTa_left	0.0487594147985893	0.0016235574214910203
onset_density	0.043746108932090494	0.0030956359040335488
ratio_downbeat_non_downbeat	0.04199848028288744	0.0038219240416831543
eigth_notes_frac	0.04110122612510101	0.0030062338431177463
ratio_downbeat_non_downbeat_onset	0.03393417890584046	0.0016151415335340022
sixths_count	0.03128924285516837	0.002605942259413241
entropy	0.030643420262318616	0.0019427087123377856
downbeat_dur	0.02971898232941387	0.0014420543263926507
event_density	0.02883909995542034	0.0010498443716610954
thirds_count	0.02869872519241013	0.0010410183725714645
TaTaTa_right	0.027699363992063186	0.0015179310324108762
TitiTitiTiti_left	0.024997286356670527	0.002624571954755607
maj_min_first_abs	0.024887430519491088	0.00159060321597004
maj-min-first	0.024413970018410246	0.001296624345723408
TaTa_left	0.023965547231900107	0.002369021646182641
TitiTitiTiti_right	0.023607478719703236	0.0017721381873649703
num_keys	0.02181895958234483	0.0011849513757523703
Tao_left	0.014962949960593653	0.0007886287540752497
TaoTa_right	0.014955451732005137	0.0016100851045891627
Tao_right	0.01458397092825924	0.0012430734310339584
TaoTa_left	0.010297299613208643	0.0008001348294951662
TitiTitiTa_right	0.009676899880764676	0.0006810455429423681
Ta_right	0.008065854106853553	0.000494336974182196
TaoTiti_right	0.007900976176921487	0.0006105298640595065
TaTitiTiti_right	0.007262820273261979	0.000528494118405682
TaTitiTa_right	0.007005580508363624	0.0005107811869459024
TimgiTaTa_right	0.006540429832839476	0.0009657876828885669
Ta_left	0.00601067558508904	0.0009366953253352826
TaitiTiti_right	0.005964744095064409	0.0005546911781698499
TaTaTimgi_right	0.0058480476449867735	0.0007709378818695108
Titi_right	0.005438217289668832	0.0008424252782913448
TaoTimgi_right	0.005305098052156949	0.0008975430848176822
start_end_key	0.004954168952463536	0.00054551555740331
TimgiTa_left	0.004900965801440632	0.000926457244583281
TaitiTa_right	0.004768730166601048	0.000619820382635498
Taoa_right	0.004521008906088383	0.00051024898652729
TaTao_left	0.004479634683773892	0.0006590168003686838
Taoa_left	0.004200501637150025	0.0005741958743371795
Timgi_right	0.003671309783692678	0.0005321779805405596
TaTao_right	0.0033862962833014487	0.0003723106322576263
TaTaTiti_right	0.003271983351392673	0.0003858417452215577
TitiTaTiti_right	0.0030602659192996372	0.0004549568839772905
TaoTigitigi_right	0.0030138474914593524	0.0003554655788322995
TaTitiTa_left	0.002903029419089139	0.0005079286242825705
TaTitiTiti_left	0.002821990115806945	0.0005971141742136406
TitiTaTa_right	0.002758294353922484	0.00022801471250907509
TaTaTimgi_left	0.0024733977967883462	0.0007634334409021082
TaTa_right	0.0023967483616057893	0.0003761039275035046
Tigitigi_right	0.0021516235436498743	0.0005029346840679691
TimgiTimgiTimgi_right	0.0020724205783306136	0.0005650669247228373
TaitigiTigitigi_right	0.002028174867952243	0.0005142743617848267
TimgiTaTa_left	0.001966534243646361	0.0004398934602111961
TaitiTiti_left	0.0018640790810139744	0.0006251396342252525
TaoTriole_right	0.0016374411889314585	0.00047812210835263685
TitiTa_left	0.0016213821199052615	0.0004201276611420383
TaoTimgi_left	0.0015392089916152745	0.00042894955876646526
TitiTaTa_left	0.0014674735550158817	0.0004225978547836343
TaTitiTi_right	0.0014323727441851403	0.00029990472254902856
Taono_right	0.001328322635429083	0.0005617447869730324
TaTaTigitigi_right	0.001326617379427623	0.0006006204408037874
TaTaTi_left	0.0013058665383596077	0.00033915121423092813
TaTaTi_right	0.0012475939764847	0.0002955295891240372
TimgiTaTimgi_right	0.0012014201765429115	0.00044399178856120367
TaoTiti_left	0.001195185884007331	0.00025710685502399627
TaitiTimgi_right	0.0010622428330343482	0.00032837459632726945
TaTaTriole_right	0.000979453300973697	0.000345168053730673
Triole_right	0.0009719838251057433	0.00023575941272578122
TaTi_left	0.0009285039590585028	0.00020562488760968384
TitiTi_right	0.0008570024262818029	0.0001638863379666518
nogiTiti_right	0.0008055699905419513	0.0002513341085724442
TitiTao_right	0.0007849797860352723	0.0002735429598987544
TaitiTa_left	0.0007530637271782757	0.0001987303127980735
Tai_right	0.0007472498760649795	0.00018418921133951508
TaTimgiTa_right	0.0007229826691772844	0.00023876816841567384
TimgiTa_right	0.0007180930327126601	0.0002504802916063226
TitiTaTimgi_left	0.0006951876047857215	0.0002357967307836141
TaTaiti_right	0.0006950585853857014	0.00012612117481054699
TaTaTitigi_right	0.00067490264747311	0.00018935091450008473
TitiTaTimgi_right	0.000655236822886863	0.00029652401069939216
TaTaTiti_left	0.0006446906428595824	0.00020583414242827288
TitiTitiTi_right	0.000625210314809318	0.0001871396447789827
TaTimgiTimgi_right	0.0006251902948027093	0.0002316247334362277
TaTimgiTa_left	0.0006165374513967609	0.00029616596599223134
TimgiTaTigitigi_right	0.0005922456557191091	0.00027502588400980874
TigitigiTa_right	0.0005583351075141979	0.00022722569741711056
Tai_left	0.0005391848599186198	7.71026189991756e-05
TaTaTimgiri_right	0.0005130006419691911	0.0001597411444840722
Tigimgim_right	0.00048384700816676157	0.00016130252360796118
nogiTimgi_right	0.00045052511750827895	0.00016863097185512732
Timgi_left	0.0004349806083125896	0.00018708308058027653
TaTitigiTigitigi_right	0.0004308320706826431	0.00015446242843228651
TaoTimgiri_right	0.00042751833262342896	0.0002253642111308181
TimgiTi_right	0.0004113676665059024	0.00030356339569424394
TigitigiTigitigiTigitigi_right	0.0003767486978493655	0.00015642026041500997
TitiTitiTimgi_right	0.000374120068426388	0.00012784041758460472
Tanogi_right	0.0003624499496470063	0.00010930147672975345
TimgiTaiti_right	0.0003621363420839307	0.000114683597262037
Titi_left	0.00035216840848057427	0.00014363305588882005
TitiTaTi_right	0.00034995807112363	0.00013871102408802353
TimgiTitiTiti_right	0.00034195874875228804	9.354828286981312e-05
TaTim_left	0.00033785151141667617	9.763713431711871e-05
TimgiriTa_right	0.00033218135487718934	0.00010950523092135688
TimgiTaTiti_right	0.0003094886921494698	0.00013641218611362455
TaTano_right	0.0003036877068731592	8.873852759023413e-05
TitiTa_right	0.0002752353382738554	0.0001391575405932068
Timgiri_right	0.00027272911461850553	0.00010661941285138186
TigimTi_right	0.0002695096186857395	9.320496140066837e-05
TinotigiTigitigi_right	0.00023643359001975455	0.00013507829590546746
TaTrioleTa_right	0.00023356472694045834	0.00012511932157897821
TitiTitiTa_left	0.00023078269261995983	8.886306254617213e-05
TitiTitino_right	0.00022674654093045424	9.44199736595368e-05
TigitigiTaTa_right	0.00018637174165386664	7.33983992710237e-05
TigimTitiTiti_right	0.0001384688622976069	3.774134026208946e-05
TaTimgiTiti_right	9.28989243250988e-05	3.9586527376155357e-05
TitiTiti_right	8.513335058640871e-05	4.531833426471968e-05
TitiTiti_left	2.1606426253887265e-05	2.47018039183821e-05
TitiTi_left	0.0	0.0
Taiti_right	0.0	0.0
TimgiTiti_left	0.0	0.0
TigitigiTi_right	0.0	0.0
TaTiti_right	0.0	0.0
TaTiti_left	0.0	0.0
TaTi_right	0.0	0.0
TigitigiTigitigi_right	0.0	0.0
TitigiTiti_right	0.0	0.0
TitigiTigitigi_right	0.0	0.0
TitigiTi_right	0.0	0.0
TitigiTa_right	0.0	0.0
TimgiriTiti_right	0.0	0.0
TimgiTiti_right	0.0	0.0
TigitigiTiti_right	0.0	0.0
TitigiTitigi_right	0.0	0.0
