id	mc	section	keysig	timesig	duration	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	mn	next
1	0	0	-1	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
1	1	0	-1	3/4	3/4	3/4	0	3						1	[2]
1	2	0	-1	3/4	3/4	3/4	0	2						2	[3]
1	3	0	-1	3/4	3/4	3/4	0	2						3	[4]
1	4	0	-1	3/4	3/4	3/4	0	2						4	[5]
1	5	0	-1	3/4	3/4	3/4	0	3						5	[6]
1	6	0	-1	3/4	3/4	3/4	0	2						6	[7]
1	7	0	-1	3/4	3/4	3/4	0	3						7	[8]
1	8	0	-1	3/4	3/4	1/2	0	2	endRepeat					8	[9, 0]
1	9	1	-1	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
1	10	1	-1	3/4	3/4	3/4	0	2						9	[11]
1	11	1	-1	3/4	3/4	3/4	0	2						10	[12]
1	12	1	-1	3/4	3/4	3/4	0	2						11	[13]
1	13	1	-1	3/4	3/4	3/4	0	3						12	[14]
1	14	1	-1	3/4	3/4	3/4	0	3						13	[15]
1	15	1	-1	3/4	3/4	3/4	0	2						14	[16]
1	16	1	-1	3/4	3/4	3/4	0	2						15	[17]
1	17	1	-1	3/4	3/4	1/2	0	2	endRepeat					16	[9]
2	0	0	-1	3/4	3/4	1/4	1/2	3	firstMeasure				1	0	[1]
2	1	0	-1	3/4	3/4	3/4	0	3						1	[2]
2	2	0	-1	3/4	3/4	3/4	0	2						2	[3]
2	3	0	-1	3/4	3/4	3/4	0	3						3	[4]
2	4	0	-1	3/4	3/4	3/4	0	2						4	[5]
2	5	0	-1	3/4	3/4	3/4	0	2						5	[6]
2	6	0	-1	3/4	3/4	3/4	0	4						6	[7]
2	7	0	-1	3/4	3/4	3/4	0	4						7	[8]
2	8	0	-1	3/4	3/4	1/2	0	3	endRepeat					8	[9, 0]
2	9	1	-1	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
2	10	1	-1	3/4	3/4	3/4	0	2						9	[11]
2	11	1	-1	3/4	3/4	3/4	0	2						10	[12]
2	12	1	-1	3/4	3/4	3/4	0	2						11	[13]
2	13	1	-1	3/4	3/4	3/4	0	2						12	[14]
2	14	1	-1	3/4	3/4	3/4	0	2						13	[15]
2	15	1	-1	3/4	3/4	3/4	0	2						14	[16]
2	16	1	-1	3/4	3/4	3/4	0	2						15	[17]
2	17	1	-1	3/4	3/4	3/4	0	3						16	[18]
2	18	1	-1	3/4	3/4	3/4	0	3						17	[19]
2	19	1	-1	3/4	3/4	3/4	0	2						18	[20]
2	20	1	-1	3/4	3/4	3/4	0	2						19	[21]
2	21	1	-1	3/4	3/4	3/4	0	2						20	[22]
2	22	1	-1	3/4	3/4	3/4	0	3						21	[23]
2	23	1	-1	3/4	3/4	1/2	0	3	endRepeat					22	[9]
3	0	0	0	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
3	1	0	0	3/4	3/4	3/4	0	2						1	[2]
3	2	0	0	3/4	3/4	3/4	0	3						2	[3]
3	3	0	0	3/4	3/4	3/4	0	2						3	[4]
3	4	0	0	3/4	3/4	3/4	0	2						4	[5]
3	5	0	0	3/4	3/4	3/4	0	3						5	[6]
3	6	0	0	3/4	3/4	3/4	0	3						6	[7]
3	7	0	0	3/4	3/4	3/4	0	2						7	[8]
3	8	0	0	3/4	3/4	1/2	0	2	endRepeat					8	[9, 0]
3	9	1	0	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
3	10	1	0	3/4	3/4	3/4	0	3						9	[11]
3	11	1	0	3/4	3/4	3/4	0	3						10	[12]
3	12	1	0	3/4	3/4	3/4	0	2						11	[13]
3	13	1	0	3/4	3/4	3/4	0	2						12	[14]
3	14	1	0	3/4	3/4	3/4	0	3						13	[15]
3	15	1	0	3/4	3/4	3/4	0	3						14	[16]
3	16	1	0	3/4	3/4	3/4	0	2						15	[17]
3	17	1	0	3/4	3/4	1/2	0	2	endRepeat					16	[9]
4	0	0	0	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
4	1	0	0	3/4	3/4	3/4	0	2						1	[2]
4	2	0	0	3/4	3/4	3/4	0	2						2	[3]
4	3	0	0	3/4	3/4	3/4	0	2						3	[4]
4	4	0	0	3/4	3/4	3/4	0	2						4	[5]
4	5	0	0	3/4	3/4	3/4	0	2						5	[6]
4	6	0	0	3/4	3/4	3/4	0	2						6	[7]
4	7	0	0	3/4	3/4	3/4	0	2						7	[8]
4	8	0	0	3/4	3/4	1/2	0	2	endRepeat					8	[9, 0]
4	9	1	0	3/4	3/4	1/4	1/2	2	startRepeat		start-repeat		1	8	[10]
4	10	1	0	3/4	3/4	3/4	0	2						9	[11]
4	11	1	0	3/4	3/4	3/4	0	2						10	[12]
4	12	1	0	3/4	3/4	3/4	0	2						11	[13]
4	13	1	0	3/4	3/4	3/4	0	2						12	[14]
4	14	1	0	3/4	3/4	3/4	0	2						13	[15]
4	15	1	0	3/4	3/4	3/4	0	2						14	[16]
4	16	1	0	3/4	3/4	3/4	0	2						15	[17]
4	17	1	0	3/4	3/4	3/4	0	2						16	[18]
4	18	1	0	3/4	3/4	3/4	0	2						17	[19]
4	19	1	0	3/4	3/4	3/4	0	2						18	[20]
4	20	1	0	3/4	3/4	3/4	0	2						19	[21]
4	21	1	0	3/4	3/4	1/2	0	2	endRepeat					20	[9]
5	0	0	-1	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
5	1	0	-1	3/4	3/4	3/4	0	2						1	[2]
5	2	0	-1	3/4	3/4	3/4	0	2						2	[3]
5	3	0	-1	3/4	3/4	3/4	0	2						3	[4]
5	4	0	-1	3/4	3/4	3/4	0	2						4	[5]
5	5	0	-1	3/4	3/4	3/4	0	3						5	[6]
5	6	0	-1	3/4	3/4	3/4	0	3						6	[7]
5	7	0	-1	3/4	3/4	3/4	0	3						7	[8]
5	8	0	-1	3/4	3/4	1/2	0	2	endRepeat					8	[9, 0]
5	9	1	-1	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
5	10	1	-1	3/4	3/4	3/4	0	2						9	[11]
5	11	1	-1	3/4	3/4	3/4	0	2						10	[12]
5	12	1	-1	3/4	3/4	3/4	0	2						11	[13]
5	13	1	-1	3/4	3/4	3/4	0	3						12	[14]
5	14	1	-1	3/4	3/4	3/4	0	2						13	[15]
5	15	1	-1	3/4	3/4	3/4	0	2						14	[16]
5	16	1	-1	3/4	3/4	3/4	0	3						15	[17]
5	17	1	-1	3/4	3/4	1/2	0	2	endRepeat					16	[9]
6	0	0	0	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
6	1	0	0	3/4	3/4	3/4	0	2						1	[2]
6	2	0	0	3/4	3/4	3/4	0	2						2	[3]
6	3	0	0	3/4	3/4	3/4	0	2						3	[4]
6	4	0	0	3/4	3/4	3/4	0	2						4	[5]
