id	Ta	TaTa	TaTaTa	TaTaTi	TaTaTigitigi	TaTaTimgi	TaTaTimgiri	TaTaTiti	TaTaTriole	TaTao	TaTi	TaTim	TaTimgiTa	TaTimgiTimgi	TaTimgiTiti	TaTiti	TaTitiTa	TaTitiTiti	TaTitigiTigitigi	TaTrioleTa	Tai	Taiti	TaitiTa	TaitiTiti	Tao	TaoTa	TaoTigitigi	TaoTimgi	TaoTiti	TaoTriole	Taoa	TigimTi	TigimTitiTiti	TigimgiTim	Tigitigi	TigitigiTa	TigitigiTaTa	TigitigiTi	TigitigiTigitigi	TigitigiTigitigiTigitigi	TigitigiTiti	TigitigiTitiTiti	Timgi	TimgiTa	TimgiTaTa	TimgiTaTigitigi	TimgiTaTimgi	TimgiTaTiti	TimgiTimgiTimgi	TimgiTiti	TimgiTitiTiti	TimgiriTa	Titi	TitiTa	TitiTaTa	TitiTaTimgi	TitiTaTiti	TitiTi	TitiTiti	TitiTitiTa	TitiTitiTigitigi	TitiTitiTimgi	TitiTitiTiti	TitiTitiTitigi	TitiTitigiTigitigi	TitigiTa	TitigiTi	TitigiTigitigi	TitigiTiti	TitigiTitiTigitigi	TitigiTitiTiti	TitigiTitiTitigi	TitigiTitigi	TitigiTitigiTitigi	TrioleTa	TrioleTaTa	no
1		0.0625				0.625												0.0625																										0.0625	0.0625																		0.125														
2		0.0625																																																											0.25		0.4375	0.1875	0.125					0.0625	0.125						
3		0.0625	0.1875			0.5625																						0.0625																0.0625																			0.0625														
4		0.0625																																		0.0625				0.25																					0.375		0.5														
5		0.0625	0.0625			0.3125												0.25																										0.0625			0.0625		0.0625																												
6		0.0625	0.125																							0.0625																		0.0625	0.0625			0.25			0.0625					0.125							0.1875														
7		0.0625																										0.1875																0.0625																				0.9375													
8		0.0625				0.375												0.375																										0.0625												0.0625																					
9		0.0625	0.125			0.5								0.0625				0.0625								0.0625																		0.0625	0.0625																																
10		0.0625				0.125		0.0625																																																					0.125		0.125	0.4375		0.0625											
11		0.0625																									0.125									0.0625										0.375			0.1875																					0.125				0.0625			
12		0.0625	0.0625			0.3125		0.0625						0.125										0.1875					0.0625															0.0625					0.0625																												
13		0.0625	0.375		0.0625	0.25																						0.0625																0.0625																																	
14		0.125	0.125														0.5	0.0625					0.25																																								0.375	0.0625													
15		0.0625			0.0625																															0.0625													0.1875												0.0625																
16		0.0625	0.0625			0.125																					0.0625																	0.0625																	0.375		0.125	0.0625										0.0625			
17		0.0625	0.625						0.25								0.0625																												0.125																		0.0625												0.0625		
18																									0.1875		0.25								0.0625																										0.5		0.5														
