id	Ta	TaTa	TaTaTa	TaTaTi	TaTaTimgi	TaTaTiti	TaTao	TaTi	TaTim	TaTimgiTa	TaTiti	TaTitiTa	TaTitiTiti	Tai	TaitiTa	TaitiTiti	Tao	TaoTa	TaoTimgi	TaoTiti	Taoa	Timgi	TimgiTa	TimgiTaTa	TimgiTiti	Titi	TitiTa	TitiTaTa	TitiTaTimgi	TitiTi	TitiTiti	TitiTitiTa	TitiTitiTiti	no
1		0.5625	0.0625		0.125											0.0625							0.0625	0.0625									0.0625	
2		0.0625	0.0625					0.0625																									1.1875	
3		0.0625	0.1875		0.1875														0.4375				0.0625										0.0625	
4		0.125																															0.875	
5		0.0625	0.3125		0.375	0.125																	0.0625					0.0625						
6		0.0625	0.3125	0.125												0.0625		0.0625					0.0625						0.125				0.1875	
7		0.0625																	0.1875				0.0625										0.9375	
8		0.1875	0.625		0.125																								0.0625					
9		0.4375	0.25		0.125												0.0625						0.125											
10		0.1875	0.0625																								0.0625						0.6875	
11		0.0625	0.125														0.125						0.125										0.1875	
12		0.125	0.4375															0.25	0.1875															
13		0.5	0.375		0.1875												0.0625		0.0625			0.0625												
14		0.3125	0.5												0.25																		0.4375	
15		0.125	0.125														0.0625	0.0625									0.3125	0.25					0.0625	
16		0.0625	0.0625		0.125															0.0625			0.0625										0.625	
17		0.75	0.4375																					0.0625										
18																	0.5																1.0	
19		0.5625	0.3125															0.125					0.125	0.0625										
20		0.1875				0.125											0.0625	0.0625			0.125						0.1875						0.375	
21		0.125	0.8125																															
22		0.125	0.1875																								0.3125	0.375						
23		0.6875	0.4375																0.0625														0.0625	
24		0.125																					0.0625										0.0625	
25		0.25	0.5625														0.0625	0.125															0.0625	
26		0.1875																					0.3125	0.125									0.375	
27		0.0625	0.5		0.0625											0.1875		0.0625	0.0625				0.0625											
28		0.25														0.75																		
29		0.1875	0.3125													0.3125																		
30		0.125																															0.875	
31		0.375	0.125															0.25															0.25	
32		0.125	0.125													0.25	0.0625	0.125						0.0625									0.1875	
33		0.375	0.5625															0.0625																
34		0.125																														0.0625	0.8125	
35		0.1875	0.375							0.0625								0.1875		0.0625			0.0625											
36	0.0625	0.125	0.0625	0.3125		0.0625							0.0625					0.0625										0.0625						
37		0.125	0.25			0.0625										0.1875		0.0625		0.0625				0.125										
38		0.125																															0.875	
39		0.4375	0.3125					0.125									0.0625							0.0625										
40		0.125																															0.875	
41		0.1875	0.375	0.25													0.0625	0.0625															0.0625	
42		0.0625															0.0625				0.125						0.0625						0.6875	
43		0.125																															0.875	
44		0.375	0.1875										0.0625	0.0625																			0.3125	
45																											0.0625						0.875	
46		0.125	0.0625																					0.0625			0.1875						0.5625	
47		0.0625	1.0									0.0625							0.0625				0.0625											
48		0.125	0.625															0.75			0.5													
49	0.0625	0.125	0.25														0.0625	0.75															1.0	
50	0.0625		0.8125														0.25			0.375													0.125	
51	0.0625	0.125	0.9375														0.125	0.3125		0.25	0.0625													
52			1.0										0.0625				0.1875	0.375															0.625	
53	0.0625	0.125	0.1875							0.0625		0.125						0.375															0.5	
54		0.125	0.75				0.25										0.0625	0.25			0.0625													
55	0.125		0.5									0.0625					0.0625	0.375			0.0625	0.0625												
56	0.25		0.8125															0.6875	0.3125		0.125	0.0625												
57		0.5	0.4375									0.0625					0.0625	0.0625		0.25													0.125	
58		0.0625	0.625			0.125											0.125	0.0625			0.125						0.0625						0.0625	
59			2.875														0.125																	
60	0.0625																	1.4375																
61			1.5	0.125													0.1875			0.125						0.0625								
62			1.5																															
63			2.125									0.5				0.0625	0.1875			0.0625						0.0625								
64		0.0625	0.375													0.1875												0.375						
65		0.125	0.875																															
66		0.0625	1.875														0.0625																	
67			1.125															0.3125			0.0625													
68		0.0625	0.9375																															
69																	0.125	1.375																
70																		0.9375			0.0625													
71	0.0625	0.125	1.0625															0.125			0.125													
72	0.1875	0.4375	0.9375			0.0625											0.125															0.0625	0.0625	
73		0.125	0.875																															
74		0.1875	1.3125																															
75		0.125	0.875																															
76		0.125	0.875																															
77		0.0625	0.9375																															
78		0.125	0.875																															
79		0.125	0.875																															
80		0.125	0.875																															
81			0.875					0.125																										
82			1.0																															
83			1.0																															
84		0.125	0.6875														0.0625																	
85		0.125	0.875																															
86		0.125	0.875																															
87		0.125	0.875																															
88		0.0625	0.9375																															
89		0.125	0.875																															
90	0.0625	0.875															0.0625																	
91	0.0625	0.875															0.0625																	
92	0.0625	0.5									0.125						0.25																	
93	0.125	0.3125															0.5625																	
94	0.125	0.625															0.25																	
95	0.1875	0.625															0.0625									0.0625					0.0625			
96																														0.1875	0.1875			
97																											0.0625			0.0625	0.375			
98																														0.0625	0.4375			
99	0.125		1.375																															
100															0.125		0.125	1.25																
101			0.8125											0.125				0.0625																
102		0.75	0.375														0.375																	
103	0.0625		1.0							0.1875			0.125					0.125			0.0625													
104	0.0625	0.125	0.875																														0.125	
105	0.0625	0.125	2.25														0.0625																	
106		0.125	1.375																															
107	0.25		0.1875									0.5						0.6875									0.125						1.0	
108	0.1875		2.5625																															
109			0.625														0.0625	0.375		0.125						0.0625							0.75	
110				0.875													0.125				0.5													
111			1.375														0.125																	
112	0.0625		1.25														0.0625	0.125																
113		0.125	0.375															1.0																
114																															0.125		1.3125	
115	0.125	0.0625	1.8125																															
116																	0.125	0.875																
117		0.125	0.125				1.6875										0.1875	0.25																
118																	0.25	1.25																
119	0.3125		0.375															0.8125																
120	0.125		1.5625														0.0625																	
121			1.125									0.125					0.1875											0.0625						
122			1.0																															
123			1.0									0.3125					0.1875																	
124			0.875														0.125																	
125			0.875														0.125																	
126			0.875														0.125																	
127			0.875																		0.125													
128	0.125	0.0625	1.1875																															0.125
129	0.0625		0.875														0.0625																	
130		0.0625	1.3125														0.125																	
131																															1.0			
132	0.1875	0.5625						0.125			0.0625																							
133		0.5625									0.4375																							
134		1.0																																
135		0.0625																													0.9375			
136	0.0625	0.6875															0.25																	
137		1.0																																
138		0.4375						0.3125																							0.25			
139	0.125	0.875																																
140		0.875															0.125																	
141		0.5625						0.0625									0.375																	
142		0.4375															0.1875														0.375			
143	0.1875		0.0625															1.125			0.875													
144	0.0625		3.0625																															
145	0.0625	0.5	0.75														0.1875				0.125													
146			0.0625																							0.0625	0.125					0.0625	1.25	
147																	0.0625	0.0625	0.25	0.0625		0.0625											1.0	
148	0.125	0.0625	0.9375										0.25				0.0625																0.5625	
149			0.75									0.125	0.0625				0.1875	0.1875															0.1875	
150		0.125	0.75														0.125																	
151			0.6875					0.125																									0.1875	
152			0.875														0.125																	
153			0.875														0.125																	
154		0.1875	0.8125																															
155		0.125	0.875																															
156		0.125	0.875																															
157		0.125																															0.875	
158			0.875					0.125																										
159		0.125	0.4375																													0.0625	0.375	
160		0.125																															0.875	
161		0.125	0.875																															
162		0.125	0.875																															
163			1.3125														0.1875																	
164			0.8125														0.125	0.0625																
165			0.875														0.125																	
166		0.125	0.5625				0.25	0.0625																										
167		0.0625	0.875														0.0625																	
168			0.875														0.125																	
169			0.875														0.125																	
170			0.875														0.125																	
171		0.125	0.875																															
172		0.0625	0.8125															0.125																
173			1.0																															
174			0.875														0.125																	
175			0.875														0.125																	
176		0.125	0.875																															
177	0.125		0.875																															
178			1.0											0.125	0.25		0.125																	
179		0.0625	0.9375																															
180	0.0625		0.875									0.125					0.0625																	
181		0.125	1.375																															
182		0.0625	1.9375																															
183			1.125																															
184			1.0																															
185			0.125												0.1875			0.5625			0.125													
186	0.0625	0.0625	0.875																															
187	0.6875														0.125	0.0625					0.125													
188																	0.125	0.875																
189			0.8125										0.0625				0.125																	
190			0.875														0.125																	
191		0.0625	1.0625				0.25										0.0625	0.0625																
192			0.875					0.125																										
193			0.8125			0.0625											0.0625									0.0625								
194		0.125	0.5				0.0625					0.1875	0.0625					0.0625																
195			0.4375									0.125					0.0625	0.3125			0.0625													
196		0.125	1.375																															
197			0.875																		0.125													
198		0.0625	0.8125											0.125																				
199		0.0625	0.875																															
200			0.0625														0.125	0.5																
201		0.0625	0.8125														0.125																	
202			0.875														0.125																	
203		0.4375	0.4375														0.125																	
204		0.4375	0.4375														0.125																	
205			0.875														0.125																	
206		0.0625	0.8125														0.125																	
207		0.4375	0.4375														0.125																	
208		0.25	0.4375														0.3125																	
209		0.875															0.125																	
210		0.4375	0.5														0.0625																	
211		0.3125	0.4375														0.125							0.125										
212		0.0625																					0.0625										1.125	
213	0.0625	0.25	0.3125		0.0625		0.0625										0.0625	0.0625																
214		0.125	0.3125													0.3125												0.0625						
215		0.0625																									0.0625						0.875	
216		0.125														0.0625							0.0625										0.125	
217		0.3125	0.3125																										0.0625				0.25	
218			1.25														0.1875									0.0625								
219			0.75														0.125	0.125																
220		0.0625	0.75														0.0625	0.0625																
221			0.875														0.125																	
222			0.875														0.125																	
223			1.1875														0.125	0.1875																
224			0.8125														0.1875																	
225			0.75											0.125			0.125																	
226			0.4375		0.125		0.1875										0.0625			0.0625		0.0625						0.0625						
227			0.875														0.125																	
228			0.5625							0.1875		0.0625					0.125	0.0625																
229	0.125	0.0625	2.375									0.0625					0.3125		0.8125	0.125	0.0625	0.1875				0.0625							1.3125	
230	0.0625	0.625															0.0625																	
231	0.0625	0.625															0.3125																	
232	0.125	0.3125															0.125														0.4375			
233	0.125	0.5															0.375																	
234	0.0625	0.25															0.25														0.4375			
235	0.0625	0.625															0.3125																	
236	0.125	0.5625									0.1875						0.125																	
237	0.125	0.5									0.0625						0.1875										0.125							
238	0.125	0.625															0.0625										0.1875							
239		1.375															0.125																	
240	0.125	0.5625															0.3125																	
241	0.25	0.375															0.375																	
242	0.125	0.8125															0.0625																	
243			0.1875	1.125																	0.375												0.1875	
244			1.0		0.125																		0.0625	0.0625					0.125				0.25	
245		0.5											0.125					0.0625															0.25	
246	0.1875	0.25									0.125						0.125														0.3125			
247		0.125	0.875																															
248			0.25														0.125				0.625													
249		0.875															0.125																	
250	0.0625	0.0625	0.4375															0.4375																
251		0.125	0.125				0.125										0.0625	0.125		0.125								0.0625						
252			0.6875														0.125	0.1875																
253	0.125	0.4375	0.3125															0.125																
254			0.875														0.125																	
255	0.125	0.625																													0.25			
256		0.875																																
257	0.125	0.875																																
258	0.125	0.25															0.1875										0.3125			0.125				
259	0.1875							0.1875			0.5625																				0.0625			
260			1.625														0.125	0.25																
261		0.125	0.875				0.125	0.125					0.5																					
262			0.375									0.9375					0.1875																	
263			0.875														0.125																	
264			1.3125														0.125	0.0625																
265		0.125	1.3125														0.0625																	
266			0.875														0.125																	
267			1.4375														0.0625																	
268			1.125														0.125																	
269			1.375														0.125																	
270			0.875														0.125																	
271		0.0625	0.5				0.375										0.0625																	
272		0.0625	1.375														0.0625																	
273		0.125	0.875																															
274		0.0625	0.875														0.0625																	
275			0.0625				0.8125										0.0625				0.0625													
276			0.5														0.1875	0.4375																
277			0.875														0.125																	
278		0.6875									0.0625						0.25																	
279	0.0625	0.8125															0.125																	
280																									0.125		0.4375			0.0625	0.25			
281																											0.1875				0.8125			
282																											0.125			0.0625	0.1875			
283																											0.125				0.25			
284											0.0625																0.125			0.0625	0.0625			
285																														0.125	0.375			
286																											0.3125				0.1875			
287																														0.125	0.375			
288																											0.25				0.5			
289																											0.0625			0.0625	0.375			
290		0.0625	0.5				0.3125										0.125																	
291		0.125	0.5									0.25	0.0625				0.0625																	
292			0.5625						0.125																									
293		0.125	0.9375						0.125																									
294			1.3125						0.1875																									
295		0.0625	0.8125						0.125																									
296		0.125	1.3125														0.0625																	
297			0.75					0.125						0.125																				
298			0.875					0.125																										
299			0.875											0.125																				
300		0.125	0.875																															
301			0.875						0.125																									
302			0.875					0.125																										
303			1.3125											0.125			0.0625																	
304			2.3125																															
305		0.125	0.875																															
306		0.1875	1.3125																															
307		0.125	0.4375									0.3125					0.125																	
308		0.125	1.3125														0.0625																	
309		0.125	0.875																															
310		0.125	0.875																															
311		0.0625	0.875														0.0625																	
312		0.125	0.875																															
313		0.1875	1.3125																															
314		0.125	0.875																															
315		0.125	0.875																															
316		0.25	1.25																															
317		0.125	0.8125														0.0625																	
318		0.1875	1.3125																															
319		0.125	0.8125														0.0625																	
320			1.25															0.125																0.0625
321		0.125	0.6875	0.125				0.0625																										
322		0.125	0.875																															
323			1.375					0.125																										
324		0.0625	0.875														0.0625																	
325		0.0625	0.875														0.0625																	
326		0.75															0.25																	
327	0.125	0.8125															0.0625																	
328	0.0625	0.75												0.0625			0.0625																	
329	0.0625	0.5						0.3125									0.0625														0.0625			
330		0.6875															0.1875														0.125			
331	0.125	0.125						0.5625			0.125						0.0625																	
332	0.0625	0.375															0.1875										0.25							
333	0.125	0.5625															0.3125																	
334	0.0625	0.9375																																
335		0.875															0.125																	
336	0.125	0.3125															0.5625																	
337		0.875															0.125																	
338		0.0625	1.1875												0.125						0.125													
339			0.25															0.625																0.0625
340			0.875														0.125																	
341		0.125	0.1875									0.5					0.125																	
342		0.0625	0.875														0.0625																	
343			0.3125									0.5625		0.125																				
344		0.0625	0.6875				0.1875										0.0625																	
345			0.5				0.375										0.125																	
346			0.4375									0.5					0.0625																	
347		0.25	1.25																															
348		0.125	0.75														0.125																	
349	0.0625		0.625																		0.3125													
350			0.25	0.0625													0.125	0.5																
351		0.0625	0.875														0.0625																	
352			0.875														0.125																	
353			0.375				0.0625							0.125				0.4375																
354	0.0625	0.125						0.1875									0.125														0.5			
355		0.6875															0.1875														0.125			
356			2.875														0.0625			0.0625	0.25													
357		0.0625	0.875														0.0625																	
358			0.875														0.125																	
359			1.25														0.1875				0.0625													
360			0.9375														0.125	0.1875			0.25													
361		0.4375	1.5625																															
362		0.1875	1.6875														0.125																	
363		0.125	0.875																															
364		0.125	0.875																															
365		0.125	0.5625				0.1875											0.125																
366			1.25														0.125																	
367	0.125	0.75																													0.125			
368	0.0625	0.625															0.0625														0.25			
369		0.625															0.375																	
370			0.8125														0.125	0.0625																
371			0.875														0.1875	0.875															0.0625	
372			1.375									0.0625					0.1875	0.375																
373			1.25														0.25																	
374		0.125	1.3125	0.125			0.5							0.125			0.3125																	
375			2.5625														0.3125				0.125													
376		0.0625	0.1875				0.125	0.0625									0.5625																	
377			0.875														0.125																	
378																	0.125	0.875																
379		0.125	1.375																															
380		0.0625	0.875														0.0625																	
381		0.0625	0.875														0.0625																	
382		0.125	1.3125														0.0625																	
383			0.875														0.125																	
384		0.0625	0.9375																															
385			0.875														0.0625																	
386		0.0625	1.4375																															
387		0.0625	0.9375																															
388		0.125	2.625																															
389		0.125	1.375																															
390		0.125	2.875																															
391	0.1875																								0.125						1.0			
392	0.375																								0.125		0.4375				1.875			
393		0.3125	0.1875			0.3125											0.1875																	
394		0.125	0.875																															
395																		3.5625			0.0625													
396		0.125	1.375																															
397		0.1875	1.4375										0.1875				0.1875																	
398			0.875														0.125																	
399		0.125	0.9375										0.1875				0.0625																	
400			0.25	0.125								1.0					0.125																	
401		0.0625	0.8125				0.5									0.1875	0.0625	0.25			0.375													
402			0.875														0.125																	
403		0.125	0.5625										0.3125																					
404		0.0625	1.75									0.125	0.25				0.0625																	
405		0.125	0.875																															
406		0.0625	0.4375														0.0625	0.4375																
407		0.125	0.875																															
408			1.0																															
409			1.0																															
410			1.0																															
411			0.5				0.375										0.125																	
412		0.125	1.375																															
413			0.375				0.6875					0.375							0.0625															
414		0.1875	0.6875			0.0625														0.0625														
415		0.0625	0.9375																															
416		0.125	0.875																															
417		0.125	0.625					0.0625					0.125																					0.0625
418		0.0625	0.5				0.0625										0.1875																	0.125
419			0.25				0.625	0.125																										
420			0.75										0.125					0.125																
421			1.0																															
422		0.0625	0.8125														0.125																	
423		0.0625	1.25				0.0625	0.125																										
424	0.125	0.8125															0.0625																	
425	0.125	0.5625									0.125						0.1875																	
426	0.0625	0.5625									0.125						0.25																	
427	0.125	0.375						0.125									0.25														0.125			
428	0.125	0.5625						0.1875									0.125																	
429	0.125	0.6875						0.0625									0.125																	
430	0.0625	0.4375									0.0625						0.125																	
431		0.0625	1.1875									0.3125																						
432			0.875														0.125																	
433		0.1875	1.3125																															
434			0.5625									0.0625					0.125	0.25																
435		0.0625	0.4375														0.0625	0.4375																
