id,Ta,TaTa,TaTaTa,TaTaTi,TaTaTigitigi,TaTaTimgi,TaTaTimgiri,TaTaTiti,TaTaTitigi,TaTaTriole,TaTaiti,TaTano,TaTao,TaTi,TaTimgiTa,TaTimgiTimgi,TaTimgiTiti,TaTiti,TaTitiTa,TaTitiTi,TaTitiTiti,TaTitigiTigitigi,TaTrioleTa,Tai,Taiti,TaitiTa,TaitiTimgi,TaitiTiti,TaitigiTigitigi,Tanogi,Tao,TaoTa,TaoTigitigi,TaoTimgi,TaoTimgiri,TaoTiti,TaoTriole,Taoa,Taono,TigimTi,TigimTitiTiti,Tigimgim,Tigitigi,TigitigiTa,TigitigiTaTa,TigitigiTi,TigitigiTigitigi,TigitigiTigitigiTigitigi,TigitigiTiti,Timgi,TimgiTa,TimgiTaTa,TimgiTaTigitigi,TimgiTaTimgi,TimgiTaTiti,TimgiTaiti,TimgiTi,TimgiTimgiTimgi,TimgiTiti,TimgiTitiTiti,Timgiri,TimgiriTa,TimgiriTiti,TinotigiTigitigi,Titi,TitiTa,TitiTaTa,TitiTaTi,TitiTaTimgi,TitiTaTiti,TitiTao,TitiTi,TitiTiti,TitiTitiTa,TitiTitiTi,TitiTitiTimgi,TitiTitiTiti,TitiTitino,TitigiTa,TitigiTi,TitigiTigitigi,TitigiTiti,TitigiTitigi,Triole,no,nogiTimgi,nogiTiti
1,0.0625,,0.0625,,,0.625,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
2,0.0625,,,,0.25,0.1875,,0.0625,,,,,,,,,,,,,,,,,,,,0.375,0.0625,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.125,0.0625,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.25,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.125,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,0.3125,,,,,,,,,,,,,,,,,,,,,,,0.625,,,0.0625,,0.1875,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0625,,0.0625,,,0.3125,,,,,,,,,,,,,,,0.0625,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,0.0625,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.0625,,,,,,,,,,,,,,,,,,,,0.0625,,,0.0625,0.1875,,,,0.0625,,,,,,,0.125,,,0.1875,,,,,,,,,,,,,,,,,
7,0.0625,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,0.875,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.0625,,,,0.25,,,,,,,,,,,,,,,,,,,,,0.0625,0.375,,,,,,0.125,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,
9,,,0.125,,,,,,,,,,,,,0.0625,,,,,0.0625,,,,,,,,,,0.0625,0.0625,,0.5,,,,,,,,,,,,,,,,0.0625,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0625,,,,0.0625,0.25,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.3125,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,0.125,,,,,,,,,,0.0625,,,,,,,,,,0.5,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,0.25,,,0.125,,,,,,,,,,0.125,,,,,,,,,,,,0.1875,,,0.0625,,,,,0.125,,,,,,,,,,,,,,0.0625,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0625,,0.3125,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.0625,0.0625,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.125,,0.125,,,,,,0.0625,,,,,,,,,,,,,,,,,0.875,,0.0625,,,,0.1875,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,0.1875,,,,,,,,,,,0.0625,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,0.0625,,0.25,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,0.1875,,,0.125,,,,,,,,,,,,,,0.0625,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0625,,0.3125,,,,,,,0.125,,,,,,,,,,,,,,,,0.0625,,,,,,0.25,,,,,0.125,,0.0625,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,0.0625,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,0.75,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
19,,,0.25,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.125,,,0.25,,,,,,,,,,0.0625,,,,,,0.0625,0.0625,,,,0.125,,,,,0.0625,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
20,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,0.0625,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,0.0625,,,0.25,,,,,,,0.0625,,,,,,,,,,
