id	segment_id	A1_duration	A1_offcount	A1_oncount	A2_duration	A2_offcount	A2_oncount	A3_duration	A3_offcount	A3_oncount	A4_duration	A4_offcount	A4_oncount	A5_duration	A5_offcount	A5_oncount	A6_duration	A6_offcount	A6_oncount	D1_duration	D1_offcount	D1_oncount	D3_duration	D3_offcount	D3_oncount	D4_duration	D4_offcount	D4_oncount	D5_duration	D5_offcount	D5_oncount	D7_duration	D7_offcount	D7_oncount	M2_duration	M2_offcount	M2_oncount	M3_duration	M3_offcount	M3_oncount	M6_duration	M6_offcount	M6_oncount	M7_duration	M7_offcount	M7_oncount	P4_duration	P4_offcount	P4_oncount	P5_duration	P5_offcount	P5_oncount	bass	intervals	m2_duration	m2_offcount	m2_oncount	m3_duration	m3_offcount	m3_oncount	m6_duration	m6_offcount	m6_oncount	m7_duration	m7_offcount	m7_oncount
1	0																																					1	0.0	1.0													C	('M3',)												
1	1																																					1/2	0.6666666666666666	0.3333333333333333										1/2	0.3333333333333333	0.6666666666666666	C	('M3', 'P5')												
1	2																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
1	3																																					2/3	0.3333333333333333	0.6666666666666666										1/3	0.5	0.5	C	('M3', 'P5')												
1	4																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
1	5																																					1/4	1.0	0.0	1/4	1.0	0.0				1/4	1.0	0.0	1/4	1.0	0.0	C	('M3', 'M6', 'P4', 'P5')												
1	6																																		1/3	0.0	1.0	1/3	1.0	0.0				1/3	0.0	1.0							C	('M2', 'M3', 'M7')												
1	7																																								1/2	0.0	1.0				1/2	0.0	1.0				G	('M6', 'P4')												
1	8																																					1/6	0.0	1.0	1/3	0.5	0.5				1/3	0.5	0.5	1/6	0.0	1.0	G	('M3', 'M6', 'P4', 'P5')												
1	9																																					1	0.0	1.0													C	('M3',)												
1	10																																					1/2	0.6666666666666666	0.3333333333333333										1/2	0.3333333333333333	0.6666666666666666	C	('M3', 'P5')												
1	11																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
1	12																																					2/3	0.3333333333333333	0.6666666666666666										1/3	0.5	0.5	C	('M3', 'P5')												
1	13													1/6	1.0	0.0																						1/2	0.0	1.0	1/6	0.0	1.0							1/6	0.0	1.0	C	('A5', 'M3', 'M6', 'P5')												
1	14																																														1	1.0	0.0				B	('P4',)												
1	15																																																	1/2	1.0	0.0	A	('P5', 'm3')				1/2	0.0	1.0						
1	16																																					1/2	1.0	0.0													D	('M3', 'm7')										1/2	1.0	0.0
1	17																																		1/2	0.0	1.0										1/2	0.0	1.0				G	('M2', 'P4')												
1	18																																					1	0.0	1.0													G	('M3',)												
1	19																																																				G	()												
1	20																																																				G	()												
1	21																																																				G	()												
1	22																																																				G	()												
1	23																																																				G	()												
1	24																																																				G	()												
1	25																																																				G	()												
1	26																												1/3	0.0	1.0																						B	('D5', 'm3', 'm6')				1/3	0.0	1.0	1/3	0.0	1.0			
1	27																																																	1/2	1.0	0.0	G	('P5', 'm7')										1/2	1.0	0.0
1	28																												1/3	1.0	0.0																						B	('D5', 'm3', 'm6')				1/3	1.0	0.0	1/3	1.0	0.0			
1	29																																																	1/2	1.0	0.0	G	('P5', 'm7')										1/2	1.0	0.0
1	30																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
1	31																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	1.0	0.0			
1	32																																								1/2	0.0	1.0				1/2	0.0	1.0				G	('M6', 'P4')												
1	33																																					1/4	0.0	1.0	1/4	0.5	0.5				1/4	0.5	0.5	1/4	0.0	1.0	G	('M3', 'M6', 'P4', 'P5')												
1	34																																					1	0.0	1.0													C	('M3',)												
1	35																																					1/2	0.6666666666666666	0.3333333333333333										1/2	0.3333333333333333	0.6666666666666666	C	('M3', 'P5')												
1	36																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
1	37																																					2/3	0.3333333333333333	0.6666666666666666										1/3	0.5	0.5	C	('M3', 'P5')												
1	38																																					5/9	0.5	0.5										4/9	0.0	1.0	C	('M3', 'P5')												
1	39																																								1/2	0.0	1.0				1/2	0.0	1.0				G	('M6', 'P4')												
1	40																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
1	41																																					1	0.0	1.0													C	('M3',)												
1	42																																																				C	()												
2	0																																					1	0.0	1.0													C	('M3',)												
2	1																																														1	1.0	0.0				G	('P4',)												
2	2																																					2/7	0.5	0.5										4/7	0.5	0.5	C	('M3', 'P5', 'm7')										1/7	1.0	0.0
2	3																																																				A	('m6',)							1	0.0	1.0			
2	4																																					1	1.0	0.0													F	('M3',)												
2	5																																																				E	('m3',)				1	0.0	1.0						
2	6																																																				G	()												
2	7																																					1	0.0	1.0													C	('M3',)												
2	8																																																				G	()												
2	9				1/2	1.0	0.0																															1/2	0.0	1.0													C	('A2', 'M3')												
2	10																																								1/2	1.0	0.0				1/2	1.0	0.0				G	('M6', 'P4')												
2	11																																					2/7	0.5	0.5										4/7	0.5	0.5	C	('M3', 'P5', 'm7')										1/7	1.0	0.0
2	12																																																				A	('m6',)							1	0.0	1.0			
2	13																																					1	1.0	0.0													F	('M3',)												
2	14																																																				E	('m3',)				1	0.0	1.0						
2	15																																																				G	()												
2	16																																					1	0.0	1.0													C	('M3',)												
2	17																																																				G	()												
2	18																																																				E	('m6', 'm7')							1/2	1.0	0.0	1/2	0.0	1.0
2	19																																					1/2	1.0	0.0							1/2	1.0	0.0				G	('M3', 'P4')												
2	20																																																				B	('m3',)				1	0.0	1.0						
2	21																																																	1	1.0	0.0	G	('P5',)												
2	22																																														1	0.0	1.0				D	('P4',)												
2	23																																																				G	()												
2	24																																																				B	('m6', 'm7')							1/2	1.0	0.0	1/2	0.0	1.0
2	25																																											1	1.0	0.0							G	('M7',)												
2	27																																								5/13	0.5	0.5				2/13	0.0	1.0				A	('M6', 'P4', 'm3')				6/13	0.5	0.5						
2	28																																																				C	()												
2	29																																								1/4	1.0	0.0							1/4	1.0	0.0	A	('M6', 'P5', 'm3')				1/2	1.0	0.0						
2	30																																					3/14	0.5	0.5	1/7	0.0	1.0				1/14	1.0	0.0	4/7	1.0	0.0	G	('M3', 'M6', 'P4', 'P5')												
