	TSNE1	TSNE2	dance
0	-9.654874	7.7247415	menuett
1	-14.768453	17.770779	trio
2	-8.5717535	-0.41737548	menuett
3	-17.419542	15.982611	trio
4	-16.731403	8.553415	menuett
5	-8.289481	5.8793373	trio
6	-19.29396	16.96635	menuett
7	-12.90023	6.7594423	trio
8	-10.623282	7.906782	menuett
9	-13.448783	15.773411	trio
10	-17.253128	11.637735	menuett
11	-12.413566	6.46129	trio
12	-11.732072	9.855072	menuett
13	-10.975154	6.8109503	trio
14	-15.370065	11.300949	menuett
15	-15.178986	15.15281	trio
16	-9.205204	9.731127	menuett
17	-19.285099	17.055334	trio
18	-10.35061	9.924309	menuett
19	-12.334239	15.01429	trio
20	-13.57571	7.9212275	menuett
21	-6.5299153	5.6508646	trio
22	-11.3272705	10.694747	menuett
23	-17.797543	10.410245	trio
24	-11.632024	5.773293	menuett
25	-15.827066	11.970909	trio
26	-16.528833	9.132612	menuett
27	-17.25829	13.07264	trio
28	-16.698929	9.389165	menuett
29	-16.292557	18.1105	trio
30	-14.301145	11.28825	menuett
31	-16.981236	11.16282	trio
32	-13.427223	10.011794	menuett
33	-17.283976	14.960213	trio
34	-13.105094	6.5540066	menuett
35	-18.57866	9.671478	trio
36	-15.7896595	6.941795	menuett
37	-15.747605	16.382366	trio
38	-12.6142	9.594158	menuett
39	-16.434742	15.958093	trio
40	-14.258566	9.632692	menuett
41	-13.39417	17.555368	trio
42	-17.467247	17.455635	trio
43	-15.421523	7.945451	menuett
44	-14.38234	16.06913	trio
45	-12.009479	15.195653	trio
46	4.1307635	10.473868	deutscher
47	16.96741	-11.155687	deutscher
48	-11.900736	18.33605	deutscher
49	12.670512	-6.730203	deutscher
50	15.76326	-8.059949	deutscher
51	-11.541377	-11.360443	deutscher
52	-10.614718	17.582193	deutscher
53	8.163631	9.767443	deutscher
54	-10.946808	2.396409	deutscher
55	15.832015	-8.227357	deutscher
56	-9.905998	9.26274	deutscher
57	6.0174184	10.400987	deutscher
58	-2.8754108	-17.50989	deutscher
59	11.031854	9.852429	trio
60	-0.07939812	-17.630995	walzer
61	-12.132402	0.23645134	walzer
62	-2.1859617	-19.444704	walzer
63	9.730145	-14.99002	walzer
64	-8.6573715	-11.945445	walzer
65	8.956024	-8.8458185	walzer
66	-2.7829957	-8.639129	walzer
67	-10.301494	-11.499464	walzer
68	15.168772	-8.547787	walzer
69	17.217516	-14.352047	walzer
70	-1.0311207	-12.375647	walzer
