mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	2	1		{	a	i										{		1	1				
2	1	0	0	3/4	2	1		a.i	a	i		i		i							m	1	1	0, -3, 1		0	0
3	2	0	0	3/4	2	1		i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	3	0	0	3/4	2	1		V43	a	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
5	4	0	0	3/4	2	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	5	0	0	3/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
7	6	0	0	3/4	2	1		VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
7	6	1/2	1/2	3/4	2	1		Ger	a	i		Ger	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
8	7	0	0	3/4	2	1		V(64)	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
8	7	1/2	1/2	3/4	2	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	8	0	0	3/4	2	1		i|PAC	a	i		i		i					PAC		m	1	1	0, -3, 1		0	0
9	8	1/4	1/4	3/4	2	1		}	a	i										}		1	1				
10	8	0	1/2	3/4	2	1		{	a	i										{		1	1				
11	9	0	0	3/4	2	1		viio65	a	i		viio65		vii	o	65					o7	1	1	-5, -8, -11, -2		-2	-5
12	10	0	0	3/4	2	1		viio43	a	i		viio43		vii	o	43					o7	1	1	-8, -11, -2, -5		-2	-8
13	11	0	0	3/4	2	1		VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
13	11	1/4	1/4	3/4	2	1		Fr	a	i		Fr	Fr	V		7	b5	V			Fr	1	1	2, 6, -4, 0		2	2
14	12	0	0	3/4	2	1		V|HC	a	i		V		V					HC		M	1	1	1, 5, 2		1	1
14	12	1/4	1/4	3/4	2	1		}	a	i										}		1	1				
14	12	1/2	1/2	3/4	2	1		{	a	i										{		1	1				
15	13	0	0	3/4	2	1		bII7	a	i		bII7		bII		7					Mm7	1	1	-5, -1, -4, -7		-5	-5
16	14	0	0	3/4	2	1		bII65	a	i		bII65		bII		65					Mm7	1	1	-1, -4, -7, -5		-5	-1
17	15	0	0	3/4	2	1		VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
17	15	1/4	1/4	3/4	2	1		Fr	a	i		Fr	Fr	V		7	b5	V			Fr	1	1	2, 6, -4, 0		2	2
18	16	0	0	3/4	2	1		V|HC	a	i		V		V					HC		M	1	1	1, 5, 2		1	1
18	16	1/4	1/4	3/4	2	1		}	a	i										}		1	1				
18	16	1/2	1/2	3/4	2	1		{	a	i										{		1	1				
19	17	0	0	3/4	2	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
20	18	0	0	3/4	2	1		viio7/iv	a	i		viio7/iv		vii	o	7		iv			o7	1	1	-3, -6, -9, -12		-3	-3
21	19	0	0	3/4	2	1		iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
22	20	0	0	3/4	2	1		viio7	a	i		viio7		vii	o	7					o7	1	1	-2, -5, -8, -11		-2	-2
23	21	0	0	3/4	2	1		III	a	i		III		III							M	1	1	-3, 1, -2		-3	-3
24	22	0	0	3/4	2	1		i	a	i		i		i							m	1	1	0, -3, 1		0	0
25	23	0	0	3/4	2	1		V	a	i		V		V							M	1	1	1, 5, 2		1	1
25	23	1/4	1/4	3/4	2	1		V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
26	24	0	0	3/4	2	1		i|PAC	a	i		i		i					PAC		m	1	1	0, -3, 1		0	0
26	24	1/4	1/4	3/4	2	1		}	a	i										}		1	1				
