mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	-2	3/4	1/4	1/2			1			firstMeasure	2
2	1	-2	3/4	3/4	0							3
3	2	-2	3/4	3/4	0							4
4	3	-2	3/4	3/4	0							5
5	4	-2	3/4	3/4	0					line		6
6	5	-2	3/4	3/4	0							7
7	6	-2	3/4	3/4	0							8
8	7	-2	3/4	3/4	0							9, 10
9	8	-2	3/4	1/2	0	1					end	1
10	8	-2	3/4	3/4	0	2		1	double	line		11
11	9	-2	3/4	3/4	0				start-repeat		start	12
12	10	-2	3/4	3/4	0							13
13	11	-2	3/4	3/4	0							14
14	12	-2	3/4	3/4	0							15
15	13	-2	3/4	3/4	0							16
16	14	-2	3/4	3/4	0					line		17
17	15	-2	3/4	3/4	0							18
18	16	-2	3/4	3/4	0							19
19	17	-2	3/4	3/4	0							20
20	18	-2	3/4	3/4	0							21
21	19	-2	3/4	3/4	0					line		22
22	20	-2	3/4	3/4	0							23
23	21	-2	3/4	3/4	0							24
24	22	-2	3/4	3/4	0							25
25	23	-2	3/4	3/4	0							26, 27
26	24	-2	3/4	3/4	0	1					end	11
27	24	-2	3/4	1/2	0	2		1	double		lastMeasure	-1
