mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	7	3/4	1/4	1/2			1			firstMeasure					2
2	1	7	3/4	3/4	0											3
3	2	7	3/4	3/4	0											4
4	3	7	3/4	3/4	0											5
5	4	7	3/4	3/4	0											6
6	5	7	3/4	3/4	0											7
7	6	7	3/4	3/4	0											8
8	7	7	3/4	3/4	0					line						9
9	8	7	3/4	3/4	0											10
10	9	7	3/4	3/4	0											11
11	10	7	3/4	3/4	0											12
12	11	7	3/4	3/4	0											13
13	12	7	3/4	3/4	0											14
14	13	7	3/4	3/4	0											15
15	14	7	3/4	3/4	0											16
16	15	7	3/4	3/4	0											17
17	16	7	3/4	1/2	0					line	end					1, 18
18	16	7	3/4	1/4	1/2			1	start-repeat		start					19
19	17	7	3/4	3/4	0											20
20	18	7	3/4	3/4	0											21
21	19	7	3/4	3/4	0											22
22	20	7	3/4	3/4	0											23
23	21	7	3/4	3/4	0											24
24	22	7	3/4	3/4	0											25
25	23	7	3/4	3/4	0					line						26
26	24	7	3/4	3/4	0											27
27	25	7	3/4	3/4	0											28
28	26	7	3/4	3/4	0											29
29	27	7	3/4	3/4	0											30
30	28	7	3/4	3/4	0											31
31	29	7	3/4	3/4	0											32
32	30	7	3/4	3/4	0											33
33	31	7	3/4	3/4	0					line						34
34	32	7	3/4	3/4	0											35
35	33	7	3/4	3/4	0											36
36	34	7	3/4	3/4	0											37
37	35	7	3/4	3/4	0											38
38	36	7	3/4	3/4	0											39
39	37	7	3/4	3/4	0											40
40	38	7	3/4	3/4	0											41
41	39	7	3/4	3/4	0					page						42
42	40	7	3/4	3/4	0											43
43	41	7	3/4	3/4	0											44
44	42	7	3/4	3/4	0											45
45	43	7	3/4	3/4	0											46
46	44	7	3/4	3/4	0											47
47	45	7	3/4	3/4	0											48
48	46	7	3/4	3/4	0											49
49	47	7	3/4	3/4	0											50
50	48	7	3/4	1/2	0					section	end	fine				18
