mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	3/4	1/4	1/2			1			firstMeasure	2
2	1	0	3/4	3/4	0							3
3	2	0	3/4	3/4	0							4
4	3	0	3/4	3/4	0							5
5	4	0	3/4	3/4	0							6
6	5	0	3/4	3/4	0					line		7
7	6	0	3/4	3/4	0							8
8	7	0	3/4	3/4	0							9, 10
9	8	0	3/4	1/2	0	1					end	1
10	8	0	3/4	1/2	0	2		1				11
11	8	0	3/4	1/4	1/2			1			start	12
12	9	0	3/4	3/4	0							13
13	10	0	3/4	3/4	0					line		14
14	11	0	3/4	3/4	0							15
15	12	0	3/4	3/4	0							16
16	13	0	3/4	3/4	0							17
17	14	0	3/4	3/4	0							18
18	15	0	3/4	3/4	0							19, 20
19	16	0	3/4	1/2	0	1					end	11
20	16	0	3/4	1/2	0	2		1	end		lastMeasure	-1
