mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	3	3/4	1/4	1/2			1			firstMeasure					2
2	1	3	3/4	3/4	0											3
3	2	3	3/4	3/4	0											4
4	3	3	3/4	3/4	0											5
5	4	3	3/4	3/4	0											6
6	5	3	3/4	3/4	0					line						7
7	6	3	3/4	3/4	0											8
8	7	3	3/4	3/4	0											9
9	8	3	3/4	1/2	0						end					1, 10
10	8	3	3/4	1/4	1/2			1			start					11
11	9	3	3/4	3/4	0											12
12	10	3	3/4	3/4	0											13
13	11	3	3/4	3/4	0					line						14
14	12	3	3/4	3/4	0											15
15	13	3	3/4	3/4	0											16
16	14	3	3/4	3/4	0											17
17	15	3	3/4	3/4	0											18
18	16	3	3/4	1/2	0				double							19
19	16	3	3/4	1/4	1/2			1								20
20	17	3	3/4	3/4	0					line						21
21	18	3	3/4	3/4	0											22
22	19	3	3/4	3/4	0											23
23	20	3	3/4	3/4	0											24
24	21	3	3/4	3/4	0											25
25	22	3	3/4	3/4	0											26
26	23	3	3/4	3/4	0											27
27	24	3	3/4	1/2	0				double	line						28
28	24	2	3/4	1/4	1/2			1				codab				29
29	25	2	3/4	3/4	0											30
30	26	2	3/4	3/4	0											31
31	27	2	3/4	3/4	0											32
32	28	2	3/4	3/4	0											33
33	29	2	3/4	3/4	0											34
34	30	2	3/4	3/4	0											35
35	31	2	3/4	3/4	0											36
36	32	2	3/4	3/4	0											37
37	33	2	3/4	3/4	0					page						38
38	34	2	3/4	3/4	0											39
39	35	2	3/4	3/4	0											40
40	36	2	3/4	3/4	0											41
41	37	2	3/4	3/4	0											42
42	38	2	3/4	3/4	0											43
43	39	2	3/4	3/4	0											44
44	40	2	3/4	1/2	0					line	end					10, 45
45	40	2	3/4	1/4	1/2			1	start-repeat		start					46
46	41	2	3/4	3/4	0											47
47	42	2	3/4	3/4	0											48
48	43	2	3/4	3/4	0											49
49	44	2	3/4	3/4	0											50
50	45	2	3/4	3/4	0											51
51	46	2	3/4	3/4	0					line						52
52	47	2	3/4	3/4	0											53
53	48	2	3/4	3/4	0											54
54	49	2	3/4	3/4	0											55
55	50	2	3/4	3/4	0											56
56	51	2	3/4	3/4	0											57
57	52	2	3/4	3/4	0											58
58	53	2	3/4	3/4	0											59
59	54	2	3/4	3/4	0					line						60
60	55	2	3/4	3/4	0											61
61	56	2	3/4	3/4	0											62
62	57	2	3/4	3/4	0											63
63	58	2	3/4	3/4	0											64
64	59	2	3/4	3/4	0											65
65	60	2	3/4	3/4	0											66
66	61	2	3/4	3/4	0					line						67
67	62	2	3/4	3/4	0											68
68	63	2	3/4	3/4	0											69
69	64	2	3/4	1/2	0						end					45, 70
70	64	2	3/4	1/4	1/2			1			start					71
71	65	2	3/4	3/4	0											72
72	66	2	3/4	3/4	0											73
73	67	2	3/4	3/4	0											74
74	68	2	3/4	3/4	0					line						75
75	69	2	3/4	3/4	0											76
76	70	2	3/4	3/4	0											77
77	71	2	3/4	3/4	0											78
78	72	2	3/4	1/2	0						end					70, 79
79	72	2	3/4	1/4	1/2			1								80
80	73	2	3/4	3/4	0											81
81	74	2	3/4	3/4	0											82
82	75	2	3/4	3/4	0											83
83	76	2	3/4	3/4	0											84
84	77	2	3/4	3/4	0					line						85
85	78	2	3/4	3/4	0											86
86	79	2	3/4	3/4	0											87
87	80	2	3/4	3/4	0											88
88	81	2	3/4	3/4	0											89
89	82	2	3/4	3/4	0											90
90	83	2	3/4	3/4	0											91
91	84	2	3/4	3/4	0											92
92	85	2	3/4	3/4	0											93
93	86	2	3/4	3/4	0											94
94	87	2	3/4	3/4	0											95
95	88	2	3/4	3/4	0						lastMeasure					-1
