mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	1	2/4	1/16	7/16			1			firstMeasure					2
2	1	1	2/4	1/2	0											3
3	2	1	2/4	1/2	0											4
4	3	1	2/4	1/2	0											5
5	4	1	2/4	1/2	0											6
6	5	1	2/4	1/2	0											7
7	6	1	2/4	1/2	0											8
8	7	1	2/4	1/2	0											9
9	8	1	2/4	7/16	0						end					1, 10
10	8	1	2/4	1/16	7/16			1			start					11
11	9	1	2/4	1/2	0											12
12	10	1	2/4	1/2	0											13
13	11	1	2/4	1/2	0											14
14	12	1	2/4	1/2	0											15
15	13	1	2/4	1/2	0											16
16	14	1	2/4	1/2	0											17
17	15	1	2/4	1/2	0											18, 19
18	16	1	2/4	7/16	0	1					end					10
19	16	1	2/4	1/2	0	2		1	double	section	lastMeasure	fine				-1
