mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	5	3/4	1/4	1/2			1			firstMeasure	2
2	1	5	3/4	3/4	0							3
3	2	5	3/4	3/4	0							4
4	3	5	3/4	3/4	0							5
5	4	5	3/4	3/4	0							6
6	5	5	3/4	3/4	0							7
7	6	5	3/4	3/4	0					line		8
8	7	5	3/4	3/4	0							9
9	8	5	3/4	1/2	0						end	1, 10
10	8	5	3/4	1/4	1/2			1			start	11
11	9	5	3/4	3/4	0							12
12	10	5	3/4	3/4	0							13
13	11	5	3/4	3/4	0							14
14	12	5	3/4	3/4	0					line		15
15	13	5	3/4	3/4	0							16
16	14	5	3/4	3/4	0							17
17	15	5	3/4	3/4	0							18
18	16	5	3/4	3/4	0							19
19	17	5	3/4	3/4	0							20
20	18	5	3/4	3/4	0					line		21
21	19	5	3/4	3/4	0							22
22	20	5	3/4	3/4	0							23
23	21	5	3/4	3/4	0							24
24	22	5	3/4	3/4	0							25
25	23	5	3/4	3/4	0							26
26	24	5	3/4	1/2	0					line	end	10, -1
