mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	1	2/4	1/4	1/4			1			firstMeasure	2
2	1	1	2/4	1/2	0							3
3	2	1	2/4	1/2	0							4
4	3	1	2/4	1/2	0							5
5	4	1	2/4	1/2	0							6
6	5	1	2/4	1/2	0							7
7	6	1	2/4	1/2	0							8
8	7	1	2/4	1/2	0							9
9	8	1	2/4	1/4	0						end	1, 10
10	8	1	2/4	1/4	1/4			1			start	11
11	9	1	2/4	1/2	0							12
12	10	1	2/4	1/2	0							13
13	11	1	2/4	1/2	0							14
14	12	1	2/4	1/2	0							15
15	13	1	2/4	1/2	0							16
16	14	1	2/4	1/2	0							17
17	15	1	2/4	1/2	0							18
18	16	1	2/4	1/2	0							19
19	17	1	2/4	1/2	0							20
20	18	1	2/4	1/2	0							21
21	19	1	2/4	1/2	0							22
22	20	1	2/4	1/2	0							23
23	21	1	2/4	1/2	0							24
24	22	1	2/4	1/2	0							25
25	23	1	2/4	1/2	0							26
26	24	1	2/4	1/4	0						end	10, 27
27	24	0	2/4	1/4	1/4			1				28
28	25	0	2/4	1/2	0							29
29	26	0	2/4	1/2	0							30
30	27	0	2/4	1/2	0							31
31	28	0	2/4	1/2	0							32
32	29	0	2/4	1/2	0							33
33	30	0	2/4	1/2	0							34
34	31	0	2/4	1/2	0							35
35	32	0	2/4	1/2	0							36
36	33	0	2/4	1/2	0							37
37	34	0	2/4	1/2	0							38
38	35	0	2/4	1/2	0							39
39	36	0	2/4	1/2	0							40
40	37	0	2/4	1/2	0							41
41	38	0	2/4	1/2	0							42
42	39	0	2/4	1/2	0							43
43	40	0	2/4	1/2	0							44
44	41	0	2/4	1/2	0							45
45	42	0	2/4	1/2	0							46
46	43	0	2/4	1/2	0							47
47	44	0	2/4	1/2	0							48
48	45	0	2/4	1/2	0							49
49	46	0	2/4	1/2	0							50
50	47	0	2/4	1/2	0							51
51	48	0	2/4	1/4	0				end		lastMeasure	-1
