rel_paths	fnames	last_mc	last_mn	KeySig	TimeSig	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ambitus	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
MS3	D041menuett01a	18	16	1: -1	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.4	36-84 (C2-C6)		57-84 (A3-C6)	Piano	36-60 (C2-C4)	Piano
MS3	D041menuett02a	18	16	1: 0	1: 3/4	0	Franz Schubert	Menuett Nr. 2								2019-08-01	Linux			3.3.0	31-86 (G1-D6)		64-86 (E4-D6)	Piano	31-60 (G1-C4)	Piano
MS3	D041menuett03a	18	16	1: -1	1: 3/4	0	Franz Schubert	Menuett Nr. 3								2019-08-01	Linux			3.3.0	33-84 (A1-C6)		57-84 (A3-C6)	Piano	33-60 (A1-C4)	Piano
MS3	D041menuett04a	22	20	1: 0	1: 3/4	0	Franz Schubert	Menuett Nr. 4								2019-08-01	Linux			3.3.0	36-88 (C2-E6)		55-88 (G3-E6)	Piano	36-65 (C2-F4)	Piano
MS3	D041menuett05a	18	16	1: -2	1: 3/4	0	Franz Schubert	Menuett Nr. 5								2019-08-01	Linux			3.3.0	39-86 (Eb2-D6)		65-86 (F4-D6)	Piano	39-65 (Eb2-F4)	Piano
MS3	D041menuett06a	18	16	1: -2	1: 3/4	0	Franz Schubert	Menuett Nr. 6								2019-08-01	Linux			3.3.0	29-89 (F1-F6)		53-89 (F3-F6)	Piano	29-60 (F1-C4)	Piano
MS3	D041menuett07a	22	20	1: -1	1: 3/4	0	Franz Schubert	Menuett Nr. 7								2019-08-01	Linux			3.3.0	35-84 (B1-C6)		57-84 (A3-C6)	Piano	35-70 (B1-Bb4)	Piano
MS3	D041menuett08a	18	16	1: 0	1: 3/4	0	Franz Schubert	Menuett Nr. 8								2019-08-01	Linux			3.3.0	36-86 (C2-D6)		67-86 (G4-D6)	Piano	36-68 (C2-Ab4)	Piano
MS3	D041menuett09a	22	20	1: -1	1: 3/4	0	Franz Schubert	Menuett Nr. 9								2019-08-02	Linux			3.3.0	36-86 (C2-D6)		60-86 (C4-D6)	Piano	36-69 (C2-A4)	Piano
MS3	D041menuett10a	24	22	1: -2	1: 3/4	0	Franz Schubert	Menuett Nr. 10								2019-08-02	Linux			3.3.0	34-86 (Bb1-D6)		62-86 (D4-D6)	Piano	34-70 (Bb1-Bb4)	Piano
MS3	D041menuett11a	22	20	1: 2	1: 3/4	0	Franz Schubert	Menuett Nr. 11								2019-08-02	Linux			3.3.0	38-86 (D2-D6)		57-86 (A3-D6)	Piano	38-64 (D2-E4)	Piano
MS3	D041menuett12a	22	20	1: 2	1: 3/4	0	Franz Schubert	Menuett Nr. 12								2019-08-02	Linux			3.3.0	42-86 (F#2-D6)		62-86 (D4-D6)	Piano	42-74 (F#2-D5)	Piano
MS3	D041menuett13a	19	17	1: 2	1: 3/4	0	F. Schubert	Menuett nr. 13								2019-10-26	Apple Macintosh			3.3.0	38-86 (D2-D6)		64-86 (E4-D6)	Piano	38-69 (D2-A4)	Piano
MS3	D041menuett14a	18	16	1: 2	1: 3/4	0	F. Schubert	Menuett nr. 14								2019-10-26	Apple Macintosh			3.3.0	33-88 (A1-E6)		57-88 (A3-E6)	Piano	33-64 (A1-E4)	Piano
MS3	D041menuett15a	18	16	1: 2	1: 3/4	0	F. Schubert	Menuett nr. 15								2019-10-26	Apple Macintosh			3.3.0	38-86 (D2-D6)		59-86 (B3-D6)	Piano	38-67 (D2-G4)	Piano
MS3	D041menuett16a	18	16	1: 1	1: 3/4	0	F. Schubert	Menuett nr. 16								2019-11-02	Apple Macintosh			3.3.0	40-88 (E2-E6)		71-88 (B4-E6)	Piano	40-65 (E2-F4)	Piano
MS3	D041menuett17a	18	16	1: 0	1: 3/4	0	F. Schubert	Menuett nr. 17								2019-11-02	Apple Macintosh			3.3.0	40-88 (E2-E6)		69-88 (A4-E6)	Piano	40-64 (E2-E4)	Piano
MS3	D041menuett18a	18	16	1: -1	1: 3/4	0	F. Schubert	Menuett nr. 18								2019-11-02	Apple Macintosh			3.3.0	36-84 (C2-C6)		62-84 (D4-C6)	Piano	36-67 (C2-G4)	Piano
MS3	D041menuett19a	18	16	1: -2	1: 3/4	0	F. Schubert	Menuett nr. 19								2019-11-02	Apple Macintosh			3.3.0	34-82 (Bb1-Bb5)		69-82 (A4-Bb5)	Piano	34-67 (Bb1-G4)	Piano
MS3	D041menuett20a	18	16	1: 1	1: 3/4	0	F. Schubert	Menuett nr. 20								2019-11-02	Apple Macintosh			3.3.0	31-88 (G1-E6)		69-88 (A4-E6)	Piano	31-62 (G1-D4)	Piano
MS3	D041trio01b	24	22	1: -1	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	36-84 (C2-C6)		64-84 (E4-C6)	Piano	36-65 (C2-F4)	Piano
MS3	D041trio02b	22	20	1: 0	1: 3/4	0	Franz Schubert	Menuett Nr. 2								2019-08-01	Linux			3.3.0	43-83 (G2-B5)		67-83 (G4-B5)	Piano	43-65 (G2-F4)	Piano
MS3	D041trio03b	18	16	1: 0	1: 3/4	0	Franz Schubert	Menuett Nr. 3								2019-08-01	Linux			3.3.0	36-84 (C2-C6)		69-84 (A4-C6)	Piano	36-60 (C2-C4)	Piano
MS3	D041trio04b	18	16	1: 3	1: 3/4	0	Franz Schubert	Menuett Nr. 4								2019-08-01	Linux			3.3.0	40-83 (E2-B5)		64-83 (E4-B5)	Piano	40-66 (E2-F#4)	Piano
MS3	D041trio05b	18	16	1: -2	1: 3/4	0	Franz Schubert	Menuett Nr. 5								2019-08-01	Linux			3.3.0	41-86 (F2-D6)		69-86 (A4-D6)	Piano	41-67 (F2-G4)	Piano
MS3	D041trio06b	18	16	1: -2	1: 3/4	0	Franz Schubert	Menuett Nr. 6								2019-08-01	Linux			3.3.0	41-81 (F2-A5)		65-81 (F4-A5)	Piano	41-65 (F2-F4)	Piano
MS3	D041trio07b	26	24	1: -1	1: 3/4	0	Franz Schubert	Menuett Nr. 7								2019-08-01	Linux			3.3.0	41-88 (F2-E6)		57-88 (A3-E6)	Piano	41-72 (F2-C5)	Piano
MS3	D041trio08b	18	16	1: 0	1: 3/4	0	Franz Schubert	Menuett Nr. 8								2019-08-01	Linux			3.3.0	45-88 (A2-E6)		75-88 (D#5-E6)	Piano	45-64 (A2-E4)	Piano
MS3	D041trio09b	34	32	1: -1	1: 3/4	0	Franz Schubert	Menuett Nr. 9								2019-08-02	Linux			3.3.0	45-88 (A2-E6)		65-88 (F4-E6)	Piano	45-72 (A2-C5)	Piano
MS3	D041trio10b	20	18	1: -2	1: 3/4	0	Franz Schubert	Menuett Nr. 10								2019-08-02	Linux			3.3.0	46-82 (Bb2-Bb5)		67-82 (G4-Bb5)	Piano	46-65 (Bb2-F4)	Piano
MS3	D041trio11b	18	16	1: 2	1: 3/4	0	Franz Schubert	Menuett Nr. 11								2019-08-02	Linux			3.3.0	50-81 (D3-A5)		69-81 (A4-A5)	Piano	50-72 (D3-C5)	Piano
MS3	D041trio12b	18	16	1: 2	1: 3/4	0	Franz Schubert	Menuett Nr. 12								2019-08-02	Linux			3.3.0	47-81 (B2-A5)		66-81 (F#4-A5)	Piano	47-69 (B2-A4)	Piano
MS3	D041trio13b	18	16	1: 2	1: 3/4	0	F. Schubert	Menuett nr. 13								2019-10-26	Apple Macintosh			3.3.0	50-86 (D3-D6)		73-86 (C#5-D6)	Piano	50-74 (D3-D5)	Piano
MS3	D041trio14b	18	16	1: 2	1: 3/4	0	F. Schubert	Menuett nr. 14								2019-10-26	Apple Macintosh			3.3.0	49-86 (C#3-D6)		68-86 (G#4-D6)	Piano	49-67 (C#3-G4)	Piano
MS3	D041trio15b	18	16	1: 2	1: 3/4	0	F. Schubert	Menuett nr. 15								2019-10-26	Apple Macintosh			3.3.0	50-88 (D3-E6)		64-88 (E4-E6)	Piano	50-69 (D3-A4)	Piano
MS3	D041trio16b	18	16	1: 1	1: 3/4	0	F. Schubert	Menuett nr. 16								2019-11-02	Apple Macintosh			3.3.0	43-86 (G2-D6)		66-86 (F#4-D6)	Piano	43-71 (G2-B4)	Piano
MS3	D041trio17b	18	16	1: 0	1: 3/4	0	F. Schubert	Menuett nr. 17								2019-11-02	Apple Macintosh			3.3.0	49-81 (C#3-A5)		61-81 (C#4-A5)	Piano	49-65 (C#3-F4)	Piano
MS3	D041trio18b	17	15	1: -1	1: 3/4	0	F. Schubert	Menuett nr. 18								2019-11-02	Apple Macintosh			3.3.0	48-88 (C3-E6)		64-88 (E4-E6)	Piano	48-70 (C3-Bb4)	Piano
MS3	D041trio19b	18	16	1: -2	1: 3/4	0	F. Schubert	Menuett nr. 19								2019-11-02	Apple Macintosh			3.3.0	46-89 (Bb2-F6)		76-89 (E5-F6)	Piano	46-70 (Bb2-Bb4)	Piano
MS3	D041trio20b	18	16	1: 1	1: 3/4	0	F. Schubert	Menuett nr. 20								2019-11-02	Apple Macintosh			3.3.0	43-88 (G2-E6)		66-88 (F#4-E6)	Piano	43-64 (G2-E4)	Piano
MS3	D091menuett01a	18	16	1: 2	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	35-86 (B1-D6)		64-86 (E4-D6)	Piano	35-69 (B1-A4)	Piano
MS3	D091menuett02a	18	16	1: 3	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	38-85 (D2-C#6)		61-85 (C#4-C#6)	Piano	38-64 (D2-E4)	Piano
