mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	1	1	3/16	1/8	3/2		3	57		0
1	0	0	1/2	3/4	1	1	3/16	1/8	3/2		-1	65		0
1	0	3/16	11/16	3/4	1	1	1/16	1/16	1		3	57		1
1	0	3/16	11/16	3/4	1	1	1/16	1/16	1		-1	65		1
2	1	0	0	3/4	2	1	1/4	1/4	1		-1	41		9
2	1	0	0	3/4	1	1	1/4	1/4	1	1	3	57		2
2	1	0	0	3/4	1	1	1/4	1/4	1	1	-1	65		2
2	1	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	53		10
2	1	1/4	1/4	3/4	1	1	1/8	1/8	1	-1	3	57		3
2	1	1/4	1/4	3/4	1	1	1/8	1/8	1	-1	-1	65		3
2	1	3/8	3/8	3/4	1	1	1/8	1/8	1		-1	65		4
2	1	1/2	1/2	3/4	1	1	1/16	1/16	1		3	69		5
2	1	9/16	9/16	3/4	1	1	1/16	1/16	1		-1	65		6
2	1	5/8	5/8	3/4	1	1	1/16	1/16	1		3	69		7
2	1	11/16	11/16	3/4	1	1	1/16	1/16	1		0	72		8
3	2	0	0	3/4	2	1	1/4	1/4	1		-1	41		18
3	2	0	0	3/4	1	1	1/4	1/4	1	1	3	69		11
3	2	0	0	3/4	1	1	1/4	1/4	1	1	-1	77		11
3	2	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	53		19
3	2	1/4	1/4	3/4	1	1	1/8	1/8	1	-1	3	69		12
3	2	1/4	1/4	3/4	1	1	1/8	1/8	1	-1	-1	77		12
3	2	3/8	3/8	3/4	1	1	1/8	1/8	1		3	69		13
3	2	1/2	1/2	3/4	1	1	1/16	1/16	1		0	72		14
3	2	9/16	9/16	3/4	1	1	1/16	1/16	1		3	69		15
3	2	5/8	5/8	3/4	1	1	1/16	1/16	1		0	72		16
3	2	11/16	11/16	3/4	1	1	1/16	1/16	1		-1	77		17
4	3	0	0	3/4	2	1	1/4	1/4	1		-1	41		23
4	3	0	0	3/4	2	1	1/4	1/4	1		-1	53		23
4	3	0	0	3/4	1	1	1/4	1/4	1		3	69		20
4	3	0	0	3/4	1	1	1/4	1/4	1		-1	77		20
4	3	0	0	3/4	1	1	1/4	1/4	1		3	81		20
4	3	1/4	1/4	3/4	2	1	1/4	1/4	1		2	38		24
4	3	1/4	1/4	3/4	2	1	1/4	1/4	1		2	50		24
4	3	1/4	1/4	3/4	1	1	1/4	1/4	1		3	69		21
4	3	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	77		21
4	3	1/4	1/4	3/4	1	1	1/4	1/4	1		3	81		21
4	3	1/2	1/2	3/4	2	1	1/4	1/4	1		5	35		25
4	3	1/2	1/2	3/4	2	1	1/4	1/4	1		5	47		25
4	3	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69		22
4	3	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77		22
4	3	1/2	1/2	3/4	1	1	1/4	1/4	1		3	81		22
5	4	0	0	3/4	2	1	1/2	1/2	1		0	36		30
5	4	0	0	3/4	2	1	1/2	1/2	1		0	48		30
5	4	0	0	3/4	1	1	1/4	1/4	1		3	69		26
5	4	0	0	3/4	1	1	1/4	1/4	1		-1	77		26
5	4	0	0	3/4	1	1	1/4	1/4	1		3	81		26
5	4	1/4	1/4	3/4	1	1	1/8	1/8	1		1	67		27
5	4	1/4	1/4	3/4	1	1	1/8	1/8	1		4	76		27
5	4	1/4	1/4	3/4	1	1	1/8	1/8	1		1	79		27
5	4	1/2	1/2	3/4	1	1	3/16	1/8	3/2		0	72		28
5	4	1/2	1/2	3/4	1	1	3/16	1/8	3/2		0	84		28
5	4	11/16	11/16	3/4	1	1	1/16	1/16	1		0	72		29
5	4	11/16	11/16	3/4	1	1	1/16	1/16	1		0	84		29
6	5	0	0	3/4	2	1	1/4	1/4	1		0	48		37
6	5	0	0	3/4	1	1	3/8	1/4	3/2		0	72		31
6	5	0	0	3/4	1	1	3/8	1/4	3/2		0	84		31
6	5	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60		38
6	5	3/8	3/8	3/4	1	1	1/8	1/8	1		0	72		32
6	5	1/2	1/2	3/4	1	1	1/16	1/16	1		4	76		33
6	5	9/16	9/16	3/4	1	1	1/16	1/16	1		0	72		34
6	5	5/8	5/8	3/4	1	1	1/16	1/16	1		4	76		35
6	5	11/16	11/16	3/4	1	1	1/16	1/16	1		1	79		36
7	6	0	0	3/4	2	1	1/4	1/4	1		-2	46		45
7	6	0	0	3/4	1	1	3/8	1/4	3/2		0	72		39
7	6	0	0	3/4	1	1	3/8	1/4	3/2		0	84		39
7	6	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58		46
7	6	3/8	3/8	3/4	1	1	1/8	1/8	1		0	72		40
7	6	1/2	1/2	3/4	1	1	1/16	1/16	1		4	76		41
7	6	9/16	9/16	3/4	1	1	1/16	1/16	1		0	72		42
7	6	5/8	5/8	3/4	1	1	1/16	1/16	1		4	76		43
7	6	11/16	11/16	3/4	1	1	1/16	1/16	1		1	79		44
8	7	0	0	3/4	2	1	1/4	1/4	1		3	45		50
8	7	0	0	3/4	2	1	1/4	1/4	1		3	57		50
8	7	0	0	3/4	1	1	1/4	1/4	1		0	72		47
8	7	0	0	3/4	1	1	1/4	1/4	1		-1	77		47
8	7	0	0	3/4	1	1	1/4	1/4	1		0	84		47
8	7	1/4	1/4	3/4	2	1	1/4	1/4	1		1	43		51
8	7	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55		51
8	7	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72		48
8	7	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76		48
8	7	1/4	1/4	3/4	1	1	1/4	1/4	1		-2	82		48
8	7	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	41		52
8	7	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	53		52
8	7	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72		49
8	7	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77		49
8	7	1/2	1/2	3/4	1	1	1/4	1/4	1		3	81		49
9	8	0	0	3/4	2	1	1/2	1/2	1		0	36		55
9	8	0	0	3/4	2	1	1/2	1/2	1		0	48		55
9	8	0	0	3/4	1	1	1/4	1/4	1	1	0	72		53
9	8	0	0	3/4	1	1	1/4	1/4	1		-1	77		53
9	8	0	0	3/4	1	1	1/4	1/4	1		3	81		53
9	8	1/4	1/4	3/4	1	1	1/4	1/4	1	-1	0	72		54
9	8	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76		54
9	8	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79		54
10	8	0	1/2	3/4	2	1	3/16	1/8	3/2		0	60		58
10	8	0	1/2	3/4	2	1	3/16	1/8	3/2		4	64		58
10	8	0	1/2	3/4	2	1	3/16	1/8	3/2		1	67		58
10	8	0	1/2	3/4	1	1	3/16	1/8	3/2		0	72		56
10	8	0	1/2	3/4	1	1	3/16	1/8	3/2		4	76		56
10	8	0	1/2	3/4	1	1	3/16	1/8	3/2		1	79		56
10	8	3/16	11/16	3/4	2	1	1/16	1/16	1		0	60		59
10	8	3/16	11/16	3/4	2	1	1/16	1/16	1		4	64		59
10	8	3/16	11/16	3/4	2	1	1/16	1/16	1		1	67		59
10	8	3/16	11/16	3/4	1	1	1/16	1/16	1		0	72		57
10	8	3/16	11/16	3/4	1	1	1/16	1/16	1		4	76		57
10	8	3/16	11/16	3/4	1	1	1/16	1/16	1		1	79		57
11	9	0	0	3/4	2	2	1/2	1/2	1		0	60		69
11	9	0	0	3/4	2	1	1/4	1/4	1		9	63		65
11	9	0	0	3/4	2	1	1/4	1/4	1		6	66		65
11	9	0	0	3/4	1	2	1/2	1/2	1		0	72		64
11	9	0	0	3/4	1	1	1/4	1/4	1		9	75		60
11	9	0	0	3/4	1	1	1/4	1/4	1		6	78		60
11	9	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64		66
11	9	1/4	1/4	3/4	2	1	1/4	1/4	1		1	67		66
11	9	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76		61
11	9	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79		61
11	9	1/2	1/2	3/4	2	1	3/16	1/8	3/2		0	60		67
11	9	1/2	1/2	3/4	2	1	3/16	1/8	3/2		4	64		67
11	9	1/2	1/2	3/4	2	1	3/16	1/8	3/2		1	67		67
11	9	1/2	1/2	3/4	1	1	3/16	1/8	3/2		0	72		62
11	9	1/2	1/2	3/4	1	1	3/16	1/8	3/2		4	76		62
11	9	1/2	1/2	3/4	1	1	3/16	1/8	3/2		1	79		62
11	9	11/16	11/16	3/4	2	1	1/16	1/16	1		0	60		68
11	9	11/16	11/16	3/4	2	1	1/16	1/16	1		4	64		68
11	9	11/16	11/16	3/4	2	1	1/16	1/16	1		1	67		68
11	9	11/16	11/16	3/4	1	1	1/16	1/16	1		0	72		63
11	9	11/16	11/16	3/4	1	1	1/16	1/16	1		4	76		63
11	9	11/16	11/16	3/4	1	1	1/16	1/16	1		1	79		63
12	10	0	0	3/4	2	2	1/2	1/2	1		0	60		79
12	10	0	0	3/4	2	1	1/4	1/4	1		9	63		75
12	10	0	0	3/4	2	1	1/4	1/4	1		6	66		75
12	10	0	0	3/4	1	2	1/2	1/2	1		0	72		74
12	10	0	0	3/4	1	1	1/4	1/4	1		9	75		70
12	10	0	0	3/4	1	1	1/4	1/4	1		6	78		70
12	10	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64		76
12	10	1/4	1/4	3/4	2	1	1/4	1/4	1		1	67		76
12	10	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76		71
12	10	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79		71
12	10	1/2	1/2	3/4	2	1	3/16	1/8	3/2		0	60		77
12	10	1/2	1/2	3/4	2	1	3/16	1/8	3/2		6	66		77
12	10	1/2	1/2	3/4	2	1	3/16	1/8	3/2		3	69		77
12	10	1/2	1/2	3/4	1	1	3/16	1/8	3/2		0	72		72
12	10	1/2	1/2	3/4	1	1	3/16	1/8	3/2		6	78		72
12	10	1/2	1/2	3/4	1	1	3/16	1/8	3/2		3	81		72
12	10	11/16	11/16	3/4	2	1	1/16	1/16	1		0	60		78
12	10	11/16	11/16	3/4	2	1	1/16	1/16	1		6	66		78
12	10	11/16	11/16	3/4	2	1	1/16	1/16	1		3	69		78
12	10	11/16	11/16	3/4	1	1	1/16	1/16	1		0	72		73
12	10	11/16	11/16	3/4	1	1	1/16	1/16	1		6	78		73
12	10	11/16	11/16	3/4	1	1	1/16	1/16	1		3	81		73
13	11	0	0	3/4	2	1	1/4	1/4	1		0	60		83
13	11	0	0	3/4	2	1	1/4	1/4	1		1	67		83
13	11	0	0	3/4	2	1	1/4	1/4	1		-2	70		83
13	11	0	0	3/4	1	1	1/4	1/4	1		0	72		80
13	11	0	0	3/4	1	1	1/4	1/4	1		1	79		80
13	11	0	0	3/4	1	1	1/4	1/4	1		-2	82		80
13	11	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55		84
13	11	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72		81
13	11	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76		81
13	11	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79		81
13	11	1/4	1/4	3/4	1	1	1/4	1/4	1		-2	82		81
13	11	1/2	1/2	3/4	2	1	1/4	1/4	1		4	52		85
13	11	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72		82
13	11	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76		82
13	11	1/2	1/2	3/4	1	1	1/4	1/4	1		1	79		82
13	11	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	82		82
14	12	0	0	3/4	2	1	1/2	1/2	1		0	48		89
14	12	0	0	3/4	1	1	1/2	1/2	1		0	72		86
14	12	0	0	3/4	1	1	1/2	1/2	1		4	76		86
14	12	0	0	3/4	1	1	1/2	1/2	1		1	79		86
14	12	0	0	3/4	1	1	1/2	1/2	1		-2	82		86
14	12	1/2	1/2	3/4	2	1	3/16	1/8	3/2		-1	41		90
14	12	1/2	1/2	3/4	2	1	3/16	1/8	3/2		-1	53		90
14	12	1/2	1/2	3/4	1	1	3/16	1/8	3/2		-1	65		87
14	12	1/2	1/2	3/4	1	1	3/16	1/8	3/2		-1	77		87
14	12	11/16	11/16	3/4	2	1	1/16	1/16	1		-1	41		91
14	12	11/16	11/16	3/4	2	1	1/16	1/16	1		-1	53		91
14	12	11/16	11/16	3/4	1	1	1/16	1/16	1		-1	65		88
14	12	11/16	11/16	3/4	1	1	1/16	1/16	1		-1	77		88
15	13	0	0	3/4	2	1	1/4	1/4	1		-1	53		98
15	13	0	0	3/4	1	1	3/8	1/4	3/2		-1	65		92
15	13	0	0	3/4	1	1	3/8	1/4	3/2		-1	77		92
15	13	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	41		99
15	13	3/8	3/8	3/4	1	1	1/8	1/8	1		3	69		93
15	13	1/2	1/2	3/4	1	1	1/16	1/16	1		0	72		94
15	13	9/16	9/16	3/4	1	1	1/16	1/16	1		3	69		95
15	13	5/8	5/8	3/4	1	1	1/16	1/16	1		0	72		96
15	13	11/16	11/16	3/4	1	1	1/16	1/16	1		-1	77		97
16	14	0	0	3/4	2	1	1/4	1/4	1		-3	51		106
16	14	0	0	3/4	1	1	3/8	1/4	3/2		3	69		100
16	14	0	0	3/4	1	1	3/8	1/4	3/2		3	81		100
16	14	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	39		107
16	14	3/8	3/8	3/4	1	1	1/8	1/8	1		0	72		101
16	14	1/2	1/2	3/4	1	1	1/16	1/16	1		-1	77		102
16	14	9/16	9/16	3/4	1	1	1/16	1/16	1		0	72		103
16	14	5/8	5/8	3/4	1	1	1/16	1/16	1		-1	77		104
16	14	11/16	11/16	3/4	1	1	1/16	1/16	1		3	81		105
17	15	0	0	3/4	2	1	1/4	1/4	1		2	38		111
17	15	0	0	3/4	2	1	1/4	1/4	1		2	50		111
17	15	0	0	3/4	1	1	1/4	1/4	1		0	72		108
17	15	0	0	3/4	1	1	1/4	1/4	1		6	78		108
17	15	0	0	3/4	1	1	1/4	1/4	1		3	81		108
17	15	0	0	3/4	1	1	1/4	1/4	1		0	84		108
17	15	1/4	1/4	3/4	2	1	1/4	1/4	1		2	38		112
17	15	1/4	1/4	3/4	2	1	1/4	1/4	1		2	50		112
17	15	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72		109
17	15	1/4	1/4	3/4	1	1	1/4	1/4	1		6	78		109
17	15	1/4	1/4	3/4	1	1	1/4	1/4	1		3	81		109
17	15	1/4	1/4	3/4	1	1	1/4	1/4	1		0	84		109
17	15	1/2	1/2	3/4	2	1	1/4	1/4	1		2	38		113
17	15	1/2	1/2	3/4	2	1	1/4	1/4	1		2	50		113
17	15	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72		110
17	15	1/2	1/2	3/4	1	1	1/4	1/4	1		6	78		110
17	15	1/2	1/2	3/4	1	1	1/4	1/4	1		3	81		110
17	15	1/2	1/2	3/4	1	1	1/4	1/4	1		0	84		110
18	16	0	0	3/4	2	1	1/4	1/4	1		1	55		119
18	16	0	0	3/4	1	1	1/2	1/2	1		2	74		114
18	16	0	0	3/4	1	1	1/2	1/2	1		-1	77		114
18	16	0	0	3/4	1	1	1/2	1/2	1		5	83		114
18	16	1/4	1/4	3/4	2	1	1/4	1/4	1		1	43		120
18	16	1/2	1/2	3/4	1	1	1/16	1/16	1		3	81		115
18	16	9/16	9/16	3/4	1	1	1/16	1/16	1		1	79		116
18	16	5/8	5/8	3/4	1	1	1/16	1/16	1		6	78		117
18	16	11/16	11/16	3/4	1	1	1/16	1/16	1		1	79		118
19	17	0	0	3/4	2	1	1/4	1/4	1		0	36		124
19	17	0	0	3/4	2	1	1/4	1/4	1		0	48		124
19	17	0	0	3/4	1	1	1/4	1/4	1		4	76		121
19	17	0	0	3/4	1	1	1/4	1/4	1		1	79		121
19	17	0	0	3/4	1	1	1/4	1/4	1		-2	82		121
19	17	1/4	1/4	3/4	2	1	1/4	1/4	1		0	36		125
19	17	1/4	1/4	3/4	2	1	1/4	1/4	1		0	48		125
19	17	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76		122
19	17	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79		122
19	17	1/4	1/4	3/4	1	1	1/4	1/4	1		-2	82		122
19	17	1/2	1/2	3/4	2	1	1/4	1/4	1		0	36		126
19	17	1/2	1/2	3/4	2	1	1/4	1/4	1		0	48		126
19	17	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76		123
19	17	1/2	1/2	3/4	1	1	1/4	1/4	1		1	79		123
19	17	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	82		123
20	18	0	0	3/4	2	1	1/4	1/4	1		7	37		132
