mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	2	1	1/16		1/16	1		2	62		4
1	0	0	1/2	3/4	1	1	1/16		1/16	1		2	74		0
1	0	1/16	9/16	3/4	2	1	1/16		1/16	1		3	57		5
1	0	1/16	9/16	3/4	1	1	1/16		1/16	1		3	69		1
1	0	1/8	5/8	3/4	2	1	1/16		1/16	1		6	54		6
1	0	1/8	5/8	3/4	1	1	1/16		1/16	1		6	66		2
1	0	3/16	11/16	3/4	2	1	1/16		1/16	1		3	57		7
1	0	3/16	11/16	3/4	1	1	1/16		1/16	1		3	69		3
2	1	0	0	3/4	2	1	1/4		1/4	1		2	50		11
2	1	0	0	3/4	2	1	1/4		1/4	1		2	62		11
2	1	0	0	3/4	1	1	1/4		1/4	1		2	74		8
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		7	49		12
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		7	61		12
2	1	1/4	1/4	3/4	1	1	1/4		1/4	1		2	74		9
2	1	1/4	1/4	3/4	1	1	1/4		1/4	1		2	86		9
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		10	46		13
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		10	58		13
2	1	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74		10
2	1	1/2	1/2	3/4	1	1	1/4		1/4	1		2	86		10
3	2	0	0	3/4	2	1	1/4		1/4	1		5	59		19
3	2	0	0	3/4	1	1	1/2		1/2	1		2	74		14
3	2	0	0	3/4	1	1	1/2		1/2	1		2	86		14
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		5	47		20
3	2	1/2	1/2	3/4	2	1	1/16		1/16	1		5	59		21
3	2	1/2	1/2	3/4	1	1	1/16		1/16	1		5	71		15
3	2	9/16	9/16	3/4	2	1	1/16		1/16	1		6	54		22
3	2	9/16	9/16	3/4	1	1	1/16		1/16	1		6	66		16
3	2	5/8	5/8	3/4	2	1	1/16		1/16	1		2	50		23
3	2	5/8	5/8	3/4	1	1	1/16		1/16	1		2	62		17
3	2	11/16	11/16	3/4	2	1	1/16		1/16	1		6	54		24
3	2	11/16	11/16	3/4	1	1	1/16		1/16	1		6	66		18
4	3	0	0	3/4	2	1	1/4		1/4	1		5	59		28
4	3	0	0	3/4	1	1	1/4		1/4	1		5	71		25
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1		1	43		29
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55		29
4	3	1/4	1/4	3/4	1	1	1/4		1/4	1		5	71		26
4	3	1/4	1/4	3/4	1	1	1/4		1/4	1		5	83		26
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		9	39		30
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		9	51		30
4	3	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71		27
4	3	1/2	1/2	3/4	1	1	1/4		1/4	1		5	83		27
5	4	0	0	3/4	2	1	1/4		1/4	1		4	40		36
5	4	0	0	3/4	1	1	1/2		1/2	1		5	71		31
5	4	0	0	3/4	1	1	1/2		1/2	1		1	79		31
5	4	0	0	3/4	1	1	1/2		1/2	1		5	83		31
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52		37
5	4	1/2	1/2	3/4	1	1	1/16		1/16	1		3	81		32
5	4	9/16	9/16	3/4	1	1	1/16		1/16	1		1	79		33
5	4	5/8	5/8	3/4	1	1	1/16		1/16	1		6	78		34
5	4	11/16	11/16	3/4	1	1	1/16		1/16	1		4	76		35
6	5	0	0	3/4	2	1	3/8		1/4	3/2		3	57		45
6	5	0	0	3/4	2	1	3/8		1/4	3/2		4	64		45
6	5	0	0	3/4	1	1	1/8		1/8	1		2	74		38
6	5	1/8	1/8	3/4	1	1	1/8		1/8	1		7	73		39
6	5	1/4	1/4	3/4	1	1	1/16		1/16	1		3	81		40
6	5	5/16	5/16	3/4	1	1	1/16		1/16	1		4	76		41
6	5	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57		46
6	5	3/8	3/8	3/4	2	1	1/8		1/8	1		4	64		46
6	5	3/8	3/8	3/4	1	1	1/16		1/16	1		7	73		42
6	5	7/16	7/16	3/4	1	1	1/16		1/16	1		4	76		43
6	5	1/2	1/2	3/4	2	1	1/8		1/8	1		3	57		47
6	5	1/2	1/2	3/4	2	1	1/8		1/8	1		4	64		47
6	5	1/2	1/2	3/4	1	1	1/4		1/4	1		3	81		44
6	5	5/8	5/8	3/4	2	1	1/8		1/8	1		3	57		48
6	5	5/8	5/8	3/4	2	1	1/8		1/8	1		4	64		48
7	6	0	0	3/4	2	1	3/8		1/4	3/2		2	62		56
7	6	0	0	3/4	2	1	3/8		1/4	3/2		6	66		56
7	6	0	0	3/4	1	1	1/8		1/8	1		4	76		49
7	6	1/8	1/8	3/4	1	1	1/8		1/8	1		2	74		50
7	6	1/4	1/4	3/4	1	1	1/16		1/16	1		3	81		51
7	6	5/16	5/16	3/4	1	1	1/16		1/16	1		6	78		52
7	6	3/8	3/8	3/4	2	1	1/8		1/8	1		6	54		57
7	6	3/8	3/8	3/4	2	1	1/8		1/8	1		2	62		57
7	6	3/8	3/8	3/4	1	1	1/16		1/16	1		2	74		53
7	6	7/16	7/16	3/4	1	1	1/16		1/16	1		6	78		54
7	6	1/2	1/2	3/4	2	1	1/8		1/8	1		6	54		58
7	6	1/2	1/2	3/4	2	1	1/8		1/8	1		2	62		58
7	6	1/2	1/2	3/4	1	1	1/4		1/4	1		3	81		55
7	6	5/8	5/8	3/4	2	1	1/8		1/8	1		6	54		59
7	6	5/8	5/8	3/4	2	1	1/8		1/8	1		2	62		59
8	7	0	0	3/4	2	1	1/4		1/4	1		1	55		66
8	7	0	0	3/4	2	1	1/4		1/4	1		4	64		66
8	7	0	0	3/4	1	1	1/16		1/16	1		3	81		60
8	7	1/16	1/16	3/4	1	1	1/16		1/16	1		1	79		61
8	7	1/8	1/8	3/4	1	1	1/16		1/16	1		6	78		62
8	7	3/16	3/16	3/4	1	1	1/16		1/16	1		4	76		63
8	7	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57		67
8	7	1/4	1/4	3/4	2	1	1/4		1/4	1		6	66		67
8	7	1/4	1/4	3/4	1	1	1/4		1/4	1		2	74		64
8	7	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57		68
8	7	1/2	1/2	3/4	2	1	1/4		1/4	1		7	61		68
8	7	1/2	1/2	3/4	1	1	1/4		1/4	1		4	76		65
9	8	0	0	3/4	2	2	1/2		1/2	1		2	50		74
9	8	0	0	3/4	2	1	1/4		1/4	1		7	61		72
9	8	0	0	3/4	1	2	1/2		1/2	1		3	69		71
9	8	0	0	3/4	1	1	1/4		1/4	1		4	76		69
9	8	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62		73
9	8	1/4	1/4	3/4	1	1	1/4		1/4	1		6	78		70
10	8	0	1/2	3/4	1	1	1/16		1/16	1		1	79		75
10	8	1/16	9/16	3/4	1	1	1/16		1/16	1		6	78		76
10	8	1/8	5/8	3/4	1	1	1/16		1/16	1		4	76		77
10	8	3/16	11/16	3/4	1	1	1/16		1/16	1		2	74		78
11	9	0	0	3/4	2	1	3/8		1/4	3/2		3	57		86
11	9	0	0	3/4	2	1	3/8		1/4	3/2		4	64		86
11	9	0	0	3/4	1	1	1/8		1/8	1		2	74		79
11	9	1/8	1/8	3/4	1	1	1/8		1/8	1		7	73		80
11	9	1/4	1/4	3/4	1	1	1/16		1/16	1		4	76		81
11	9	5/16	5/16	3/4	1	1	1/16		1/16	1		7	73		82
11	9	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57		87
11	9	3/8	3/8	3/4	2	1	1/8		1/8	1		1	67		87
11	9	3/8	3/8	3/4	1	1	1/16		1/16	1		3	69		83
11	9	7/16	7/16	3/4	1	1	1/16		1/16	1		7	73		84
11	9	1/2	1/2	3/4	2	1	1/8		1/8	1		3	57		88
11	9	1/2	1/2	3/4	2	1	1/8		1/8	1		1	67		88
11	9	1/2	1/2	3/4	1	1	1/4		1/4	1		4	76		85
11	9	5/8	5/8	3/4	2	1	1/8		1/8	1		3	57		89
11	9	5/8	5/8	3/4	2	1	1/8		1/8	1		1	67		89
12	10	0	0	3/4	2	1	3/8		1/4	3/2		3	57		97
12	10	0	0	3/4	2	1	3/8		1/4	3/2		6	66		97
12	10	0	0	3/4	1	1	1/8		1/8	1		4	76		90
12	10	1/8	1/8	3/4	1	1	1/8		1/8	1		2	74		91
12	10	1/4	1/4	3/4	1	1	1/16		1/16	1		6	78		92
12	10	5/16	5/16	3/4	1	1	1/16		1/16	1		2	74		93
12	10	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57		98
12	10	3/8	3/8	3/4	2	1	1/8		1/8	1		6	66		98
12	10	3/8	3/8	3/4	1	1	1/16		1/16	1		3	69		94
12	10	7/16	7/16	3/4	1	1	1/16		1/16	1		2	74		95
12	10	1/2	1/2	3/4	2	1	1/8		1/8	1		3	57		99
12	10	1/2	1/2	3/4	2	1	1/8		1/8	1		2	62		99
12	10	1/2	1/2	3/4	1	1	1/4		1/4	1		6	78		96
12	10	5/8	5/8	3/4	2	1	1/8		1/8	1		3	57		100
12	10	5/8	5/8	3/4	2	1	1/8		1/8	1		2	62		100
13	11	0	0	3/4	2	1	3/8		1/4	3/2		3	57		109
13	11	0	0	3/4	2	1	3/8		1/4	3/2		7	61		109
13	11	0	0	3/4	1	1	1/8		1/8	1		6	78		101
13	11	1/8	1/8	3/4	1	1	1/8		1/8	1		4	76		102
13	11	1/4	1/4	3/4	1	1	1/16		1/16	1		1	79		103
13	11	5/16	5/16	3/4	1	1	1/16		1/16	1		4	76		104
13	11	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57		110
13	11	3/8	3/8	3/4	2	1	1/8		1/8	1		7	61		110
13	11	3/8	3/8	3/4	1	1	1/16		1/16	1		3	69		105
13	11	7/16	7/16	3/4	1	1	1/16		1/16	1		4	76		106
13	11	1/2	1/2	3/4	2	1	1/8		1/8	1		3	57		111
13	11	1/2	1/2	3/4	2	1	1/8		1/8	1		4	64		111
13	11	1/2	1/2	3/4	1	1	1/8		1/8	1		1	79		107
13	11	5/8	5/8	3/4	2	1	1/8		1/8	1		3	57		112
13	11	5/8	5/8	3/4	2	1	1/8		1/8	1		7	61		112
13	11	5/8	5/8	3/4	1	1	1/8		1/8	1		3	81		108
14	12	0	0	3/4	1	1	0	appoggiatura	1/8	1		1	79		113
14	12	0	0	3/4	2	2	1/2		1/2	1		3	57		126
14	12	0	0	3/4	2	1	1/4		1/4	1		2	62		120
14	12	0	0	3/4	1	1	1/4		1/4	1		6	78		114
14	12	1/4	1/4	3/4	2	1	1/4		1/4	1		7	61		121
14	12	1/4	1/4	3/4	1	1	1/4		1/4	1		4	76		115
14	12	1/2	1/2	3/4	2	1	1/16		1/16	1		2	62		122
14	12	1/2	1/2	3/4	1	1	1/16		1/16	1		2	74		116
14	12	9/16	9/16	3/4	2	1	1/16		1/16	1		3	57		123
14	12	9/16	9/16	3/4	1	1	1/16		1/16	1		3	69		117
14	12	5/8	5/8	3/4	2	1	1/16		1/16	1		6	54		124
14	12	5/8	5/8	3/4	1	1	1/16		1/16	1		6	66		118
14	12	11/16	11/16	3/4	2	1	1/16		1/16	1		3	57		125
14	12	11/16	11/16	3/4	1	1	1/16		1/16	1		3	69		119
15	13	0	0	3/4	2	1	1/4		1/4	1		2	50		130
15	13	0	0	3/4	2	1	1/4		1/4	1		2	62		130
15	13	0	0	3/4	1	1	1/4		1/4	1		2	74		127
15	13	1/4	1/4	3/4	2	1	1/4		1/4	1		6	42		131
15	13	1/4	1/4	3/4	2	1	1/4		1/4	1		6	54		131
15	13	1/4	1/4	3/4	1	1	1/4		1/4	1		2	74		128
15	13	1/4	1/4	3/4	1	1	1/4		1/4	1		2	86		128
15	13	1/2	1/2	3/4	2	1	1/4		1/4	1		0	48		132
15	13	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		132
15	13	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74		129
15	13	1/2	1/2	3/4	1	1	1/4		1/4	1		6	78		129
15	13	1/2	1/2	3/4	1	1	1/4		1/4	1		2	86		129
16	14	0	0	3/4	2	1	1/4		1/4	1		5	59		138
16	14	0	0	3/4	1	1	1/2		1/2	1		2	74		133
16	14	0	0	3/4	1	1	1/2		1/2	1		1	79		133
16	14	0	0	3/4	1	1	1/2		1/2	1		2	86		133
16	14	1/4	1/4	3/4	2	1	1/4		1/4	1		5	47		139
16	14	1/2	1/2	3/4	2	1	1/16		1/16	1		1	55		140
16	14	1/2	1/2	3/4	1	1	1/16		1/16	1		1	67		134
16	14	9/16	9/16	3/4	2	1	1/16		1/16	1		2	50		141
16	14	9/16	9/16	3/4	1	1	1/16		1/16	1		2	62		135
16	14	5/8	5/8	3/4	2	1	1/16		1/16	1		5	47		142
16	14	5/8	5/8	3/4	1	1	1/16		1/16	1		5	59		136
16	14	11/16	11/16	3/4	2	1	1/16		1/16	1		2	50		143
16	14	11/16	11/16	3/4	1	1	1/16		1/16	1		2	62		137
