mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	1	1	1/16	1/16	1		4	76		0
1	0	1/16	9/16	3/4	1	1	1/16	1/16	1		2	74		1
1	0	1/8	5/8	3/4	1	1	1/16	1/16	1		4	76		2
1	0	3/16	11/16	3/4	1	1	1/16	1/16	1		-1	77		3
2	1	0	0	3/4	2	1	1/8	1/8	1		1	55		8
2	1	0	0	3/4	2	1	1/8	1/8	1		5	59		8
2	1	0	0	3/4	2	1	1/8	1/8	1		2	62		8
2	1	0	0	3/4	1	1	3/8	1/4	3/2		1	79		4
2	1	1/8	1/8	3/4	2	1	1/8	1/8	1		1	55		9
2	1	1/8	1/8	3/4	2	1	1/8	1/8	1		5	59		9
2	1	1/8	1/8	3/4	2	1	1/8	1/8	1		2	62		9
2	1	1/4	1/4	3/4	2	1	1/8	1/8	1		1	55		10
2	1	1/4	1/4	3/4	2	1	1/8	1/8	1		5	59		10
2	1	1/4	1/4	3/4	2	1	1/8	1/8	1		2	62		10
2	1	3/8	3/8	3/4	2	1	1/8	1/8	1		1	55		11
2	1	3/8	3/8	3/4	2	1	1/8	1/8	1		5	59		11
2	1	3/8	3/8	3/4	2	1	1/8	1/8	1		2	62		11
2	1	3/8	3/8	3/4	1	1	1/8	1/8	1		3	81		5
2	1	1/2	1/2	3/4	2	1	1/8	1/8	1		1	55		12
2	1	1/2	1/2	3/4	2	1	1/8	1/8	1		5	59		12
2	1	1/2	1/2	3/4	2	1	1/8	1/8	1		2	62		12
2	1	1/2	1/2	3/4	1	1	1/8	1/8	1		1	79		6
2	1	5/8	5/8	3/4	2	1	1/8	1/8	1		1	55		13
2	1	5/8	5/8	3/4	2	1	1/8	1/8	1		5	59		13
2	1	5/8	5/8	3/4	2	1	1/8	1/8	1		2	62		13
2	1	5/8	5/8	3/4	1	1	1/8	1/8	1		-1	77		7
3	2	0	0	3/4	2	1	1/8	1/8	1		1	55		20
3	2	0	0	3/4	2	1	1/8	1/8	1		0	60		20
3	2	0	0	3/4	2	1	1/8	1/8	1		4	64		20
3	2	0	0	3/4	1	1	1/4	1/4	1		4	76		14
3	2	1/8	1/8	3/4	2	1	1/8	1/8	1		1	55		21
3	2	1/8	1/8	3/4	2	1	1/8	1/8	1		0	60		21
3	2	1/8	1/8	3/4	2	1	1/8	1/8	1		4	64		21
3	2	1/4	1/4	3/4	2	1	1/8	1/8	1		1	55		22
3	2	1/4	1/4	3/4	2	1	1/8	1/8	1		0	60		22
3	2	1/4	1/4	3/4	2	1	1/8	1/8	1		4	64		22
3	2	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72		15
3	2	3/8	3/8	3/4	2	1	1/8	1/8	1		1	55		23
3	2	3/8	3/8	3/4	2	1	1/8	1/8	1		0	60		23
3	2	3/8	3/8	3/4	2	1	1/8	1/8	1		4	64		23
3	2	1/2	1/2	3/4	2	1	1/8	1/8	1		1	55		24
3	2	1/2	1/2	3/4	2	1	1/8	1/8	1		0	60		24
3	2	1/2	1/2	3/4	2	1	1/8	1/8	1		4	64		24
3	2	1/2	1/2	3/4	1	1	1/16	1/16	1		4	76		16
3	2	9/16	9/16	3/4	1	1	1/16	1/16	1		2	74		17
3	2	5/8	5/8	3/4	2	1	1/8	1/8	1		1	55		25
3	2	5/8	5/8	3/4	2	1	1/8	1/8	1		0	60		25
3	2	5/8	5/8	3/4	2	1	1/8	1/8	1		4	64		25
3	2	5/8	5/8	3/4	1	1	1/16	1/16	1		4	76		18
3	2	11/16	11/16	3/4	1	1	1/16	1/16	1		-1	77		19
4	3	0	0	3/4	2	1	1/8	1/8	1		1	55		30
4	3	0	0	3/4	2	1	1/8	1/8	1		5	59		30
4	3	0	0	3/4	2	1	1/8	1/8	1		2	62		30
4	3	0	0	3/4	1	1	3/8	1/4	3/2		1	79		26
4	3	1/8	1/8	3/4	2	1	1/8	1/8	1		1	55		31
4	3	1/8	1/8	3/4	2	1	1/8	1/8	1		5	59		31
4	3	1/8	1/8	3/4	2	1	1/8	1/8	1		2	62		31
4	3	1/4	1/4	3/4	2	1	1/8	1/8	1		1	55		32
4	3	1/4	1/4	3/4	2	1	1/8	1/8	1		5	59		32
4	3	1/4	1/4	3/4	2	1	1/8	1/8	1		2	62		32
4	3	3/8	3/8	3/4	2	1	1/8	1/8	1		1	55		33
4	3	3/8	3/8	3/4	2	1	1/8	1/8	1		5	59		33
4	3	3/8	3/8	3/4	2	1	1/8	1/8	1		2	62		33
4	3	3/8	3/8	3/4	1	1	1/8	1/8	1		3	81		27
4	3	1/2	1/2	3/4	2	1	1/8	1/8	1		1	55		34
4	3	1/2	1/2	3/4	2	1	1/8	1/8	1		5	59		34
4	3	1/2	1/2	3/4	2	1	1/8	1/8	1		2	62		34
4	3	1/2	1/2	3/4	1	1	1/8	1/8	1		1	79		28
4	3	5/8	5/8	3/4	2	1	1/8	1/8	1		1	55		35
4	3	5/8	5/8	3/4	2	1	1/8	1/8	1		5	59		35
4	3	5/8	5/8	3/4	2	1	1/8	1/8	1		2	62		35
4	3	5/8	5/8	3/4	1	1	1/8	1/8	1		-1	77		29
5	4	0	0	3/4	2	1	1/8	1/8	1		0	60		41
5	4	0	0	3/4	2	1	1/8	1/8	1		4	64		41
5	4	0	0	3/4	1	1	1/4	1/4	1		4	76		36
5	4	1/8	1/8	3/4	2	1	1/8	1/8	1		0	60		42
5	4	1/8	1/8	3/4	2	1	1/8	1/8	1		4	64		42
5	4	1/4	1/4	3/4	2	1	1/8	1/8	1		0	60		43
5	4	1/4	1/4	3/4	2	1	1/8	1/8	1		4	64		43
5	4	3/8	3/8	3/4	2	1	1/8	1/8	1		0	60		44
5	4	3/8	3/8	3/4	2	1	1/8	1/8	1		4	64		44
5	4	1/2	1/2	3/4	2	1	1/8	1/8	1		0	60		45
5	4	1/2	1/2	3/4	2	1	1/8	1/8	1		4	64		45
5	4	1/2	1/2	3/4	1	1	1/16	1/16	1		2	74		37
5	4	9/16	9/16	3/4	1	1	1/16	1/16	1		0	72		38
