mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	3/4	2	1	3/4	1/2	3/2		-1	41		1
1	1	0	0	3/4	2	1	3/4	1/2	3/2		-1	53		1
1	1	0	0	3/4	1	1	3/4	1/2	3/2		-1	65		0
2	2	0	0	3/4	2	1	1/8	1/8	1		0	48		7
2	2	0	0	3/4	1	1	1/8	1/8	1		0	60		2
2	2	1/8	1/8	3/4	2	1	1/8	1/8	1		5	47		8
2	2	1/8	1/8	3/4	1	1	1/8	1/8	1		5	59		3
2	2	1/4	1/4	3/4	2	1	1/8	1/8	1		0	48		9
2	2	1/4	1/4	3/4	1	1	1/8	1/8	1		0	60		4
2	2	3/8	3/8	3/4	2	1	1/8	1/8	1		5	47		10
2	2	3/8	3/8	3/4	1	1	1/8	1/8	1		5	59		5
2	2	1/2	1/2	3/4	2	1	1/4	1/4	1		0	48		11
2	2	1/2	1/2	3/4	1	1	1/4	1/4	1		0	60		6
3	3	0	0	3/4	2	1	3/4	1/2	3/2		3	45		13
3	3	0	0	3/4	2	1	3/4	1/2	3/2		3	57		13
3	3	0	0	3/4	1	1	3/4	1/2	3/2		3	69		12
4	4	0	0	3/4	2	1	1/8	1/8	1		-1	53		19
4	4	0	0	3/4	1	1	1/8	1/8	1		-1	65		14
4	4	1/8	1/8	3/4	2	1	1/8	1/8	1		4	52		20
4	4	1/8	1/8	3/4	1	1	1/8	1/8	1		4	64		15
4	4	1/4	1/4	3/4	2	1	1/8	1/8	1		-1	53		21
4	4	1/4	1/4	3/4	1	1	1/8	1/8	1		-1	65		16
4	4	3/8	3/8	3/4	2	1	1/8	1/8	1		4	52		22
4	4	3/8	3/8	3/4	1	1	1/8	1/8	1		4	64		17
4	4	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	53		23
4	4	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	65		18
5	5	0	0	3/4	2	1	1/4	1/4	1		0	48		27
5	5	0	0	3/4	2	1	1/4	1/4	1		0	60		27
5	5	0	0	3/4	1	1	1/4	1/4	1		4	64		24
5	5	0	0	3/4	1	1	1/4	1/4	1		1	67		24
5	5	0	0	3/4	1	1	1/4	1/4	1		0	72		24
5	5	1/4	1/4	3/4	2	1	1/4	1/4	1		0	48		28
5	5	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59		28
5	5	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	65		25
5	5	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67		25
5	5	1/4	1/4	3/4	1	1	1/4	1/4	1		2	74		25
5	5	1/2	1/2	3/4	2	1	1/4	1/4	1		0	48		29
5	5	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58		29
5	5	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67		26
5	5	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72		26
5	5	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76		26
6	6	0	0	3/4	2	1	1/4	1/4	1		0	48		33
6	6	0	0	3/4	2	1	1/4	1/4	1		3	57		33
6	6	0	0	3/4	1	1	1/4	1/4	1		-1	65		30
6	6	0	0	3/4	1	1	1/4	1/4	1		0	72		30
6	6	0	0	3/4	1	1	1/4	1/4	1		-1	77		30
6	6	1/4	1/4	3/4	2	1	1/4	1/4	1		0	48		34
6	6	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55		34
6	6	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67		31
6	6	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72		31
6	6	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76		31
6	6	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79		31
6	6	1/2	1/2	3/4	2	1	1/4	1/4	1		0	48		35
6	6	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	53		35
6	6	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69		32
6	6	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72		32
6	6	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77		32
6	6	1/2	1/2	3/4	1	1	1/4	1/4	1		3	81		32
