mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	2	1	1/4	1/4	1.0		7	37		1
1	0	0	1/2	3/4	2	1	1/4	1/4	1.0		8	44		1
1	0	0	1/2	3/4	2	1	1/4	1/4	1.0		7	49		1
1	0	0	1/2	3/4	1	1	1/4	1/4	1.0		8	56		0
1	0	0	1/2	3/4	1	1	1/4	1/4	1.0		8	68		0
2	1	0	0	3/4	2	1	1/4	1/4	1.0		7	37		5
2	1	0	0	3/4	2	1	1/4	1/4	1.0		8	44		5
2	1	0	0	3/4	2	1	1/4	1/4	1.0		7	49		5
2	1	0	0	3/4	1	1	1/4	1/4	1.0		7	61		2
2	1	0	0	3/4	1	1	1/4	1/4	1.0		7	73		2
2	1	1/4	1/4	3/4	2	1	1/4	1/4	1.0		7	37		6
2	1	1/4	1/4	3/4	2	1	1/4	1/4	1.0		8	44		6
2	1	1/4	1/4	3/4	2	1	1/4	1/4	1.0		7	49		6
2	1	1/4	1/4	3/4	1	1	1/4	1/4	1.0		9	63		3
2	1	1/4	1/4	3/4	1	1	1/4	1/4	1.0		9	75		3
2	1	1/2	1/2	3/4	2	1	1/4	1/4	1.0		7	37		7
2	1	1/2	1/2	3/4	2	1	1/4	1/4	1.0		8	44		7
2	1	1/2	1/2	3/4	2	1	1/4	1/4	1.0		7	49		7
2	1	1/2	1/2	3/4	1	1	1/4	1/4	1.0		8	56		4
2	1	1/2	1/2	3/4	1	1	1/4	1/4	1.0		8	68		4
3	2	0	0	3/4	2	1	1/4	1/4	1.0		7	37		11
3	2	0	0	3/4	2	1	1/4	1/4	1.0		8	44		11
3	2	0	0	3/4	2	1	1/4	1/4	1.0		7	49		11
3	2	0	0	3/4	1	1	1/4	1/4	1.0		7	61		8
3	2	0	0	3/4	1	1	1/4	1/4	1.0		7	73		8
3	2	1/4	1/4	3/4	2	1	1/4	1/4	1.0		7	37		12
3	2	1/4	1/4	3/4	2	1	1/4	1/4	1.0		8	44		12
3	2	1/4	1/4	3/4	2	1	1/4	1/4	1.0		7	49		12
