mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	2/4	2	1	1/4	1/4	1.0		8	44		6
1	1	0	0	2/4	1	2	1/8	1/8	1.0		5	83		2
1	1	0	0	2/4	1	1	1/4	1/4	1.0		9	87		0
1	1	1/8	1/8	2/4	1	2	1/8	1/8	1.0		10	82		3
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	51		7
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		8	56		7
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		7
1	1	1/4	1/4	2/4	1	2	1/8	1/8	1.0		8	80		4
1	1	1/4	1/4	2/4	1	1	1/4	1/4	1.0		5	83		1
1	1	3/8	3/8	2/4	1	2	1/8	1/8	1.0		13	79		5
2	2	0	0	2/4	2	1	1/4	1/4	1.0		8	44		12
2	2	0	0	2/4	1	2	1/8	1/8	1.0		8	80		10
2	2	0	0	2/4	1	1	1/8	1/8	1.0		5	83		8
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	51		13
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		8	56		13
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		13
2	2	1/4	1/4	2/4	1	2	1/4	1/4	1.0		8	80		11
2	2	1/4	1/4	2/4	1	1	1/4	1/4	1.0		5	83		9
3	3	0	0	2/4	2	1	1/4	1/4	1.0		8	44		20
3	3	0	0	2/4	1	2	1/8	1/8	1.0		13	79		16
3	3	0	0	2/4	1	1	1/4	1/4	1.0		10	82		14
3	3	1/8	1/8	2/4	1	2	1/8	1/8	1.0		4	76		17
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	51		21
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		13	55		21
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		10	58		21
3	3	1/4	1/4	2/4	1	2	1/8	1/8	1.0		9	75		18
3	3	1/4	1/4	2/4	1	1	1/4	1/4	1.0		13	79		15
3	3	3/8	3/8	2/4	1	2	1/8	1/8	1.0		7	73		19
4	4	0	0	2/4	2	1	1/4	1/4	1.0		8	44		26
4	4	0	0	2/4	1	2	1/4	1/4	1.0		5	71		24
4	4	0	0	2/4	1	1	1/4	1/4	1.0		8	80		22
4	4	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	51		27
4	4	1/4	1/4	2/4	2	1	1/4	1/4	1.0		8	56		27
4	4	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		27
4	4	1/4	1/4	2/4	1	2	1/4	1/4	1.0		5	71		25
4	4	1/4	1/4	2/4	1	1	1/4	1/4	1.0		8	80		23
5	5	0	0	2/4	2	1	1/4	1/4	1.0		8	44		34
5	5	0	0	2/4	1	2	1/8	1/8	1.0		5	71		30
5	5	0	0	2/4	1	1	1/4	1/4	1.0		9	75		28
5	5	1/8	1/8	2/4	1	2	1/8	1/8	1.0		10	70		31
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	51		35
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		8	56		35
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		35
5	5	1/4	1/4	2/4	1	2	1/8	1/8	1.0		8	68		32
5	5	1/4	1/4	2/4	1	1	1/4	1/4	1.0	1	5	71		29
5	5	3/8	3/8	2/4	1	2	1/8	1/8	1.0		13	67		33
6	6	0	0	2/4	2	1	1/4	1/4	1.0		8	44		40
6	6	0	0	2/4	1	2	1/8	1/8	1.0		8	68		38
6	6	0	0	2/4	1	1	1/8	1/8	1.0	-1	5	71		36
6	6	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	51		41
6	6	1/4	1/4	2/4	2	1	1/4	1/4	1.0		8	56		41
6	6	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		41
6	6	1/4	1/4	2/4	1	2	1/4	1/4	1.0		8	68		39
6	6	1/4	1/4	2/4	1	1	1/4	1/4	1.0		5	71		37
7	7	0	0	2/4	2	1	1/4	1/4	1.0		8	44		48
7	7	0	0	2/4	1	2	1/8	1/8	1.0		13	67		44
7	7	0	0	2/4	1	1	1/4	1/4	1.0		10	70		42
7	7	1/8	1/8	2/4	1	2	1/8	1/8	1.0		4	64		45
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	51		49
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		13	55		49
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		10	58		49
7	7	1/4	1/4	2/4	1	2	1/8	1/8	1.0		9	63		46
7	7	1/4	1/4	2/4	1	1	1/4	1/4	1.0		13	67		43
7	7	3/8	3/8	2/4	1	2	1/8	1/8	1.0		7	61		47
8	8	0	0	2/4	2	1	1/4	1/4	1.0		8	44		52
8	8	0	0	2/4	1	2	1/4	1/4	1.0		5	59		51
8	8	0	0	2/4	1	1	1/4	1/4	1.0		8	68		50
8	8	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	51		53
8	8	1/4	1/4	2/4	2	1	1/4	1/4	1.0		8	56		53
8	8	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		53
9	9	0	0	2/4	2	1	1/2	1/2	1.0		5	47		59
9	9	0	0	2/4	2	1	1/2	1/2	1.0		6	54		59
9	9	0	0	2/4	2	1	1/2	1/2	1.0		5	59		59
9	9	0	0	2/4	1	2	1/2	1/2	1.0		9	63		58
9	9	0	0	2/4	1	1	1/8	1/8	1.0		9	75		54
9	9	1/8	1/8	2/4	1	1	1/8	1/8	1.0		7	73		55
9	9	1/4	1/4	2/4	1	1	1/8	1/8	1.0		5	71		56
9	9	3/8	3/8	2/4	1	1	1/8	1/8	1.0		10	70		57
10	10	0	0	2/4	2	1	1/4	1/4	1.0		9	51		64
10	10	0	0	2/4	2	1	1/4	1/4	1.0		5	59		64
10	10	0	0	2/4	1	2	1/4	1/4	1.0		6	66		62
10	10	0	0	2/4	1	1	1/4	1/4	1.0		5	71		60
10	10	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	51		65
10	10	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		65
10	10	1/4	1/4	2/4	1	2	1/4	1/4	1.0		6	66		63
10	10	1/4	1/4	2/4	1	1	1/4	1/4	1.0		5	71		61
11	11	0	0	2/4	2	1	1/4	1/4	1.0		6	42		68
11	11	0	0	2/4	2	1	1/4	1/4	1.0		6	54		68
11	11	0	0	2/4	1	1	1/4	1/4	1.0		6	66		66
11	11	0	0	2/4	1	1	1/4	1/4	1.0		10	70		66
11	11	0	0	2/4	1	1	1/4	1/4	1.0		7	73		66
11	11	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	42		69
11	11	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	54		69
11	11	1/4	1/4	2/4	1	1	1/4	1/4	1.0		6	66		67
11	11	1/4	1/4	2/4	1	1	1/4	1/4	1.0		10	70		67
11	11	1/4	1/4	2/4	1	1	1/4	1/4	1.0		7	73		67
12	12	0	0	2/4	2	1	1/2	1/2	1.0		6	30		71
12	12	0	0	2/4	2	1	1/2	1/2	1.0		6	42		71
12	12	0	0	2/4	1	1	1/2	1/2	1.0		6	66		70
12	12	0	0	2/4	1	1	1/2	1/2	1.0		10	70		70
12	12	0	0	2/4	1	1	1/2	1/2	1.0		7	73		70
12	12	0	0	2/4	1	1	1/2	1/2	1.0		6	78		70
13	13	0	0	2/4	2	1	1/2	1/2	1.0		5	47		77
13	13	0	0	2/4	2	1	1/2	1/2	1.0		6	54		77
13	13	0	0	2/4	2	1	1/2	1/2	1.0		5	59		77
13	13	0	0	2/4	1	2	1/2	1/2	1.0		9	63		76
13	13	0	0	2/4	1	1	1/8	1/8	1.0		9	75		72
13	13	1/8	1/8	2/4	1	1	1/8	1/8	1.0		7	73		73
13	13	1/4	1/4	2/4	1	1	1/8	1/8	1.0		5	71		74
13	13	3/8	3/8	2/4	1	1	1/8	1/8	1.0		10	70		75
14	14	0	0	2/4	2	1	1/4	1/4	1.0		9	51		82
14	14	0	0	2/4	2	1	1/4	1/4	1.0		5	59		82
14	14	0	0	2/4	1	2	1/4	1/4	1.0		6	66		80
14	14	0	0	2/4	1	1	1/4	1/4	1.0		5	71		78
14	14	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	51		83
14	14	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		83
14	14	1/4	1/4	2/4	1	2	1/4	1/4	1.0		6	66		81
14	14	1/4	1/4	2/4	1	1	1/4	1/4	1.0		5	71		79
15	15	0	0	2/4	2	1	1/4	1/4	1.0		6	42		89
15	15	0	0	2/4	2	1	1/4	1/4	1.0		6	54		89
15	15	0	0	2/4	1	2	1/4	1/4	1.0		4	64		87
15	15	0	0	2/4	1	2	1/4	1/4	1.0		10	70		87
15	15	0	0	2/4	1	1	1/4	1/4	1.0		7	73		84
15	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	42		90
15	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	54		90
15	15	1/4	1/4	2/4	1	2	1/4	1/4	1.0		4	64		88
15	15	1/4	1/4	2/4	1	2	1/4	1/4	1.0		10	70		88
15	15	1/4	1/4	2/4	1	1	1/8	1/8	1.0		7	73		85
15	15	3/8	3/8	2/4	1	1	1/8	1/8	1.0		9	75		86
