mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	1	1	0	appoggiatura	1/16	1		6	78		0
1	0	0	1/2	3/4	1	1	1/4		1/4	1		4	76		1
2	1	0	0	3/4	2	1	1/4		1/4	1		4	64		5
2	1	0	0	3/4	2	1	1/4		1/4	1		8	68		5
2	1	0	0	3/4	1	1	1/4		1/4	1		5	71		2
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64		6
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		8	68		6
2	1	1/4	1/4	3/4	1	1	1/4		1/4	1		5	71		3
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		7
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		8	68		7
2	1	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71		4
3	2	0	0	3/4	2	1	1/4		1/4	1		4	64		11
3	2	0	0	3/4	2	1	1/4		1/4	1		8	68		11
3	2	0	0	3/4	1	1	1/4		1/4	1		5	71		8
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64		12
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		8	68		12
3	2	1/4	1/4	3/4	1	1	1/4		1/4	1		5	71		9
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		13
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		8	68		13
3	2	1/2	1/2	3/4	1	1	1/4		1/4	1		12	72		10
4	3	0	0	3/4	2	1	1/4		1/4	1		4	64		17
4	3	0	0	3/4	2	1	1/4		1/4	1		3	69		17
4	3	0	0	3/4	1	1	3/8		1/4	3/2		7	73		14
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64		18
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1		3	69		18
4	3	3/8	3/8	3/4	1	1	1/8		1/8	1		9	75		15
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		19
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		3	69		19
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		7	73		19
4	3	1/2	1/2	3/4	1	1	1/4		1/4	1		4	76		16
5	4	0	0	3/4	2	1	1/4		1/4	1		4	64		23
5	4	0	0	3/4	2	1	1/4		1/4	1		8	68		23
5	4	0	0	3/4	2	1	1/4		1/4	1		5	71		23
5	4	0	0	3/4	1	1	1/2		1/2	1		4	76		20
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64		24
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		8	68		24
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		5	71		24
5	4	1/2	1/2	3/4	1	1	0	appoggiatura	1/16	1		6	90		21
