mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	2	1	1/4	1/4	1		-1	29		1
1	0	0	1/2	3/4	2	1	1/4	1/4	1		-1	41		1
1	0	0	1/2	3/4	1	1	1/4	1/4	1		-1	53		0
2	1	0	0	3/4	2	1	1/2	1/2	1		-1	29		8
2	1	0	0	3/4	2	1	1/2	1/2	1		-1	41		8
2	1	0	0	3/4	1	1	1/8	1/8	1		-1	53		2
2	1	1/8	1/8	3/4	1	1	1/8	1/8	1		3	57		3
2	1	1/4	1/4	3/4	1	1	1/8	1/8	1		0	60		4
2	1	3/8	3/8	3/4	1	1	1/8	1/8	1		-1	65		5
2	1	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	29		9
2	1	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	41		9
2	1	1/2	1/2	3/4	1	1	1/8	1/8	1		3	69		6
2	1	5/8	5/8	3/4	1	1	1/8	1/8	1		0	72		7
3	2	0	0	3/4	2	1	1/4	1/4	1		-1	29		14
3	2	0	0	3/4	2	1	1/4	1/4	1		-1	41		14
3	2	0	0	3/4	1	1	1/4	1/4	1		-1	77		10
3	2	1/4	1/4	3/4	2	1	1/8	1/8	1		3	57		15
3	2	1/4	1/4	3/4	2	1	1/8	1/8	1		-1	65		15
3	2	1/4	1/4	3/4	1	1	1/8	1/8	1		0	72		11
3	2	1/4	1/4	3/4	1	1	1/8	1/8	1		-1	77		11
3	2	3/8	3/8	3/4	2	1	1/8	1/8	1		3	57		16
3	2	3/8	3/8	3/4	2	1	1/8	1/8	1		-1	65		16
3	2	3/8	3/8	3/4	1	1	1/8	1/8	1		0	72		12
3	2	3/8	3/8	3/4	1	1	1/8	1/8	1		-1	77		12
3	2	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57		17
3	2	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65		17
3	2	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72		13
3	2	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77		13
4	3	0	0	3/4	2	1	1/2	1/2	1		0	60		20
4	3	0	0	3/4	2	1	1/2	1/2	1		1	67		20
4	3	0	0	3/4	1	1	1/2	1/2	1		0	72		18
4	3	0	0	3/4	1	1	1/2	1/2	1		4	76		18
4	3	0	0	3/4	1	1	1/2	1/2	1		1	79		18
4	3	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60		21
4	3	1/2	1/2	3/4	2	1	1/4	1/4	1		1	67		21
4	3	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72		19
4	3	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76		19
4	3	1/2	1/2	3/4	1	1	1/4	1/4	1		0	84		19
5	4	0	0	3/4	2	1	1/4	1/4	1		-1	65		27
5	4	0	0	3/4	2	1	1/4	1/4	1		3	69		27
5	4	0	0	3/4	1	1	1/4	1/4	1		0	72		22
5	4	0	0	3/4	1	1	1/4	1/4	1		-1	77		22
5	4	0	0	3/4	1	1	1/4	1/4	1		3	81		22
5	4	1/4	1/4	3/4	1	1	1/8	1/8	1		-1	65		23
5	4	3/8	3/8	3/4	1	1	1/8	1/8	1		4	64		24
5	4	1/2	1/2	3/4	1	1	1/8	1/8	1		-1	65		25
5	4	5/8	5/8	3/4	1	1	1/8	1/8	1		4	64		26
6	5	0	0	3/4	2	1	1/2	1/2	1		-1	41		34
6	5	0	0	3/4	2	1	1/2	1/2	1		-1	53		34
6	5	0	0	3/4	1	1	1/8	1/8	1		-1	65		28
6	5	1/8	1/8	3/4	1	1	1/8	1/8	1		3	69		29
6	5	1/4	1/4	3/4	1	1	1/8	1/8	1		0	72		30
6	5	3/8	3/8	3/4	1	1	1/8	1/8	1		-1	77		31
6	5	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	41		35
6	5	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	53		35
6	5	1/2	1/2	3/4	1	1	1/8	1/8	1		3	81		32
6	5	5/8	5/8	3/4	1	1	1/8	1/8	1		0	84		33
