mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	1	1	1/4		1/4	1.0		-1	53		0
2	1	0	0	3/4	1	1	0	appoggiatura	1/16	1.0		0	60		1
2	1	0	0	3/4	2	1	1/4		1/4	1.0		-2	34		8
2	1	0	0	3/4	2	1	1/4		1/4	1.0		-2	46		8
2	1	0	0	3/4	1	1	1/8		1/8	1.0		-2	58		2
2	1	1/8	1/8	3/4	1	1	1/8		1/8	1.0		3	57		3
2	1	1/4	1/4	3/4	1	1	1/8		1/8	1.0		-2	58		4
2	1	3/8	3/8	3/4	1	1	1/8		1/8	1.0		0	60		5
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1.0		-2	46		9
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1.0		2	50		9
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1.0		-1	53		9
2	1	1/2	1/2	3/4	1	1	1/8		1/8	1.0		2	62		6
2	1	5/8	5/8	3/4	1	1	1/8		1/8	1.0		-3	63		7
3	2	0	0	3/4	2	1	1/4		1/4	1.0		-2	34		16
3	2	0	0	3/4	2	1	1/4		1/4	1.0		-2	46		16
3	2	0	0	3/4	1	1	1/8		1/8	1.0		-1	65		10
3	2	1/8	1/8	3/4	1	1	1/8		1/8	1.0		1	67		11
3	2	1/4	1/4	3/4	1	1	1/8		1/8	1.0		3	69		12
3	2	3/8	3/8	3/4	1	1	1/8		1/8	1.0		-2	70		13
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1.0		-2	46		17
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1.0		2	50		17
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1.0		-1	53		17
3	2	1/2	1/2	3/4	1	1	1/8		1/8	1.0		0	72		14
3	2	5/8	5/8	3/4	1	1	1/8		1/8	1.0		2	74		15
4	3	0	0	3/4	1	1	0	appoggiatura	1/16	1.0		-1	77		18
4	3	0	0	3/4	2	1	1/4		1/4	1.0		-1	29		25
4	3	0	0	3/4	2	1	1/4		1/4	1.0		-1	41		25
4	3	0	0	3/4	1	1	1/8		1/8	1.0		-3	75		19
4	3	1/8	1/8	3/4	1	1	1/8		1/8	1.0		2	74		20
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1.0		-1	41		26
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1.0		3	45		26
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1.0		0	48		26
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1.0		-1	53		26
4	3	1/4	1/4	3/4	1	1	1/8		1/8	1.0		-3	75		21
4	3	3/8	3/8	3/4	1	1	1/8		1/8	1.0		-1	77		22
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1.0		-1	41		27
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1.0		3	45		27
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1.0		0	48		27
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1.0		-1	53		27
4	3	1/2	1/2	3/4	1	1	1/8		1/8	1.0		1	79		23
4	3	5/8	5/8	3/4	1	1	1/8		1/8	1.0		-3	75		24
5	4	0	0	3/4	2	1	1/4		1/4	1.0		-1	41		30
5	4	0	0	3/4	2	1	1/4		1/4	1.0		3	45		30
5	4	0	0	3/4	2	1	1/4		1/4	1.0		0	48		30
5	4	0	0	3/4	2	1	1/4		1/4	1.0		-1	53		30
5	4	0	0	3/4	1	1	1/4		1/4	1.0		0	72		28
5	4	1/2	1/2	3/4	1	1	1/4		1/4	1.0		0	60		29
6	5	0	0	3/4	1	1	0	appoggiatura	1/16	1.0		1	67		31
6	5	0	0	3/4	2	1	1/4		1/4	1.0		-1	29		38
6	5	0	0	3/4	2	1	1/4		1/4	1.0		-1	41		38
6	5	0	0	3/4	1	1	1/8		1/8	1.0		-1	65		32
6	5	1/8	1/8	3/4	1	1	1/8		1/8	1.0		4	64		33
6	5	1/4	1/4	3/4	1	1	1/8		1/8	1.0		-1	65		34
6	5	3/8	3/8	3/4	1	1	1/8		1/8	1.0		1	67		35
6	5	1/2	1/2	3/4	2	1	1/4		1/4	1.0		-1	41		39
6	5	1/2	1/2	3/4	2	1	1/4		1/4	1.0		3	45		39
6	5	1/2	1/2	3/4	2	1	1/4		1/4	1.0		0	48		39
6	5	1/2	1/2	3/4	2	1	1/4		1/4	1.0		-1	53		39
6	5	1/2	1/2	3/4	1	1	1/8		1/8	1.0		3	69		36
6	5	5/8	5/8	3/4	1	1	1/8		1/8	1.0		-2	70		37
7	6	0	0	3/4	2	1	1/4		1/4	1.0		-1	29		46
7	6	0	0	3/4	2	1	1/4		1/4	1.0		-1	41		46
7	6	0	0	3/4	1	1	1/8		1/8	1.0		0	72		40
7	6	1/8	1/8	3/4	1	1	1/8		1/8	1.0		2	74		41
7	6	1/4	1/4	3/4	1	1	1/8		1/8	1.0		-3	75		42
7	6	3/8	3/8	3/4	1	1	1/8		1/8	1.0		-1	77		43
7	6	1/2	1/2	3/4	2	1	1/4		1/4	1.0		-1	41		47
7	6	1/2	1/2	3/4	2	1	1/4		1/4	1.0		3	45		47
7	6	1/2	1/2	3/4	2	1	1/4		1/4	1.0		0	48		47
7	6	1/2	1/2	3/4	2	1	1/4		1/4	1.0		-1	53		47
7	6	1/2	1/2	3/4	1	1	1/8		1/8	1.0		1	79		44
7	6	5/8	5/8	3/4	1	1	1/8		1/8	1.0		3	81		45
8	7	0	0	3/4	1	1	0	appoggiatura	1/16	1.0		0	84		48
8	7	0	0	3/4	2	1	1/4		1/4	1.0		-2	34		55
8	7	0	0	3/4	2	1	1/4		1/4	1.0		-2	46		55
8	7	0	0	3/4	1	1	1/8		1/8	1.0		-2	82		49
8	7	1/8	1/8	3/4	1	1	1/8		1/8	1.0		3	81		50
8	7	1/4	1/4	3/4	2	1	1/4		1/4	1.0		-2	46		56
8	7	1/4	1/4	3/4	2	1	1/4		1/4	1.0		2	50		56
8	7	1/4	1/4	3/4	2	1	1/4		1/4	1.0		-1	53		56
8	7	1/4	1/4	3/4	1	1	1/8		1/8	1.0		-2	82		51
8	7	3/8	3/8	3/4	1	1	1/8		1/8	1.0		0	84		52
8	7	1/2	1/2	3/4	2	1	1/4		1/4	1.0		-2	46		57
8	7	1/2	1/2	3/4	2	1	1/4		1/4	1.0		2	50		57
8	7	1/2	1/2	3/4	2	1	1/4		1/4	1.0		-1	53		57
8	7	1/2	1/2	3/4	1	1	1/8		1/8	1.0		2	86		53
8	7	5/8	5/8	3/4	1	1	1/8		1/8	1.0		0	84		54
9	8	0	0	3/4	2	1	1/4		1/4	1.0		-2	46		59
9	8	0	0	3/4	2	1	1/4		1/4	1.0		2	50		59
9	8	0	0	3/4	2	1	1/4		1/4	1.0		-1	53		59
9	8	0	0	3/4	1	1	1/4		1/4	1.0		-2	82		58
10	8	0	1/2	3/4	1	1	1/4		1/4	1.0		2	74		60
11	9	0	0	3/4	1	1	0	appoggiatura	1/16	1.0		-3	87		61
11	9	0	0	3/4	2	1	1/2		1/2	1.0		2	38		68
11	9	0	0	3/4	2	1	1/2		1/2	1.0		6	42		68
11	9	0	0	3/4	2	1	1/2		1/2	1.0		3	45		68
11	9	0	0	3/4	2	1	1/2		1/2	1.0		2	50		68
11	9	0	0	3/4	1	1	1/8		1/8	1.0		2	86		62
11	9	1/8	1/8	3/4	1	1	1/8		1/8	1.0		7	85		63
11	9	1/4	1/4	3/4	1	1	1/8		1/8	1.0		2	86		64
11	9	3/8	3/8	3/4	1	1	1/8		1/8	1.0		-3	87		65
11	9	1/2	1/2	3/4	2	1	1/4		1/4	1.0		2	38		69
