mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	2	1	1/4		1/4	1		5	71		0
2	1	0	0	3/4	2	1	1/4		1/4	1		4	64		1
2	1	0	0	3/4	2	1	1/4		1/4	1		8	68		1
2	1	0	0	3/4	2	1	1/4		1/4	1		5	71		1
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64		2
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		8	68		2
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		5	71		2
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		3
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		8	68		3
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		5	71		3
3	2	0	0	3/4	2	1	1/4		1/4	1		6	66		5
3	2	0	0	3/4	2	1	1/4		1/4	1		3	69		5
3	2	0	0	3/4	2	1	1/4		1/4	1		5	71		5
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		6	66		6
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		3	69		6
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		5	71		6
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		6	66		7
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		3	69		7
3	2	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71		4
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		5	71		7
4	3	0	0	3/4	2	1	1/4		1/4	1		8	68		11
4	3	0	0	3/4	1	1	3/8		1/4	3/2		5	71		8
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1		8	68		12
4	3	3/8	3/8	3/4	1	1	1/8		1/8	1		7	73		9
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		8	68		13
4	3	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71		10
5	4	0	0	3/4	2	1	1/4		1/4	1		4	64		17
5	4	0	0	3/4	2	1	1/4		1/4	1		8	68		17
5	4	0	0	3/4	1	1	1/4		1/4	1		5	71		14
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64		18
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		8	68		18
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		5	71		18
5	4	1/4	1/4	3/4	1	1	1/4		1/4	1		4	76		15
5	4	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		19
5	4	1/2	1/2	3/4	2	1	1/4		1/4	1		8	68		19
5	4	1/2	1/2	3/4	2	1	1/4		1/4	1		5	71		19
5	4	1/2	1/2	3/4	1	1	1/4		1/4	1		8	80		16
6	5	0	0	3/4	2	1	1/4		1/4	1		3	57		22
6	5	0	0	3/4	2	1	1/4		1/4	1		4	64		22
6	5	0	0	3/4	2	1	1/4		1/4	1		6	66		22
6	5	0	0	3/4	1	1	1/2		1/2	1		8	80		20
6	5	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57		23
6	5	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64		23
6	5	1/4	1/4	3/4	2	1	1/4		1/4	1		6	66		23
6	5	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57		24
6	5	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		24
6	5	1/2	1/2	3/4	2	1	1/4		1/4	1		6	66		24
6	5	1/2	1/2	3/4	1	1	1/4		1/4	1		6	78		21
7	6	0	0	3/4	2	1	1/4		1/4	1		5	59		26
7	6	0	0	3/4	2	1	1/4		1/4	1		4	64		26
7	6	0	0	3/4	2	1	1/4		1/4	1		6	66		26
7	6	1/4	1/4	3/4	2	1	1/4		1/4	1		5	59		27
7	6	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64		27
7	6	1/4	1/4	3/4	2	1	1/4		1/4	1		6	66		27
7	6	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59		28
7	6	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		28
7	6	1/2	1/2	3/4	2	1	1/4		1/4	1		6	66		28
7	6	1/2	1/2	3/4	1	1	1/4		1/4	1		6	78		25
8	7	0	0	3/4	2	1	1/4		1/4	1		0	60		32
8	7	0	0	3/4	2	1	1/4		1/4	1		4	64		32
8	7	0	0	3/4	2	1	1/4		1/4	1		6	66		32
8	7	0	0	3/4	1	1	3/8		1/4	3/2		6	78		29
8	7	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60		33
8	7	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64		33
8	7	1/4	1/4	3/4	2	1	1/4		1/4	1		6	66		33
8	7	3/8	3/8	3/4	1	1	1/8		1/8	1		1	79		30
8	7	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		34
8	7	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		34
8	7	1/2	1/2	3/4	2	1	1/4		1/4	1		6	66		34
8	7	1/2	1/2	3/4	1	1	1/4		1/4	1		6	78		31
9	8	0	0	3/4	2	1	1/4		1/4	1		10	58		38
9	8	0	0	3/4	2	1	1/4		1/4	1		4	64		38
9	8	0	0	3/4	2	1	1/4		1/4	1		6	66		38
9	8	0	0	3/4	1	1	1/4		1/4	1		6	78		35
9	8	1/4	1/4	3/4	2	1	1/4		1/4	1		10	58		39
9	8	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64		39
9	8	1/4	1/4	3/4	2	1	1/4		1/4	1		6	66		39
9	8	1/4	1/4	3/4	1	1	1/4		1/4	1		7	85		36
9	8	1/2	1/2	3/4	2	1	1/4		1/4	1		10	58		40
9	8	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		40
9	8	1/2	1/2	3/4	2	1	1/4		1/4	1		6	66		40
9	8	1/2	1/2	3/4	1	1	1/4		1/4	1		4	88		37
10	9	0	0	3/4	2	1	1/4		1/4	1		5	59		42
10	9	0	0	3/4	2	1	1/4		1/4	1		4	64		42
10	9	0	0	3/4	2	1	1/4		1/4	1		8	68		42
10	9	0	0	3/4	1	1	3/4		1/2	3/2		5	83		41
10	9	1/4	1/4	3/4	2	1	1/4		1/4	1		5	59		43
10	9	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64		43
10	9	1/4	1/4	3/4	2	1	1/4		1/4	1		8	68		43
10	9	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59		44
10	9	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		44
10	9	1/2	1/2	3/4	2	1	1/4		1/4	1		8	68		44
11	10	0	0	3/4	2	1	1/4		1/4	1		5	59		51
11	10	0	0	3/4	2	1	1/4		1/4	1		6	66		51
11	10	0	0	3/4	2	1	1/4		1/4	1		3	69		51
11	10	0	0	3/4	1	1	1/8		1/8	1		3	81		45
11	10	1/8	1/8	3/4	1	1	1/8		1/8	1		8	80		46
11	10	1/4	1/4	3/4	2	1	1/4		1/4	1		5	59		52
11	10	1/4	1/4	3/4	2	1	1/4		1/4	1		6	66		52
11	10	1/4	1/4	3/4	2	1	1/4		1/4	1		3	69		52
11	10	1/4	1/4	3/4	1	1	1/8		1/8	1		6	78		47
11	10	3/8	3/8	3/4	1	1	1/8		1/8	1		4	76		48
11	10	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59		53
11	10	1/2	1/2	3/4	2	1	1/4		1/4	1		6	66		53
11	10	1/2	1/2	3/4	2	1	1/4		1/4	1		3	69		53
11	10	1/2	1/2	3/4	1	1	1/8		1/8	1		9	75		49
11	10	5/8	5/8	3/4	1	1	1/8		1/8	1		6	78		50
12	11	0	0	3/4	2	1	1/4		1/4	1		4	64		55
12	11	0	0	3/4	2	1	1/4		1/4	1		8	68		55
12	11	0	0	3/4	1	1	1/4		1/4	1		4	76		54
12	11	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64		56
12	11	1/4	1/4	3/4	2	1	1/4		1/4	1		8	68		56
12	11	1/4	1/4	3/4	2	1	1/4		1/4	1		5	71		56
12	11	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		57
12	11	1/2	1/2	3/4	2	1	1/4		1/4	1		8	68		57
12	11	1/2	1/2	3/4	2	1	1/4		1/4	1		5	71		57
13	12	0	0	3/4	2	1	1/4		1/4	1		6	66		59
13	12	0	0	3/4	2	1	1/4		1/4	1		3	69		59
13	12	0	0	3/4	2	1	1/4		1/4	1		5	71		59
13	12	1/4	1/4	3/4	2	1	1/4		1/4	1		6	66		60
13	12	1/4	1/4	3/4	2	1	1/4		1/4	1		3	69		60
13	12	1/4	1/4	3/4	2	1	1/4		1/4	1		5	71		60
13	12	1/2	1/2	3/4	2	1	1/4		1/4	1		6	66		61
13	12	1/2	1/2	3/4	2	1	1/4		1/4	1		3	69		61
13	12	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71		58
13	12	1/2	1/2	3/4	2	1	1/4		1/4	1		5	71		61
14	13	0	0	3/4	2	1	1/4		1/4	1		8	68		65
14	13	0	0	3/4	1	1	3/8		1/4	3/2		5	71		62
14	13	1/4	1/4	3/4	2	1	1/4		1/4	1		8	68		66
14	13	3/8	3/8	3/4	1	1	1/8		1/8	1		7	73		63
14	13	1/2	1/2	3/4	2	1	1/4		1/4	1		8	68		67
14	13	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71		64
15	14	0	0	3/4	2	1	1/4		1/4	1		4	64		71
15	14	0	0	3/4	2	1	1/4		1/4	1		8	68		71
15	14	0	0	3/4	1	1	1/4		1/4	1		5	71		68
15	14	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64		72
15	14	1/4	1/4	3/4	2	1	1/4		1/4	1		8	68		72
15	14	1/4	1/4	3/4	2	1	1/4		1/4	1		5	71		72
15	14	1/4	1/4	3/4	1	1	1/4		1/4	1		4	76		69
15	14	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64		73
15	14	1/2	1/2	3/4	2	1	1/4		1/4	1		8	68		73
15	14	1/2	1/2	3/4	2	1	1/4		1/4	1		5	71		73
15	14	1/2	1/2	3/4	1	1	1/4		1/4	1		8	80		70
16	15	0	0	3/4	2	1	1/4		1/4	1		3	57		76
16	15	0	0	3/4	2	1	1/4		1/4	1		4	64		76
16	15	0	0	3/4	2	1	1/4		1/4	1		6	66		76
