mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	2	1	1/8	1/8	1		4	64		2
1	0	0	1/2	3/4	1	1	1/8	1/8	1		8	80		0
1	0	1/8	5/8	3/4	2	1	1/8	1/8	1		5	59		3
1	0	1/8	5/8	3/4	1	1	1/8	1/8	1		6	78		1
2	1	0	0	3/4	2	2	3/4	1/2	3/2		4	52		14
2	1	0	0	3/4	2	1	1/8	1/8	1		8	56		8
2	1	0	0	3/4	1	1	3/8	1/4	3/2		4	76		4
2	1	1/8	1/8	3/4	2	1	1/8	1/8	1		5	59		9
2	1	1/4	1/4	3/4	2	1	1/8	1/8	1		4	64		10
2	1	3/8	3/8	3/4	2	1	1/8	1/8	1		5	59		11
2	1	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78		5
2	1	1/2	1/2	3/4	2	1	1/8	1/8	1		8	56		12
2	1	1/2	1/2	3/4	1	1	1/8	1/8	1		4	76		6
2	1	5/8	5/8	3/4	2	1	1/8	1/8	1		5	59		13
2	1	5/8	5/8	3/4	1	1	1/8	1/8	1		9	75		7
3	2	0	0	3/4	2	2	3/4	1/2	3/2		4	52		25
3	2	0	0	3/4	2	1	1/8	1/8	1		3	57		19
3	2	0	0	3/4	1	1	3/8	1/4	3/2		7	73		15
3	2	1/8	1/8	3/4	2	1	1/8	1/8	1		7	61		20
3	2	1/4	1/4	3/4	2	1	1/8	1/8	1		4	64		21
3	2	3/8	3/8	3/4	2	1	1/8	1/8	1		7	61		22
3	2	3/8	3/8	3/4	1	1	1/8	1/8	1		5	71		16
3	2	1/2	1/2	3/4	2	1	1/8	1/8	1		3	57		23
3	2	1/2	1/2	3/4	1	1	1/8	1/8	1		3	69		17
3	2	5/8	5/8	3/4	2	1	1/8	1/8	1		7	61		24
3	2	5/8	5/8	3/4	1	1	1/8	1/8	1		8	68		18
4	3	0	0	3/4	2	2	3/4	1/2	3/2		4	52		36
4	3	0	0	3/4	2	1	1/8	1/8	1		3	57		30
4	3	0	0	3/4	1	1	1/4	1/4	1		6	66		26
4	3	1/8	1/8	3/4	2	1	1/8	1/8	1		5	59		31
