mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	2	1	1/8		1/8	1		4	64		2
1	0	0	1/2	3/4	1	1	3/16		1/8	3/2		8	80		0
1	0	1/8	5/8	3/4	2	1	1/8		1/8	1		5	59		3
1	0	3/16	11/16	3/4	1	1	1/16		1/16	1		6	78		1
2	1	0	0	3/4	2	2	3/4		1/2	3/2		4	52		14
2	1	0	0	3/4	2	1	1/8		1/8	1		8	56		8
2	1	0	0	3/4	1	1	1/4		1/4	1		4	76		4
2	1	1/8	1/8	3/4	2	1	1/8		1/8	1		5	59		9
2	1	1/4	1/4	3/4	2	1	1/8		1/8	1		8	56		10
2	1	1/4	1/4	3/4	1	1	1/4		1/4	1		5	71		5
2	1	3/8	3/8	3/4	2	1	1/8		1/8	1		5	59		11
2	1	1/2	1/2	3/4	2	1	1/8		1/8	1		4	64		12
2	1	1/2	1/2	3/4	1	1	3/16		1/8	3/2		8	80		6
2	1	5/8	5/8	3/4	2	1	1/8		1/8	1		5	59		13
2	1	11/16	11/16	3/4	1	1	1/16		1/16	1		6	78		7
3	2	0	0	3/4	2	2	3/4		1/2	3/2		4	52		25
3	2	0	0	3/4	2	1	1/8		1/8	1		8	56		19
3	2	0	0	3/4	1	1	1/4		1/4	1		4	76		15
3	2	1/8	1/8	3/4	2	1	1/8		1/8	1		5	59		20
3	2	1/4	1/4	3/4	2	1	1/8		1/8	1		8	56		21
3	2	1/4	1/4	3/4	1	1	1/4		1/4	1		5	71		16
3	2	3/8	3/8	3/4	2	1	1/8		1/8	1		5	59		22
3	2	1/2	1/2	3/4	2	1	1/8		1/8	1		4	64		23
3	2	1/2	1/2	3/4	1	1	3/16		1/8	3/2		8	80		17
3	2	5/8	5/8	3/4	2	1	1/8		1/8	1		5	59		24
3	2	11/16	11/16	3/4	1	1	1/16		1/16	1		6	78		18
4	3	0	0	3/4	2	2	3/4		1/2	3/2		4	52		38
4	3	0	0	3/4	2	1	1/8		1/8	1		8	56		32
4	3	0	0	3/4	1	1	1/8		1/8	1		4	76		26
