mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	1	1	1/4		1/4	1		-4	80		0
2	1	0	0	3/4	2	1	1/4		1/4	1		-3	39		4
2	1	0	0	3/4	1	1	1/4		1/4	1		1	79		1
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51		5
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55		5
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		-5	61		5
2	1	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	77		2
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	51		6
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		1	55		6
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		-5	61		6
2	1	1/2	1/2	3/4	1	1	1/4		1/4	1		1	67		3
3	2	0	0	3/4	2	1	1/4		1/4	1		-3	39		9
3	2	0	0	3/4	1	1	1/2		1/2	1		-2	70		7
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51		10
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55		10
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		-5	61		10
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	51		11
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		1	55		11
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		-5	61		11
3	2	1/2	1/2	3/4	1	1	1/4		1/4	1		-1	77		8
4	3	0	0	3/4	2	1	1/4		1/4	1		-4	44		15
4	3	0	0	3/4	1	1	1/4		1/4	1		-3	75		12
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51		16
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1		-4	56		16
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60		16
4	3	1/4	1/4	3/4	1	1	1/4		1/4	1		0	72		13
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	51		17
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		-4	56		17
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		17
4	3	1/2	1/2	3/4	1	1	1/4		1/4	1		-3	63		14
5	4	0	0	3/4	2	1	1/4		1/4	1		-4	44		20
5	4	0	0	3/4	1	1	1/2		1/2	1		-4	68		18
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51		21
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		-4	56		21
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60		21
5	4	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	51		22
5	4	1/2	1/2	3/4	2	1	1/4		1/4	1		-4	56		22
5	4	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		22
5	4	1/2	1/2	3/4	1	1	1/4		1/4	1		-4	80		19
5	4	1/2	1/2	3/4	1	1	1/4		1/4	1		-4	92		19
6	5	0	0	3/4	2	1	1/4		1/4	1		-3	39		26
6	5	0	0	3/4	1	1	1/4		1/4	1		1	79		23
6	5	0	0	3/4	1	1	1/4		1/4	1		1	91		23
6	5	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51		27
6	5	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55		27
6	5	1/4	1/4	3/4	2	1	1/4		1/4	1		-5	61		27
