mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	3/4	2	1	1/4	1/4	1		-1	41		6
1	1	0	0	3/4	1	1	1/8	1/8	1		0	60		0
1	1	1/8	1/8	3/4	1	1	1/8	1/8	1		5	59		1
1	1	1/4	1/4	3/4	2	1	1/4	1/4	1		0	48		7
1	1	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	53		7
1	1	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57		7
1	1	1/4	1/4	3/4	1	1	1/8	1/8	1		0	60		2
1	1	3/8	3/8	3/4	1	1	1/8	1/8	1		3	69		3
1	1	1/2	1/2	3/4	2	1	1/4	1/4	1		0	48		8
1	1	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	53		8
1	1	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57		8
1	1	1/2	1/2	3/4	1	1	1/8	1/8	1		5	59		4
1	1	5/8	5/8	3/4	1	1	1/8	1/8	1		0	60		5
2	2	0	0	3/4	2	1	1/4	1/4	1		0	36		10
2	2	0	0	3/4	1	1	3/4	1/2	3/2		4	64		9
2	2	0	0	3/4	1	1	3/4	1/2	3/2		-2	70		9
2	2	1/4	1/4	3/4	2	1	1/4	1/4	1		0	48		11
2	2	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55		11
2	2	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58		11
2	2	1/2	1/2	3/4	2	1	1/4	1/4	1		0	48		12
2	2	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55		12
2	2	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58		12
3	3	0	0	3/4	2	1	1/4	1/4	1		0	36		19
3	3	0	0	3/4	1	1	1/8	1/8	1		0	60		13
3	3	1/8	1/8	3/4	1	1	1/8	1/8	1		5	59		14
3	3	1/4	1/4	3/4	2	1	1/4	1/4	1		0	48		20
3	3	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55		20
3	3	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58		20
3	3	1/4	1/4	3/4	1	1	1/8	1/8	1		0	60		15
3	3	3/8	3/8	3/4	1	1	1/8	1/8	1		-2	70		16
3	3	1/2	1/2	3/4	2	1	1/4	1/4	1		0	48		21
3	3	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55		21
3	3	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58		21
3	3	1/2	1/2	3/4	1	1	1/8	1/8	1		5	59		17
3	3	5/8	5/8	3/4	1	1	1/8	1/8	1		0	60		18
4	4	0	0	3/4	2	1	1/4	1/4	1		-1	41		23
4	4	0	0	3/4	1	1	3/4	1/2	3/2		-1	65		22
4	4	0	0	3/4	1	1	3/4	1/2	3/2		3	69		22
4	4	1/4	1/4	3/4	2	1	1/4	1/4	1		0	48		24
4	4	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	53		24
4	4	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57		24
4	4	1/2	1/2	3/4	2	1	1/4	1/4	1		0	48		25
4	4	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	53		25
4	4	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57		25
5	5	0	0	3/4	2	1	1/4	1/4	1		-1	41		32
5	5	0	0	3/4	1	1	1/8	1/8	1		0	60		26
5	5	1/8	1/8	3/4	1	1	1/8	1/8	1		5	59		27
5	5	1/4	1/4	3/4	2	1	1/4	1/4	1		0	48		33
5	5	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	53		33
5	5	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57		33
5	5	1/4	1/4	3/4	1	1	1/8	1/8	1		0	60		28
5	5	3/8	3/8	3/4	1	1	1/8	1/8	1		3	69		29
5	5	1/2	1/2	3/4	2	1	1/4	1/4	1		0	48		34
5	5	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	53		34
5	5	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57		34
