mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	3/4	2	1	1/4	1/4	1		5	35		4
1	1	0	0	3/4	2	1	1/4	1/4	1		5	47		4
1	1	0	0	3/4	1	1	1/4	1/4	1		2	74		0
1	1	0	0	3/4	1	1	1/4	1/4	1		6	78		0
1	1	0	0	3/4	1	1	1/4	1/4	1		5	83		0
1	1	0	0	3/4	1	1	1/4	1/4	1		2	86		0
1	1	1/4	1/4	3/4	2	1	1/8	1/8	1		2	38		5
1	1	1/4	1/4	3/4	2	1	1/8	1/8	1		2	50		5
1	1	1/4	1/4	3/4	1	1	1/8	1/8	1		2	74		1
1	1	1/4	1/4	3/4	1	1	1/8	1/8	1		6	78		1
1	1	1/4	1/4	3/4	1	1	1/8	1/8	1		5	83		1
1	1	1/4	1/4	3/4	1	1	1/8	1/8	1		2	86		1
1	1	3/8	3/8	3/4	2	1	1/8	1/8	1		2	38		6
1	1	3/8	3/8	3/4	2	1	1/8	1/8	1		2	50		6
1	1	3/8	3/8	3/4	1	1	1/8	1/8	1		2	74		2
1	1	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78		2
1	1	3/8	3/8	3/4	1	1	1/8	1/8	1		5	83		2
1	1	3/8	3/8	3/4	1	1	1/8	1/8	1		2	86		2
1	1	1/2	1/2	3/4	2	1	1/4	1/4	1		6	42		7
1	1	1/2	1/2	3/4	2	1	1/4	1/4	1		6	54		7
1	1	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73		3
1	1	1/2	1/2	3/4	1	1	1/4	1/4	1		6	78		3
1	1	1/2	1/2	3/4	1	1	1/4	1/4	1		3	81		3
1	1	1/2	1/2	3/4	1	1	1/4	1/4	1		7	85		3
2	2	0	0	3/4	2	1	1/4	1/4	1		1	43		12
2	2	0	0	3/4	2	1	1/4	1/4	1		1	55		12
2	2	0	0	3/4	1	1	1/4	1/4	1		5	71		8
2	2	0	0	3/4	1	1	1/4	1/4	1		2	74		8
2	2	0	0	3/4	1	1	1/4	1/4	1		1	79		8
2	2	0	0	3/4	1	1	1/4	1/4	1		5	83		8
2	2	1/4	1/4	3/4	2	1	1/8	1/8	1		5	47		13
2	2	1/4	1/4	3/4	2	1	1/8	1/8	1		5	59		13
2	2	1/4	1/4	3/4	1	1	1/8	1/8	1		5	71		9
2	2	1/4	1/4	3/4	1	1	1/8	1/8	1		2	74		9
2	2	1/4	1/4	3/4	1	1	1/8	1/8	1		1	79		9
2	2	1/4	1/4	3/4	1	1	1/8	1/8	1		5	83		9
2	2	3/8	3/8	3/4	2	1	1/8	1/8	1		5	47		14
2	2	3/8	3/8	3/4	2	1	1/8	1/8	1		5	59		14
2	2	3/8	3/8	3/4	1	1	1/8	1/8	1		5	71		10
2	2	3/8	3/8	3/4	1	1	1/8	1/8	1		2	74		10
2	2	3/8	3/8	3/4	1	1	1/8	1/8	1		1	79		10
2	2	3/8	3/8	3/4	1	1	1/8	1/8	1		5	83		10
2	2	1/2	1/2	3/4	2	1	1/4	1/4	1		2	50		15
2	2	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62		15
2	2	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69		11
2	2	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74		11
2	2	1/2	1/2	3/4	1	1	1/4	1/4	1		6	78		11
2	2	1/2	1/2	3/4	1	1	1/4	1/4	1		3	81		11
3	3	0	0	3/4	2	1	1/4	1/4	1		4	52		20
3	3	0	0	3/4	2	1	1/4	1/4	1		4	64		20
3	3	0	0	3/4	1	1	1/4	1/4	1		5	71		16
3	3	0	0	3/4	1	1	1/4	1/4	1		7	73		16
3	3	0	0	3/4	1	1	1/4	1/4	1		1	79		16
3	3	1/4	1/4	3/4	2	1	1/8	1/8	1		4	64		21
3	3	1/4	1/4	3/4	1	1	1/8	1/8	1		5	71		17
3	3	1/4	1/4	3/4	1	1	1/8	1/8	1		7	73		17
3	3	1/4	1/4	3/4	1	1	1/8	1/8	1		1	79		17
3	3	3/8	3/8	3/4	2	1	1/8	1/8	1		4	64		22
3	3	3/8	3/8	3/4	1	1	1/8	1/8	1		5	71		18
3	3	3/8	3/8	3/4	1	1	1/8	1/8	1		7	73		18
3	3	3/8	3/8	3/4	1	1	1/8	1/8	1		1	79		18
3	3	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64		23
3	3	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71		19
3	3	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73		19
3	3	1/2	1/2	3/4	1	1	1/4	1/4	1		1	79		19
4	4	0	0	3/4	2	1	1/2	1/2	1		6	66		25
4	4	0	0	3/4	1	1	3/4	1/2	3/2		10	70		24
4	4	0	0	3/4	1	1	3/4	1/2	3/2		7	73		24
4	4	1/2	1/2	3/4	2	1	1/4	1/4	1		6	54		26
5	5	0	0	3/4	2	1	1/4	1/4	1		6	42		31
5	5	0	0	3/4	1	1	1/4	1/4	1		6	66		27
5	5	0	0	3/4	1	1	1/4	1/4	1		7	73		27
5	5	1/4	1/4	3/4	2	1	1/4	1/4	1		6	54		32
5	5	1/4	1/4	3/4	2	1	1/4	1/4	1		10	58		32
5	5	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64		32
5	5	1/4	1/4	3/4	1	1	1/8	1/8	1		6	66		28
5	5	1/4	1/4	3/4	1	1	1/8	1/8	1		7	73		28
5	5	3/8	3/8	3/4	1	1	1/8	1/8	1		6	66		29
5	5	3/8	3/8	3/4	1	1	1/8	1/8	1		7	73		29
5	5	1/2	1/2	3/4	2	1	1/4	1/4	1		6	54		33
5	5	1/2	1/2	3/4	2	1	1/4	1/4	1		10	58		33
5	5	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64		33
5	5	1/2	1/2	3/4	1	1	1/4	1/4	1		6	66		30
5	5	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73		30
6	6	0	0	3/4	2	1	1/4	1/4	1		5	47		36
6	6	0	0	3/4	1	1	1/2	1/2	1		6	66		34
6	6	0	0	3/4	1	1	1/2	1/2	1		7	73		34
6	6	1/4	1/4	3/4	2	1	1/4	1/4	1		6	54		37
6	6	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59		37
6	6	1/4	1/4	3/4	2	1	1/4	1/4	1		9	63		37
6	6	1/2	1/2	3/4	2	1	1/4	1/4	1		6	54		38
6	6	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59		38
6	6	1/2	1/2	3/4	2	1	1/4	1/4	1		9	63		38
6	6	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71		35
6	6	1/2	1/2	3/4	1	1	1/4	1/4	1		9	75		35
7	7	0	0	3/4	2	1	1/4	1/4	1		6	42		44
7	7	0	0	3/4	1	1	1/4	1/4	1		8	80		39
7	7	1/4	1/4	3/4	2	1	1/4	1/4	1		6	54		45
7	7	1/4	1/4	3/4	2	1	1/4	1/4	1		10	58		45
7	7	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64		45
7	7	1/4	1/4	3/4	1	1	1/8	1/8	1		6	78		40
7	7	3/8	3/8	3/4	1	1	1/8	1/8	1		4	76		41
7	7	1/2	1/2	3/4	2	1	1/4	1/4	1		6	54		46
7	7	1/2	1/2	3/4	2	1	1/4	1/4	1		10	58		46
7	7	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64		46
7	7	1/2	1/2	3/4	1	1	1/8	1/8	1		7	73		42
7	7	5/8	5/8	3/4	1	1	1/8	1/8	1		9	75		43
8	8	0	0	3/4	2	1	1/4	1/4	1		5	47		48
8	8	0	0	3/4	1	1	1/2	1/2	1		5	71		47
8	8	1/4	1/4	3/4	2	1	1/4	1/4	1		6	54		49
8	8	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59		49
8	8	1/4	1/4	3/4	2	1	1/4	1/4	1		9	63		49
9	9	0	0	3/4	2	1	1/4	1/4	1		5	47		55
9	9	0	0	3/4	1	1	1/4	1/4	1		9	75		50
9	9	1/4	1/4	3/4	2	1	1/4	1/4	1		6	54		56
9	9	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59		56
9	9	1/4	1/4	3/4	2	1	1/4	1/4	1		9	63		56
9	9	1/4	1/4	3/4	1	1	1/8	1/8	1		7	73		51
9	9	3/8	3/8	3/4	1	1	1/8	1/8	1		10	70		52
