mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	2	1	3/16	1/8	3/2		0	36		2
1	0	0	1/2	3/4	2	1	3/16	1/8	3/2		0	48		2
1	0	0	1/2	3/4	1	1	3/16	1/8	3/2		0	60		0
1	0	0	1/2	3/4	1	1	3/16	1/8	3/2		4	64		0
1	0	0	1/2	3/4	1	1	3/16	1/8	3/2		1	67		0
1	0	0	1/2	3/4	1	1	3/16	1/8	3/2		0	72		0
1	0	3/16	11/16	3/4	2	1	1/16	1/16	1		0	36		3
1	0	3/16	11/16	3/4	2	1	1/16	1/16	1		0	48		3
1	0	3/16	11/16	3/4	1	1	1/16	1/16	1		0	60		1
1	0	3/16	11/16	3/4	1	1	1/16	1/16	1		4	64		1
1	0	3/16	11/16	3/4	1	1	1/16	1/16	1		1	67		1
1	0	3/16	11/16	3/4	1	1	1/16	1/16	1		0	72		1
2	1	0	0	3/4	2	1	1/4	1/4	1		0	36		7
2	1	0	0	3/4	2	1	1/4	1/4	1		0	48		7
2	1	0	0	3/4	1	1	1/4	1/4	1		0	60		4
2	1	0	0	3/4	1	1	1/4	1/4	1		4	64		4
2	1	0	0	3/4	1	1	1/4	1/4	1		1	67		4
2	1	0	0	3/4	1	1	1/4	1/4	1		0	72		4
2	1	1/4	1/4	3/4	2	1	1/4	1/4	1		0	48		8
2	1	1/4	1/4	3/4	2	1	1/4	1/4	1		4	52		8
2	1	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55		8
2	1	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60		8
2	1	1/4	1/4	3/4	1	1	1/4	1/4	1		4	64		5
2	1	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67		5
2	1	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72		5
2	1	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76		5
2	1	1/2	1/2	3/4	2	1	1/4	1/4	1		0	48		9
2	1	1/2	1/2	3/4	2	1	1/4	1/4	1		4	52		9
2	1	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55		9
2	1	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60		9
2	1	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67		6
2	1	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72		6
2	1	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76		6
2	1	1/2	1/2	3/4	1	1	1/4	1/4	1		1	79		6
3	2	0	0	3/4	2	1	1/4	1/4	1		0	48		17
3	2	0	0	3/4	2	1	1/4	1/4	1		4	52		17
3	2	0	0	3/4	2	1	1/4	1/4	1		1	55		17
3	2	0	0	3/4	2	1	1/4	1/4	1		0	60		17
3	2	0	0	3/4	1	1	3/8	1/4	3/2		0	72		10
3	2	0	0	3/4	1	1	3/8	1/4	3/2		4	76		10
3	2	0	0	3/4	1	1	3/8	1/4	3/2		1	79		10
3	2	0	0	3/4	1	1	3/8	1/4	3/2		0	84		10
3	2	1/4	1/4	3/4	2	1	1/4	1/4	1		0	36		18
3	2	1/4	1/4	3/4	2	1	1/4	1/4	1		0	48		18
3	2	3/8	3/8	3/4	1	1	1/16	1/16	1		2	86		11
3	2	7/16	7/16	3/4	1	1	1/16	1/16	1		4	88		12
3	2	1/2	1/2	3/4	1	1	1/16	1/16	1		2	86		13
3	2	9/16	9/16	3/4	1	1	1/16	1/16	1		0	84		14
3	2	5/8	5/8	3/4	1	1	1/16	1/16	1		5	83		15
3	2	11/16	11/16	3/4	1	1	1/16	1/16	1		3	81		16
4	3	0	0	3/4	2	1	1/8	1/8	1		5	59		23
4	3	0	0	3/4	2	1	1/8	1/8	1		2	62		23
4	3	0	0	3/4	1	1	3/16	1/8	3/2		3	69		19
4	3	0	0	3/4	1	1	3/16	1/8	3/2		3	81		19
4	3	1/8	1/8	3/4	2	1	1/8	1/8	1		1	55		24
4	3	3/16	3/16	3/4	1	1	1/16	1/16	1		1	67		20
4	3	3/16	3/16	3/4	1	1	1/16	1/16	1		1	79		20
4	3	1/4	1/4	3/4	2	1	1/8	1/8	1		0	60		25
4	3	1/4	1/4	3/4	2	1	1/8	1/8	1		4	64		25
4	3	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67		21
4	3	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79		21
4	3	3/8	3/8	3/4	2	1	1/8	1/8	1		1	55		26
4	3	1/2	1/2	3/4	2	1	1/8	1/8	1		2	62		27
4	3	1/2	1/2	3/4	2	1	1/8	1/8	1		-1	65		27
4	3	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71		22
4	3	1/2	1/2	3/4	1	1	1/4	1/4	1		1	79		22
4	3	5/8	5/8	3/4	2	1	1/8	1/8	1		1	55		28
5	4	0	0	3/4	2	1	1/8	1/8	1		0	60		35
5	4	0	0	3/4	2	1	1/8	1/8	1		4	64		35
5	4	0	0	3/4	1	2	1/2	1/2	1		0	72		34
5	4	0	0	3/4	1	1	3/16	1/8	3/2		1	79		29
5	4	1/8	1/8	3/4	2	1	1/8	1/8	1		1	55		36
5	4	3/16	3/16	3/4	1	1	1/16	1/16	1		4	76		30
5	4	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60		37
5	4	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64		37
5	4	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79		31
5	4	1/2	1/2	3/4	2	1	3/16	1/8	3/2		0	36		38
5	4	1/2	1/2	3/4	2	1	3/16	1/8	3/2		0	48		38
5	4	1/2	1/2	3/4	1	1	3/16	1/8	3/2		0	60		32
5	4	1/2	1/2	3/4	1	1	3/16	1/8	3/2		4	64		32
5	4	1/2	1/2	3/4	1	1	3/16	1/8	3/2		1	67		32
5	4	1/2	1/2	3/4	1	1	3/16	1/8	3/2		0	72		32
5	4	11/16	11/16	3/4	2	1	1/16	1/16	1		0	36		39
5	4	11/16	11/16	3/4	2	1	1/16	1/16	1		0	48		39
5	4	11/16	11/16	3/4	1	1	1/16	1/16	1		0	60		33
5	4	11/16	11/16	3/4	1	1	1/16	1/16	1		4	64		33
5	4	11/16	11/16	3/4	1	1	1/16	1/16	1		1	67		33
5	4	11/16	11/16	3/4	1	1	1/16	1/16	1		0	72		33
6	5	0	0	3/4	2	1	1/4	1/4	1		0	36		43
6	5	0	0	3/4	2	1	1/4	1/4	1		0	48		43
6	5	0	0	3/4	1	1	1/4	1/4	1		0	60		40
6	5	0	0	3/4	1	1	1/4	1/4	1		4	64		40
6	5	0	0	3/4	1	1	1/4	1/4	1		1	67		40
6	5	0	0	3/4	1	1	1/4	1/4	1		0	72		40
6	5	1/4	1/4	3/4	2	1	1/4	1/4	1		0	48		44
6	5	1/4	1/4	3/4	2	1	1/4	1/4	1		4	52		44
6	5	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55		44
6	5	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60		44
6	5	1/4	1/4	3/4	1	1	1/4	1/4	1		4	64		41
6	5	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67		41
6	5	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72		41
6	5	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76		41
6	5	1/2	1/2	3/4	2	1	1/4	1/4	1		0	48		45
6	5	1/2	1/2	3/4	2	1	1/4	1/4	1		4	52		45
6	5	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55		45
6	5	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60		45
6	5	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67		42
6	5	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72		42
6	5	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76		42
6	5	1/2	1/2	3/4	1	1	1/4	1/4	1		1	79		42
7	6	0	0	3/4	2	1	1/4	1/4	1		3	45		53
7	6	0	0	3/4	2	1	1/4	1/4	1		0	48		53
7	6	0	0	3/4	2	1	1/4	1/4	1		4	52		53
7	6	0	0	3/4	2	1	1/4	1/4	1		3	57		53
7	6	0	0	3/4	1	1	3/8	1/4	3/2		0	72		46
7	6	0	0	3/4	1	1	3/8	1/4	3/2		4	76		46
7	6	0	0	3/4	1	1	3/8	1/4	3/2		3	81		46
7	6	0	0	3/4	1	1	3/8	1/4	3/2		0	84		46
7	6	1/4	1/4	3/4	2	1	1/4	1/4	1		3	33		54
7	6	1/4	1/4	3/4	2	1	1/4	1/4	1		3	45		54
7	6	3/8	3/8	3/4	1	1	1/16	1/16	1		5	83		47
7	6	7/16	7/16	3/4	1	1	1/16	1/16	1		0	84		48
7	6	1/2	1/2	3/4	1	1	1/16	1/16	1		2	86		49
7	6	9/16	9/16	3/4	1	1	1/16	1/16	1		0	84		50
7	6	5/8	5/8	3/4	1	1	1/16	1/16	1		5	83		51
7	6	11/16	11/16	3/4	1	1	1/16	1/16	1		3	81		52
8	7	0	0	3/4	2	1	1/4	1/4	1		2	62		65
8	7	0	0	3/4	2	1	1/4	1/4	1		3	69		65
8	7	0	0	3/4	1	2	1/8	1/8	1		0	72		59
8	7	0	0	3/4	1	1	1/8	1/8	1		1	79		55
8	7	1/8	1/8	3/4	1	2	1/8	1/8	1		2	74		60
8	7	1/8	1/8	3/4	1	1	1/8	1/8	1		6	78		56
8	7	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62		66
8	7	1/4	1/4	3/4	2	1	1/4	1/4	1		3	69		66
8	7	1/4	1/4	3/4	1	2	1/8	1/8	1		0	72		61
8	7	1/4	1/4	3/4	1	1	1/4	1/4	1		6	78		57
8	7	3/8	3/8	3/4	1	2	1/8	1/8	1		2	74		62
8	7	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62		67
8	7	1/2	1/2	3/4	2	1	1/4	1/4	1		3	69		67
8	7	1/2	1/2	3/4	1	2	1/8	1/8	1		0	72		63
8	7	1/2	1/2	3/4	1	1	1/4	1/4	1		6	78		58
8	7	5/8	5/8	3/4	1	2	1/8	1/8	1		2	74		64
9	8	0	0	3/4	2	1	1/4	1/4	1		1	67	1	70
9	8	0	0	3/4	1	2	1/2	1/2	1		5	71	1	69
9	8	0	0	3/4	1	1	1/2	1/2	1		1	79	1	68
9	8	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	1	71
10	8	0	0	3/4	2	1	1/4	1/4	1		1	67	2	76
10	8	0	0	3/4	1	2	1/2	1/2	1		5	71	2	75
10	8	0	0	3/4	1	1	3/8	1/4	3/2		1	79	2	72
10	8	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	2	77
10	8	3/8	3/8	3/4	1	1	1/16	1/16	1		6	78	2	73
10	8	7/16	7/16	3/4	1	1	1/16	1/16	1		1	79	2	74
11	8	0	1/2	3/4	1	1	1/16	1/16	1		3	81		78
11	8	1/16	9/16	3/4	1	1	1/16	1/16	1		1	79		79
11	8	1/8	5/8	3/4	1	1	1/16	1/16	1		-1	77		80
11	8	3/16	11/16	3/4	1	1	1/16	1/16	1		4	76		81
