mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	2	1	1/8		1/8	1		7	61		1
1	0	0	1/2	3/4	1	1	1/4		1/4	1		4	76		0
1	0	1/8	5/8	3/4	2	1	1/8		1/8	1		4	64		2
2	1	0	0	3/4	2	2	3/4		1/2	3/2		4	52		13
2	1	0	0	3/4	2	1	1/8		1/8	1		8	56		7
2	1	0	0	3/4	1	1	3/16		1/8	3/2		5	71		3
2	1	1/8	1/8	3/4	2	1	1/8		1/8	1		4	64		8
2	1	3/16	3/16	3/4	1	1	1/16		1/16	1		5	71		4
2	1	1/4	1/4	3/4	2	1	1/8		1/8	1		8	56		9
2	1	1/4	1/4	3/4	1	1	1/4		1/4	1		5	71		5
2	1	3/8	3/8	3/4	2	1	1/8		1/8	1		4	64		10
2	1	1/2	1/2	3/4	2	1	1/8		1/8	1		3	57		11
2	1	1/2	1/2	3/4	1	1	1/4		1/4	1		7	73		6
2	1	5/8	5/8	3/4	2	1	1/8		1/8	1		4	64		12
3	2	0	0	3/4	2	2	1/4		1/4	1		4	52		26
3	2	0	0	3/4	2	1	1/8		1/8	1		5	59		20
3	2	0	0	3/4	1	2	1/4		1/4	1		8	68		18
3	2	0	0	3/4	1	1	3/16		1/8	3/2		4	76		14
3	2	1/8	1/8	3/4	2	1	1/8		1/8	1		4	64		21
3	2	3/16	3/16	3/4	1	1	1/16		1/16	1		2	74		15
3	2	1/4	1/4	3/4	2	1	1/8		1/8	1		3	57		22
3	2	1/4	1/4	3/4	2	2	1/4		1/4	1		3	57		27
3	2	1/4	1/4	3/4	1	2	1/4		1/4	1		3	69		19
3	2	1/4	1/4	3/4	1	1	1/4		1/4	1		7	73		16
3	2	3/8	3/8	3/4	2	1	1/8		1/8	1		4	64		23
3	2	1/2	1/2	3/4	2	1	1/8		1/8	1		7	61		24
3	2	1/2	1/2	3/4	1	1	1/4		1/4	1		4	76		17
3	2	1/2	1/2	3/4	1	1	1/4		1/4	1		4	88		17
3	2	5/8	5/8	3/4	2	1	1/8		1/8	1		4	64		25
4	3	0	0	3/4	2	2	3/4		1/2	3/2		4	52		38
4	3	0	0	3/4	2	1	1/8		1/8	1		8	56		32
4	3	0	0	3/4	1	1	3/16		1/8	3/2		5	71		28
4	3	0	0	3/4	1	1	3/16		1/8	3/2		5	83		28
4	3	1/8	1/8	3/4	2	1	1/8		1/8	1		4	64		33
4	3	3/16	3/16	3/4	1	1	1/16		1/16	1		5	71		29
4	3	3/16	3/16	3/4	1	1	1/16		1/16	1		5	83		29
4	3	1/4	1/4	3/4	2	1	1/8		1/8	1		8	56		34
4	3	1/4	1/4	3/4	1	1	1/4		1/4	1		5	71		30
4	3	1/4	1/4	3/4	1	1	1/4		1/4	1		5	83		30
4	3	3/8	3/8	3/4	2	1	1/8		1/8	1		4	64		35
4	3	1/2	1/2	3/4	2	1	1/8		1/8	1		3	57		36
4	3	1/2	1/2	3/4	1	1	1/4		1/4	1		7	73		31
4	3	1/2	1/2	3/4	1	1	1/4		1/4	1		7	85		31
4	3	5/8	5/8	3/4	2	1	1/8		1/8	1		4	64		37
5	4	0	0	3/4	2	2	1/4		1/4	1		4	52		49
5	4	0	0	3/4	2	1	1/8		1/8	1		8	56		43
5	4	0	0	3/4	2	1	1/8		1/8	1		5	59		43
5	4	0	0	3/4	1	1	3/16		1/8	3/2		4	76		39
5	4	0	0	3/4	1	1	3/16		1/8	3/2		4	88		39
5	4	1/8	1/8	3/4	2	1	1/8		1/8	1		4	64		44
5	4	3/16	3/16	3/4	1	1	1/16		1/16	1		2	74		40
5	4	3/16	3/16	3/4	1	1	1/16		1/16	1		2	86		40
5	4	1/4	1/4	3/4	2	2	1/2		1/2	1		3	57		50
5	4	1/4	1/4	3/4	2	1	1/8		1/8	1		7	61		45
5	4	1/4	1/4	3/4	1	1	1/4		1/4	1		7	73		41
5	4	1/4	1/4	3/4	1	1	1/4		1/4	1		7	85		41
5	4	3/8	3/8	3/4	2	1	1/8		1/8	1		4	64		46
5	4	1/2	1/2	3/4	2	1	1/8		1/8	1		7	61		47
5	4	1/2	1/2	3/4	1	1	1/4		1/4	1		7	85		42
5	4	5/8	5/8	3/4	2	1	1/8		1/8	1		11	65		48
6	5	0	0	3/4	2	2	3/4		1/2	3/2		3	57		61
