mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	1	1	1/16	1/16	1		7	73		0
1	0	1/16	9/16	3/4	1	1	1/16	1/16	1		2	74		1
1	0	1/8	5/8	3/4	1	1	1/16	1/16	1		6	78		2
1	0	3/16	11/16	3/4	1	1	1/16	1/16	1		2	74		3
2	1	0	0	3/4	2	1	3/16	1/8	3/2		2	50		11
2	1	0	0	3/4	2	1	3/16	1/8	3/2		6	54		11
2	1	0	0	3/4	2	1	3/16	1/8	3/2		2	62		11
2	1	0	0	3/4	1	1	3/8	1/4	3/2		3	69		4
2	1	3/16	3/16	3/4	2	1	1/16	1/16	1		2	50		12
2	1	3/16	3/16	3/4	2	1	1/16	1/16	1		6	54		12
2	1	3/16	3/16	3/4	2	1	1/16	1/16	1		2	62		12
2	1	1/4	1/4	3/4	2	1	1/8	1/8	1		2	50		13
2	1	1/4	1/4	3/4	2	1	1/8	1/8	1		6	54		13
2	1	1/4	1/4	3/4	2	1	1/8	1/8	1		2	62		13
2	1	3/8	3/8	3/4	2	1	1/8	1/8	1		2	50		14
2	1	3/8	3/8	3/4	2	1	1/8	1/8	1		6	54		14
2	1	3/8	3/8	3/4	2	1	1/8	1/8	1		2	62		14
2	1	3/8	3/8	3/4	1	1	1/16	1/16	1		5	71		5
2	1	7/16	7/16	3/4	1	1	1/16	1/16	1		7	73		6
2	1	1/2	1/2	3/4	2	1	1/8	1/8	1		2	50		15
2	1	1/2	1/2	3/4	2	1	1/8	1/8	1		6	54		15
2	1	1/2	1/2	3/4	2	1	1/8	1/8	1		2	62		15
2	1	1/2	1/2	3/4	1	1	1/16	1/16	1		2	74		7
2	1	9/16	9/16	3/4	1	1	1/16	1/16	1		4	76		8
2	1	5/8	5/8	3/4	2	1	1/8	1/8	1		2	50		16
2	1	5/8	5/8	3/4	2	1	1/8	1/8	1		6	54		16
2	1	5/8	5/8	3/4	2	1	1/8	1/8	1		2	62		16
2	1	5/8	5/8	3/4	1	1	1/16	1/16	1		6	78		9
2	1	11/16	11/16	3/4	1	1	1/16	1/16	1		1	79		10
3	2	0	0	3/4	2	1	3/16	1/8	3/2		2	50		23
3	2	0	0	3/4	2	1	3/16	1/8	3/2		6	54		23
3	2	0	0	3/4	2	1	3/16	1/8	3/2		2	62		23
3	2	0	0	3/4	1	1	3/8	1/4	3/2		3	81		17
3	2	3/16	3/16	3/4	2	1	1/16	1/16	1		2	50		24
3	2	3/16	3/16	3/4	2	1	1/16	1/16	1		6	54		24
3	2	3/16	3/16	3/4	2	1	1/16	1/16	1		2	62		24
3	2	1/4	1/4	3/4	2	1	1/8	1/8	1		2	50		25
3	2	1/4	1/4	3/4	2	1	1/8	1/8	1		6	54		25
3	2	1/4	1/4	3/4	2	1	1/8	1/8	1		2	62		25
3	2	3/8	3/8	3/4	2	1	1/8	1/8	1		2	50		26
3	2	3/8	3/8	3/4	2	1	1/8	1/8	1		6	54		26
3	2	3/8	3/8	3/4	2	1	1/8	1/8	1		2	62		26
3	2	3/8	3/8	3/4	1	1	1/16	1/16	1		6	78		18
3	2	7/16	7/16	3/4	1	1	1/16	1/16	1		2	74		19
3	2	1/2	1/2	3/4	2	1	1/8	1/8	1		2	50		27
3	2	1/2	1/2	3/4	2	1	1/8	1/8	1		6	54		27
3	2	1/2	1/2	3/4	2	1	1/8	1/8	1		2	62		27
3	2	1/2	1/2	3/4	1	1	1/8	1/8	1		3	81		20
3	2	5/8	5/8	3/4	2	1	1/8	1/8	1		2	50		28
3	2	5/8	5/8	3/4	2	1	1/8	1/8	1		6	54		28
3	2	5/8	5/8	3/4	2	1	1/8	1/8	1		2	62		28
3	2	5/8	5/8	3/4	1	1	1/16	1/16	1		6	78		21
3	2	11/16	11/16	3/4	1	1	1/16	1/16	1		2	74		22
4	3	0	0	3/4	2	1	3/16	1/8	3/2		3	57		38
4	3	0	0	3/4	2	1	3/16	1/8	3/2		7	61		38
4	3	0	0	3/4	2	1	3/16	1/8	3/2		1	67		38
4	3	0	0	3/4	1	1	1/8	1/8	1		4	76		29
4	3	1/8	1/8	3/4	1	1	1/16	1/16	1		7	73		30
4	3	3/16	3/16	3/4	2	1	1/16	1/16	1		3	57		39
4	3	3/16	3/16	3/4	2	1	1/16	1/16	1		4	64		39
4	3	3/16	3/16	3/4	2	1	1/16	1/16	1		1	67		39
4	3	3/16	3/16	3/4	1	1	1/16	1/16	1		3	69		31
4	3	1/4	1/4	3/4	2	1	1/8	1/8	1		3	57		40
4	3	1/4	1/4	3/4	2	1	1/8	1/8	1		7	61		40
4	3	1/4	1/4	3/4	2	1	1/8	1/8	1		1	67		40
4	3	1/4	1/4	3/4	1	1	1/8	1/8	1		4	76		32
4	3	3/8	3/8	3/4	2	1	1/8	1/8	1		3	57		41
4	3	3/8	3/8	3/4	2	1	1/8	1/8	1		4	64		41
4	3	3/8	3/8	3/4	2	1	1/8	1/8	1		1	67		41
4	3	3/8	3/8	3/4	1	1	1/16	1/16	1		7	73		33
4	3	7/16	7/16	3/4	1	1	1/16	1/16	1		3	69		34
4	3	1/2	1/2	3/4	2	1	1/8	1/8	1		3	57		42
4	3	1/2	1/2	3/4	2	1	1/8	1/8	1		7	61		42
4	3	1/2	1/2	3/4	2	1	1/8	1/8	1		1	67		42
4	3	1/2	1/2	3/4	1	1	1/8	1/8	1		4	76		35
4	3	5/8	5/8	3/4	2	1	1/8	1/8	1		3	57		43
4	3	5/8	5/8	3/4	2	1	1/8	1/8	1		4	64		43
4	3	5/8	5/8	3/4	2	1	1/8	1/8	1		1	67		43
4	3	5/8	5/8	3/4	1	1	1/16	1/16	1		7	73		36
4	3	11/16	11/16	3/4	1	1	1/16	1/16	1		3	69		37
5	4	0	0	3/4	2	1	3/8	1/4	3/2		2	62		49
5	4	0	0	3/4	2	1	3/8	1/4	3/2		6	66		49
5	4	0	0	3/4	1	1	1/16	1/16	1		7	73		44
5	4	1/16	1/16	3/4	1	1	1/16	1/16	1		2	74		45
5	4	1/8	1/8	3/4	1	1	1/16	1/16	1		6	78		46
5	4	3/16	3/16	3/4	1	1	1/16	1/16	1		2	74		47
5	4	1/4	1/4	3/4	1	1	1/4	1/4	1		3	69		48
5	4	3/8	3/8	3/4	2	1	1/8	1/8	1		2	62		50
5	4	3/8	3/8	3/4	2	1	1/8	1/8	1		6	66		50
5	4	1/2	1/2	3/4	2	1	1/8	1/8	1		4	64		51
5	4	1/2	1/2	3/4	2	1	1/8	1/8	1		1	67		51
5	4	5/8	5/8	3/4	2	1	1/8	1/8	1		3	57		52
5	4	5/8	5/8	3/4	2	1	1/8	1/8	1		4	64		52
6	5	0	0	3/4	2	1	3/16	1/8	3/2		2	50		60
6	5	0	0	3/4	2	1	3/16	1/8	3/2		6	54		60
6	5	0	0	3/4	2	1	3/16	1/8	3/2		2	62		60
6	5	0	0	3/4	1	1	3/8	1/4	3/2		3	69		53
6	5	3/16	3/16	3/4	2	1	1/16	1/16	1		2	50		61
6	5	3/16	3/16	3/4	2	1	1/16	1/16	1		6	54		61
6	5	3/16	3/16	3/4	2	1	1/16	1/16	1		2	62		61
6	5	1/4	1/4	3/4	2	1	1/8	1/8	1		2	50		62
6	5	1/4	1/4	3/4	2	1	1/8	1/8	1		6	54		62
6	5	1/4	1/4	3/4	2	1	1/8	1/8	1		2	62		62
6	5	3/8	3/8	3/4	2	1	1/8	1/8	1		2	50		63
6	5	3/8	3/8	3/4	2	1	1/8	1/8	1		6	54		63
6	5	3/8	3/8	3/4	2	1	1/8	1/8	1		2	62		63
6	5	3/8	3/8	3/4	1	1	1/16	1/16	1		5	71		54
6	5	7/16	7/16	3/4	1	1	1/16	1/16	1		7	73		55
6	5	1/2	1/2	3/4	2	1	1/8	1/8	1		2	50		64
6	5	1/2	1/2	3/4	2	1	1/8	1/8	1		6	54		64
6	5	1/2	1/2	3/4	2	1	1/8	1/8	1		2	62		64
6	5	1/2	1/2	3/4	1	1	1/16	1/16	1		2	74		56
6	5	9/16	9/16	3/4	1	1	1/16	1/16	1		4	76		57
6	5	5/8	5/8	3/4	2	1	1/8	1/8	1		2	50		65
6	5	5/8	5/8	3/4	2	1	1/8	1/8	1		6	54		65
6	5	5/8	5/8	3/4	2	1	1/8	1/8	1		2	62		65
6	5	5/8	5/8	3/4	1	1	1/16	1/16	1		6	78		58
6	5	11/16	11/16	3/4	1	1	1/16	1/16	1		1	79		59
7	6	0	0	3/4	2	1	3/16	1/8	3/2		2	50		72
7	6	0	0	3/4	2	1	3/16	1/8	3/2		6	54		72
7	6	0	0	3/4	2	1	3/16	1/8	3/2		2	62		72
7	6	0	0	3/4	1	1	3/8	1/4	3/2		3	81		66
7	6	3/16	3/16	3/4	2	1	1/16	1/16	1		2	50		73
7	6	3/16	3/16	3/4	2	1	1/16	1/16	1		6	54		73
7	6	3/16	3/16	3/4	2	1	1/16	1/16	1		2	62		73
7	6	1/4	1/4	3/4	2	1	1/8	1/8	1		2	50		74
7	6	1/4	1/4	3/4	2	1	1/8	1/8	1		6	54		74
7	6	1/4	1/4	3/4	2	1	1/8	1/8	1		2	62		74
7	6	3/8	3/8	3/4	2	1	1/8	1/8	1		2	50		75
7	6	3/8	3/8	3/4	2	1	1/8	1/8	1		6	54		75
7	6	3/8	3/8	3/4	2	1	1/8	1/8	1		2	62		75
7	6	3/8	3/8	3/4	1	1	1/16	1/16	1		6	78		67
7	6	7/16	7/16	3/4	1	1	1/16	1/16	1		2	74		68
7	6	1/2	1/2	3/4	2	1	1/8	1/8	1		2	50		76
7	6	1/2	1/2	3/4	2	1	1/8	1/8	1		6	54		76
7	6	1/2	1/2	3/4	2	1	1/8	1/8	1		2	62		76
7	6	1/2	1/2	3/4	1	1	1/8	1/8	1		3	81		69
7	6	5/8	5/8	3/4	2	1	1/8	1/8	1		2	50		77
7	6	5/8	5/8	3/4	2	1	1/8	1/8	1		6	54		77
7	6	5/8	5/8	3/4	2	1	1/8	1/8	1		2	62		77
7	6	5/8	5/8	3/4	1	1	1/16	1/16	1		6	78		70
7	6	11/16	11/16	3/4	1	1	1/16	1/16	1		2	74		71
8	7	0	0	3/4	2	1	1/8	1/8	1		3	57		87
8	7	0	0	3/4	2	1	1/8	1/8	1		7	61		87
8	7	0	0	3/4	2	1	1/8	1/8	1		1	67		87
8	7	0	0	3/4	1	1	1/8	1/8	1		4	76		78
8	7	1/8	1/8	3/4	2	1	1/8	1/8	1		3	57		88
8	7	1/8	1/8	3/4	2	1	1/8	1/8	1		4	64		88
8	7	1/8	1/8	3/4	2	1	1/8	1/8	1		1	67		88
8	7	1/8	1/8	3/4	1	1	1/16	1/16	1		7	73		79
