mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	2	1	1/4	1/4	1	1	8	68		2
1	0	0	1/2	3/4	2	1	1/4	1/4	1	1	5	71		2
1	0	0	1/2	3/4	1	1	3/16	1/8	3/2		5	83		0
1	0	3/16	11/16	3/4	1	1	1/16	1/16	1		3	81		1
2	1	0	0	3/4	2	2	3/4	1/2	3/2		5	59		12
2	1	0	0	3/4	2	1	1/4	1/4	1	-1	8	68		9
2	1	0	0	3/4	2	1	1/4	1/4	1	-1	5	71		9
2	1	0	0	3/4	1	1	1/8	1/8	1		8	80		3
2	1	1/8	1/8	3/4	1	1	1/8	1/8	1		5	83		4
2	1	1/4	1/4	3/4	2	1	1/4	1/4	1		6	66		10
2	1	1/4	1/4	3/4	2	1	1/4	1/4	1		3	69		10
2	1	1/4	1/4	3/4	1	1	1/8	1/8	1		3	81		5
2	1	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78		6
2	1	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64		11
2	1	1/2	1/2	3/4	2	1	1/4	1/4	1		8	68		11
2	1	1/2	1/2	3/4	1	1	1/8	1/8	1		4	76		7
2	1	5/8	5/8	3/4	1	1	1/8	1/8	1		10	70		8
2	1	5/8	5/8	3/4	1	1	1/8	1/8	1		8	80		8
3	2	0	0	3/4	2	2	3/8	1/4	3/2		5	59		21
3	2	0	0	3/4	2	1	1/4	1/4	1		4	64		18
3	2	0	0	3/4	2	1	1/4	1/4	1		8	68		18
3	2	0	0	3/4	1	2	3/8	1/4	3/2		5	71		17
3	2	0	0	3/4	1	1	1/4	1/4	1		8	80		13
3	2	1/4	1/4	3/4	2	1	1/8	1/8	1		9	63		19
3	2	1/4	1/4	3/4	2	1	1/8	1/8	1		6	66		19
3	2	1/4	1/4	3/4	1	1	1/8	1/8	1		6	78		14
3	2	1/2	1/2	3/4	2	1	1/4	1/4	1	1	7	73		20
3	2	1/2	1/2	3/4	2	1	1/4	1/4	1	1	4	76		20
3	2	1/2	1/2	3/4	1	1	3/16	1/8	3/2		4	88		15
3	2	11/16	11/16	3/4	1	1	1/16	1/16	1		9	87		16
4	3	0	0	3/4	2	2	3/4	1/2	3/2		4	64		31
4	3	0	0	3/4	2	1	1/4	1/4	1	-1	7	73		28
4	3	0	0	3/4	2	1	1/4	1/4	1	-1	4	76		28
4	3	0	0	3/4	1	1	1/8	1/8	1		7	85		22
4	3	1/8	1/8	3/4	1	1	1/8	1/8	1		4	88		23
4	3	1/4	1/4	3/4	2	1	1/4	1/4	1		5	71		29
4	3	1/4	1/4	3/4	2	1	1/4	1/4	1		9	75		29
4	3	1/4	1/4	3/4	1	1	1/8	1/8	1		9	87		24
4	3	3/8	3/8	3/4	1	1	1/8	1/8	1		5	83		25
4	3	1/2	1/2	3/4	2	1	1/4	1/4	1		3	69		30
4	3	1/2	1/2	3/4	2	1	1/4	1/4	1		7	73		30
4	3	1/2	1/2	3/4	1	1	1/8	1/8	1		3	81		26
4	3	5/8	5/8	3/4	1	1	1/8	1/8	1		9	75		27
4	3	5/8	5/8	3/4	1	1	1/8	1/8	1		7	85		27
5	4	0	0	3/4	2	2	3/8	1/4	3/2		4	64		40
5	4	0	0	3/4	2	1	1/4	1/4	1		3	69		37
5	4	0	0	3/4	2	1	1/4	1/4	1		7	73		37
5	4	0	0	3/4	1	2	3/8	1/4	3/2		4	76		36
5	4	0	0	3/4	1	1	1/4	1/4	1		7	85		32
5	4	1/4	1/4	3/4	2	1	1/8	1/8	1		8	68		38
5	4	1/4	1/4	3/4	2	1	1/8	1/8	1		5	71		38
5	4	1/4	1/4	3/4	1	1	1/8	1/8	1		5	83		33
5	4	1/2	1/2	3/4	2	1	1/4	1/4	1		8	68		39
5	4	1/2	1/2	3/4	1	1	3/16	1/8	3/2		5	83		34
5	4	11/16	11/16	3/4	1	1	1/16	1/16	1		12	84		35
6	5	0	0	3/4	2	1	1/8	1/8	1		5	59		47
6	5	0	0	3/4	2	1	1/8	1/8	1		3	69		47
6	5	0	0	3/4	1	1	1/8	1/8	1		7	85		41
6	5	1/8	1/8	3/4	2	1	1/8	1/8	1		6	66		48
6	5	1/8	1/8	3/4	1	1	1/8	1/8	1		3	81		42
6	5	1/4	1/4	3/4	2	1	1/8	1/8	1		9	63		49
6	5	1/4	1/4	3/4	1	1	1/8	1/8	1		6	78		43
6	5	3/8	3/8	3/4	2	1	1/8	1/8	1		5	59		50
6	5	3/8	3/8	3/4	2	1	1/8	1/8	1		3	69		50
6	5	3/8	3/8	3/4	1	1	1/8	1/8	1		9	75		44
6	5	3/8	3/8	3/4	1	1	1/8	1/8	1		9	87		44
6	5	1/2	1/2	3/4	2	1	1/8	1/8	1		4	64		51
6	5	1/2	1/2	3/4	2	1	1/8	1/8	1		8	68		51
6	5	1/2	1/2	3/4	1	1	1/8	1/8	1		4	76		45
6	5	1/2	1/2	3/4	1	1	1/8	1/8	1		4	88		45
6	5	5/8	5/8	3/4	1	1	1/8	1/8	1		5	83		46
7	6	0	0	3/4	2	1	1/8	1/8	1		5	59		58
7	6	0	0	3/4	2	1	1/8	1/8	1		3	69		58
7	6	0	0	3/4	1	1	1/8	1/8	1		7	85		52
7	6	1/8	1/8	3/4	2	1	1/8	1/8	1		6	66		59
7	6	1/8	1/8	3/4	1	1	1/8	1/8	1		3	81		53
7	6	1/4	1/4	3/4	2	1	1/8	1/8	1		9	63		60
7	6	1/4	1/4	3/4	1	1	1/8	1/8	1		6	78		54
7	6	3/8	3/8	3/4	2	1	1/8	1/8	1		5	59		61
7	6	3/8	3/8	3/4	2	1	1/8	1/8	1		3	69		61
7	6	3/8	3/8	3/4	1	1	1/8	1/8	1		9	75		55
7	6	3/8	3/8	3/4	1	1	1/8	1/8	1		9	87		55
7	6	1/2	1/2	3/4	2	1	1/8	1/8	1		4	64		62
7	6	1/2	1/2	3/4	2	1	1/8	1/8	1		8	68		62
7	6	1/2	1/2	3/4	1	1	1/8	1/8	1		4	76		56
7	6	1/2	1/2	3/4	1	1	1/8	1/8	1		4	88		56
7	6	5/8	5/8	3/4	1	1	1/8	1/8	1		5	83		57
8	7	0	0	3/4	2	2	1/2	1/2	1		6	54		75
8	7	0	0	3/4	2	1	1/8	1/8	1		9	63		69
8	7	0	0	3/4	1	1	1/8	1/8	1		5	83		63
8	7	1/8	1/8	3/4	2	1	1/8	1/8	1		6	66		70
8	7	1/8	1/8	3/4	1	1	1/8	1/8	1		10	82		64
8	7	1/4	1/4	3/4	2	1	1/8	1/8	1		4	64		71
8	7	1/4	1/4	3/4	1	1	1/8	1/8	1		8	80		65
8	7	3/8	3/8	3/4	2	1	1/8	1/8	1		9	63		72
8	7	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78		66
8	7	1/2	1/2	3/4	2	2	1/4	1/4	1		6	54		76
8	7	1/2	1/2	3/4	2	1	1/8	1/8	1		4	64		73
8	7	1/2	1/2	3/4	1	1	1/8	1/8	1		8	80		67
8	7	5/8	5/8	3/4	2	1	1/8	1/8	1		6	66		74
8	7	5/8	5/8	3/4	1	1	1/8	1/8	1		10	70		68
9	8	0	0	3/4	2	2	1/4	1/4	1	1	5	59		84
9	8	0	0	3/4	2	1	1/4	1/4	1		4	64		81
9	8	0	0	3/4	1	1	1/4	1/4	1		7	73		77
9	8	1/4	1/4	3/4	2	2	1/8	1/8	1	-1	5	59		85
9	8	1/4	1/4	3/4	2	1	1/8	1/8	1		9	63		82
9	8	1/4	1/4	3/4	1	1	1/8	1/8	1		5	71		78
9	8	1/2	1/2	3/4	2	1	1/4	1/4	1	1	8	68		83
9	8	1/2	1/2	3/4	2	1	1/4	1/4	1	1	5	71		83
9	8	1/2	1/2	3/4	1	1	3/16	1/8	3/2		5	83		79
9	8	11/16	11/16	3/4	1	1	1/16	1/16	1		3	81		80
10	9	0	0	3/4	2	2	3/4	1/2	3/2		5	59		95
10	9	0	0	3/4	2	1	1/4	1/4	1	-1	8	68		92
10	9	0	0	3/4	2	1	1/4	1/4	1	-1	5	71		92
10	9	0	0	3/4	1	1	1/8	1/8	1		8	80		86
10	9	1/8	1/8	3/4	1	1	1/8	1/8	1		5	83		87
10	9	1/4	1/4	3/4	2	1	1/4	1/4	1		6	66		93
10	9	1/4	1/4	3/4	2	1	1/4	1/4	1		3	69		93
10	9	1/4	1/4	3/4	1	1	1/8	1/8	1		3	81		88
10	9	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78		89
10	9	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64		94
10	9	1/2	1/2	3/4	2	1	1/4	1/4	1		8	68		94
10	9	1/2	1/2	3/4	1	1	1/8	1/8	1		4	76		90
10	9	5/8	5/8	3/4	1	1	1/8	1/8	1		10	70		91
10	9	5/8	5/8	3/4	1	1	1/8	1/8	1		8	80		91
11	10	0	0	3/4	2	2	3/8	1/4	3/2		5	59		104
11	10	0	0	3/4	2	1	1/4	1/4	1		4	64		101
11	10	0	0	3/4	2	1	1/4	1/4	1		8	68		101
11	10	0	0	3/4	1	2	3/8	1/4	3/2		5	71		100
11	10	0	0	3/4	1	1	1/4	1/4	1		8	80		96
11	10	1/4	1/4	3/4	2	1	1/8	1/8	1		9	63		102
11	10	1/4	1/4	3/4	2	1	1/8	1/8	1		6	66		102
11	10	1/4	1/4	3/4	1	1	1/8	1/8	1		6	78		97
11	10	1/2	1/2	3/4	2	1	1/4	1/4	1	1	7	73		103
11	10	1/2	1/2	3/4	2	1	1/4	1/4	1	1	4	76		103
11	10	1/2	1/2	3/4	1	1	3/16	1/8	3/2		4	88		98
11	10	11/16	11/16	3/4	1	1	1/16	1/16	1		9	87		99
12	11	0	0	3/4	2	2	3/4	1/2	3/2		4	64		114
12	11	0	0	3/4	2	1	1/4	1/4	1	-1	7	73		111
12	11	0	0	3/4	2	1	1/4	1/4	1	-1	4	76		111
12	11	0	0	3/4	1	1	1/8	1/8	1		7	85		105
12	11	1/8	1/8	3/4	1	1	1/8	1/8	1		4	88		106
12	11	1/4	1/4	3/4	2	1	1/4	1/4	1		5	71		112
12	11	1/4	1/4	3/4	2	1	1/4	1/4	1		9	75		112
12	11	1/4	1/4	3/4	1	1	1/8	1/8	1		9	87		107
12	11	3/8	3/8	3/4	1	1	1/8	1/8	1		5	83		108
12	11	1/2	1/2	3/4	2	1	1/4	1/4	1		3	69		113
12	11	1/2	1/2	3/4	2	1	1/4	1/4	1		7	73		113
12	11	1/2	1/2	3/4	1	1	1/8	1/8	1		3	81		109
12	11	5/8	5/8	3/4	1	1	1/8	1/8	1		9	75		110
12	11	5/8	5/8	3/4	1	1	1/8	1/8	1		7	85		110
13	12	0	0	3/4	2	2	3/8	1/4	3/2		4	64		123
13	12	0	0	3/4	2	1	1/4	1/4	1		3	69		120
13	12	0	0	3/4	2	1	1/4	1/4	1		7	73		120
13	12	0	0	3/4	1	2	3/8	1/4	3/2		4	76		119
13	12	0	0	3/4	1	1	1/4	1/4	1		7	85		115
13	12	1/4	1/4	3/4	2	1	1/8	1/8	1		8	68		121
13	12	1/4	1/4	3/4	2	1	1/8	1/8	1		5	71		121
13	12	1/4	1/4	3/4	1	1	1/8	1/8	1		5	83		116
13	12	1/2	1/2	3/4	2	1	1/4	1/4	1		8	68		122
13	12	1/2	1/2	3/4	1	1	3/16	1/8	3/2		5	83		117
13	12	11/16	11/16	3/4	1	1	1/16	1/16	1		12	84		118
14	13	0	0	3/4	2	1	1/8	1/8	1		5	59		130
14	13	0	0	3/4	2	1	1/8	1/8	1		3	69		130
14	13	0	0	3/4	1	1	1/8	1/8	1		7	85		124
14	13	1/8	1/8	3/4	2	1	1/8	1/8	1		6	66		131
14	13	1/8	1/8	3/4	1	1	1/8	1/8	1		3	81		125
14	13	1/4	1/4	3/4	2	1	1/8	1/8	1		9	63		132
14	13	1/4	1/4	3/4	1	1	1/8	1/8	1		6	78		126
14	13	3/8	3/8	3/4	2	1	1/8	1/8	1		5	59		133
14	13	3/8	3/8	3/4	2	1	1/8	1/8	1		3	69		133
14	13	3/8	3/8	3/4	1	1	1/8	1/8	1		9	75		127
14	13	3/8	3/8	3/4	1	1	1/8	1/8	1		9	87		127
14	13	1/2	1/2	3/4	2	1	1/8	1/8	1		4	64		134
14	13	1/2	1/2	3/4	2	1	1/8	1/8	1		8	68		134
14	13	1/2	1/2	3/4	1	1	1/8	1/8	1		4	76		128
14	13	1/2	1/2	3/4	1	1	1/8	1/8	1		4	88		128
14	13	5/8	5/8	3/4	1	1	1/8	1/8	1		5	83		129
15	14	0	0	3/4	2	1	1/8	1/8	1		5	59		141
15	14	0	0	3/4	2	1	1/8	1/8	1		3	69		141
15	14	0	0	3/4	1	1	1/8	1/8	1		7	85		135
15	14	1/8	1/8	3/4	2	1	1/8	1/8	1		6	66		142
15	14	1/8	1/8	3/4	1	1	1/8	1/8	1		3	81		136
15	14	1/4	1/4	3/4	2	1	1/8	1/8	1		9	63		143
15	14	1/4	1/4	3/4	1	1	1/8	1/8	1		6	78		137
15	14	3/8	3/8	3/4	2	1	1/8	1/8	1		5	59		144
15	14	3/8	3/8	3/4	2	1	1/8	1/8	1		3	69		144
15	14	3/8	3/8	3/4	1	1	1/8	1/8	1		9	75		138
15	14	3/8	3/8	3/4	1	1	1/8	1/8	1		9	87		138
15	14	1/2	1/2	3/4	2	1	1/8	1/8	1		4	64		145
15	14	1/2	1/2	3/4	2	1	1/8	1/8	1		8	68		145
15	14	1/2	1/2	3/4	1	1	1/8	1/8	1		4	76		139
15	14	1/2	1/2	3/4	1	1	1/8	1/8	1		4	88		139
15	14	5/8	5/8	3/4	1	1	1/8	1/8	1		5	83		140
16	15	0	0	3/4	2	2	1/2	1/2	1		6	54		158
16	15	0	0	3/4	2	1	1/8	1/8	1		9	63		152
16	15	0	0	3/4	1	1	1/8	1/8	1		5	83		146
16	15	1/8	1/8	3/4	2	1	1/8	1/8	1		6	66		153
16	15	1/8	1/8	3/4	1	1	1/8	1/8	1		10	82		147
16	15	1/4	1/4	3/4	2	1	1/8	1/8	1		4	64		154
16	15	1/4	1/4	3/4	1	1	1/8	1/8	1		8	80		148
16	15	3/8	3/8	3/4	2	1	1/8	1/8	1		9	63		155
16	15	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78		149
16	15	1/2	1/2	3/4	2	2	1/4	1/4	1		6	54		159
16	15	1/2	1/2	3/4	2	1	1/8	1/8	1		4	64		156
16	15	1/2	1/2	3/4	1	1	1/8	1/8	1		8	80		150
16	15	5/8	5/8	3/4	2	1	1/8	1/8	1		6	66		157
16	15	5/8	5/8	3/4	1	1	1/8	1/8	1		10	70		151
17	16	0	0	3/4	2	2	1/4	1/4	1	1	5	59		167
17	16	0	0	3/4	2	1	1/4	1/4	1		4	64		164
17	16	0	0	3/4	1	1	1/4	1/4	1		7	73		160
17	16	1/4	1/4	3/4	2	2	1/8	1/8	1	-1	5	59		168
17	16	1/4	1/4	3/4	2	1	1/8	1/8	1		9	63		165
17	16	1/4	1/4	3/4	1	1	1/8	1/8	1		5	71		161
17	16	1/2	1/2	3/4	2	2	1/4	1/4	1		8	68		169
17	16	1/2	1/2	3/4	2	1	1/4	1/4	1	1	5	71		166
17	16	1/2	1/2	3/4	1	1	3/16	1/8	3/2		5	83		162
17	16	11/16	11/16	3/4	1	1	1/16	1/16	1		7	85		163
18	17	0	0	3/4	2	2	1/4	1/4	1		6	66		177
18	17	0	0	3/4	2	2	1/4	1/4	1		3	69		177
18	17	0	0	3/4	2	1	3/4	1/2	3/2	-1	5	71		176
18	17	0	0	3/4	1	1	1/8	1/8	1		5	83		170
18	17	1/8	1/8	3/4	1	1	1/8	1/8	1		3	81		171
18	17	1/4	1/4	3/4	2	2	1/4	1/4	1		4	64		178
18	17	1/4	1/4	3/4	2	2	1/4	1/4	1		8	68		178
18	17	1/4	1/4	3/4	1	1	1/8	1/8	1		8	80		172
18	17	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78		173
18	17	1/2	1/2	3/4	2	2	1/4	1/4	1		7	61		179
18	17	1/2	1/2	3/4	2	2	1/4	1/4	1		4	64		179
18	17	1/2	1/2	3/4	1	1	3/16	1/8	3/2		8	80		174
18	17	11/16	11/16	3/4	1	1	1/16	1/16	1		3	81		175
19	18	0	0	3/4	2	1	1/2	1/2	1		5	59		184
19	18	0	0	3/4	2	2	1/4	1/4	1		4	64		186
19	18	0	0	3/4	2	1	1/2	1/2	1		5	71		184
19	18	0	0	3/4	1	1	1/4	1/4	1		8	80		180
19	18	1/4	1/4	3/4	2	2	1/4	1/4	1		9	63		187
19	18	1/4	1/4	3/4	1	1	1/4	1/4	1		6	78		181
19	18	1/2	1/2	3/4	2	2	1/4	1/4	1		8	68		188
19	18	1/2	1/2	3/4	2	1	1/4	1/4	1	1	5	71		185
19	18	1/2	1/2	3/4	1	1	3/16	1/8	3/2		5	83		182
19	18	11/16	11/16	3/4	1	1	1/16	1/16	1		7	85		183
20	19	0	0	3/4	2	2	1/4	1/4	1		6	66		196
20	19	0	0	3/4	2	2	1/4	1/4	1		3	69		196
20	19	0	0	3/4	2	1	3/4	1/2	3/2	-1	5	71		195
20	19	0	0	3/4	1	1	1/8	1/8	1		5	83		189
20	19	1/8	1/8	3/4	1	1	1/8	1/8	1		3	81		190
20	19	1/8	1/8	3/4	1	1	1/8	1/8	1		9	87		190
20	19	1/4	1/4	3/4	2	2	1/4	1/4	1		4	64		197
20	19	1/4	1/4	3/4	2	2	1/4	1/4	1		8	68		197
20	19	1/4	1/4	3/4	1	1	1/8	1/8	1		8	80		191
20	19	1/4	1/4	3/4	1	1	1/8	1/8	1		4	88		191
20	19	3/8	3/8	3/4	1	1	1/8	1/8	1		6	78		192
20	19	1/2	1/2	3/4	2	2	1/4	1/4	1		7	61		198
