mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	2	1	1/4		1/4	1.0		1	55		1
1	0	0	1/2	3/4	2	1	1/4		1/4	1.0		2	62		1
1	0	0	1/2	3/4	1	1	1/4		1/4	1.0		5	71		0
1	0	0	1/2	3/4	1	1	1/4		1/4	1.0		1	79		0
2	1	0	0	3/4	1	1	0	grace16	1/16	1.0		1	79		2
2	1	0	0	3/4	2	1	1/4		1/4	1.0		2	50		6
2	1	0	0	3/4	1	1	1/4		1/4	1.0		0	72		3
2	1	0	0	3/4	1	1	1/4		1/4	1.0		6	78		3
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1.0		2	62		7
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1.0		3	69		7
2	1	1/4	1/4	3/4	1	1	1/4		1/4	1.0		0	72		4
2	1	1/4	1/4	3/4	1	1	1/4		1/4	1.0		4	76		4
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1.0		2	62		8
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1.0		3	69		8
2	1	1/2	1/2	3/4	1	1	1/4		1/4	1.0		0	72		5
2	1	1/2	1/2	3/4	1	1	1/4		1/4	1.0		6	78		5
3	2	0	0	3/4	2	1	1/4		1/4	1.0		1	55		12
3	2	0	0	3/4	1	1	1/4		1/4	1.0		5	71		9
3	2	0	0	3/4	1	1	1/4		1/4	1.0		1	79		9
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1.0		2	62		13
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1.0		1	67		13
3	2	1/4	1/4	3/4	1	1	1/4		1/4	1.0		0	72		10
3	2	1/4	1/4	3/4	1	1	1/4		1/4	1.0		4	76		10
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1.0		2	62		14
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1.0		1	67		14
3	2	1/2	1/2	3/4	1	1	1/4		1/4	1.0		5	71		11
3	2	1/2	1/2	3/4	1	1	1/4		1/4	1.0		2	74		11
4	3	0	0	3/4	2	1	1/4		1/4	1.0		1	55		18
4	3	0	0	3/4	1	1	1/4		1/4	1.0		0	72		15
4	3	0	0	3/4	1	1	1/4		1/4	1.0		4	76		15
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1.0		2	62		19
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1.0		6	66		19
4	3	1/4	1/4	3/4	1	1	1/4		1/4	1.0		0	72		16
4	3	1/4	1/4	3/4	1	1	1/4		1/4	1.0		2	74		16
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1.0	1	2	62		20
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1.0		6	66		20
4	3	1/2	1/2	3/4	1	1	1/4		1/4	1.0		0	72		17
4	3	1/2	1/2	3/4	1	1	1/4		1/4	1.0		4	76		17
4	3	1/2	1/2	3/4	1	1	1/4		1/4	1.0		0	84		17
5	4	0	0	3/4	2	1	1/4		1/4	1.0		1	55		24
5	4	0	0	3/4	2	1	1/4		1/4	1.0	-1	2	62		24
5	4	0	0	3/4	2	1	1/4		1/4	1.0		1	67		24
5	4	0	0	3/4	1	1	1/4		1/4	1.0		5	71		21
5	4	0	0	3/4	1	1	1/4		1/4	1.0		2	74		21
5	4	0	0	3/4	1	1	1/4		1/4	1.0		5	83		21
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1.0		0	60		25
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1.0		1	67		25
5	4	1/4	1/4	3/4	1	1	1/4		1/4	1.0		0	72		22
5	4	1/4	1/4	3/4	1	1	1/4		1/4	1.0		4	76		22
5	4	1/4	1/4	3/4	1	1	1/4		1/4	1.0		1	79		22
5	4	1/2	1/2	3/4	2	1	1/4		1/4	1.0		1	55		26
5	4	1/2	1/2	3/4	2	1	1/4		1/4	1.0		1	67		26
5	4	1/2	1/2	3/4	1	1	1/4		1/4	1.0		5	71		23
5	4	1/2	1/2	3/4	1	1	1/4		1/4	1.0		2	74		23
5	4	1/2	1/2	3/4	1	1	1/4		1/4	1.0		1	79		23
6	5	0	0	3/4	1	1	0	grace16	1/16	1.0		1	79		27
6	5	0	0	3/4	2	1	1/4		1/4	1.0		2	50		31
6	5	0	0	3/4	1	1	1/4		1/4	1.0		0	72		28
6	5	0	0	3/4	1	1	1/4		1/4	1.0		6	78		28
6	5	1/4	1/4	3/4	2	1	1/4		1/4	1.0		2	62		32
6	5	1/4	1/4	3/4	2	1	1/4		1/4	1.0		3	69		32
6	5	1/4	1/4	3/4	1	1	1/4		1/4	1.0		0	72		29
6	5	1/4	1/4	3/4	1	1	1/4		1/4	1.0		4	76		29
6	5	1/2	1/2	3/4	2	1	1/4		1/4	1.0		2	62		33
6	5	1/2	1/2	3/4	2	1	1/4		1/4	1.0		3	69		33
6	5	1/2	1/2	3/4	1	1	1/4		1/4	1.0		0	72		30
6	5	1/2	1/2	3/4	1	1	1/4		1/4	1.0		6	78		30
7	6	0	0	3/4	2	1	1/4		1/4	1.0		1	55		37
7	6	0	0	3/4	1	1	1/4		1/4	1.0		5	71		34
7	6	0	0	3/4	1	1	1/4		1/4	1.0		1	79		34
7	6	1/4	1/4	3/4	2	1	1/4		1/4	1.0		2	62		38
7	6	1/4	1/4	3/4	2	1	1/4		1/4	1.0		1	67		38
7	6	1/4	1/4	3/4	1	1	1/4		1/4	1.0		0	72		35
7	6	1/4	1/4	3/4	1	1	1/4		1/4	1.0		4	76		35
7	6	1/2	1/2	3/4	2	1	1/4		1/4	1.0		2	62		39
7	6	1/2	1/2	3/4	2	1	1/4		1/4	1.0		1	67		39
7	6	1/2	1/2	3/4	1	1	1/4		1/4	1.0		5	71		36
7	6	1/2	1/2	3/4	1	1	1/4		1/4	1.0		2	74		36
8	7	0	0	3/4	2	1	1/4		1/4	1.0		2	50		43
8	7	0	0	3/4	1	1	1/4		1/4	1.0		0	72		40
8	7	0	0	3/4	1	1	1/4		1/4	1.0		4	76		40
8	7	1/4	1/4	3/4	2	1	1/4		1/4	1.0		2	62		44
8	7	1/4	1/4	3/4	2	1	1/4		1/4	1.0		6	66		44
8	7	1/4	1/4	3/4	1	1	1/4		1/4	1.0		0	72		41
8	7	1/4	1/4	3/4	1	1	1/4		1/4	1.0		2	74		41
8	7	1/2	1/2	3/4	2	1	1/4		1/4	1.0		2	62		45
8	7	1/2	1/2	3/4	2	1	1/4		1/4	1.0		3	69		45
8	7	1/2	1/2	3/4	1	1	1/4		1/4	1.0		0	72		42
8	7	1/2	1/2	3/4	1	1	1/4		1/4	1.0		6	78		42
9	8	0	0	3/4	2	1	1/2		1/2	1.0		1	55		47
9	8	0	0	3/4	2	1	1/2		1/2	1.0		2	62		47
9	8	0	0	3/4	2	1	1/2		1/2	1.0		1	67		47
9	8	0	0	3/4	1	1	1/2		1/2	1.0		5	71		46
9	8	0	0	3/4	1	1	1/2		1/2	1.0		1	79		46
10	8	0	1/2	3/4	1	1	1/4		1/4	1.0		5	71		48
10	8	0	1/2	3/4	1	1	1/4		1/4	1.0		1	79		48
11	9	0	0	3/4	1	1	0	grace16	1/16	1.0		2	74		49
11	9	0	0	3/4	2	1	1/4		1/4	1.0		3	45		53
11	9	0	0	3/4	2	1	1/4		1/4	1.0		3	57		53
11	9	0	0	3/4	1	1	1/4		1/4	1.0		7	73		50
11	9	0	0	3/4	1	1	1/4		1/4	1.0		1	79		50
11	9	1/4	1/4	3/4	2	1	1/4		1/4	1.0		3	57		54
11	9	1/4	1/4	3/4	1	1	1/4		1/4	1.0		5	71		51
11	9	1/4	1/4	3/4	1	1	1/4		1/4	1.0		1	79		51
11	9	1/2	1/2	3/4	2	1	1/4		1/4	1.0		3	57		55
11	9	1/2	1/2	3/4	1	1	1/4		1/4	1.0		7	73		52
11	9	1/2	1/2	3/4	1	1	1/4		1/4	1.0		1	79		52
12	10	0	0	3/4	2	1	1/4		1/4	1.0		2	50		59
12	10	0	0	3/4	2	1	1/4		1/4	1.0		3	57		59
12	10	0	0	3/4	1	1	1/4		1/4	1.0		2	74		56
12	10	0	0	3/4	1	1	1/4		1/4	1.0		6	78		56
12	10	1/4	1/4	3/4	2	1	1/4		1/4	1.0		3	57		60
12	10	1/4	1/4	3/4	1	1	1/4		1/4	1.0		1	67		57
12	10	1/4	1/4	3/4	1	1	1/4		1/4	1.0		5	71		57
12	10	1/4	1/4	3/4	1	1	1/4		1/4	1.0		2	74		57
12	10	1/2	1/2	3/4	2	1	1/4		1/4	1.0		3	57		61
12	10	1/2	1/2	3/4	1	1	1/4		1/4	1.0		6	66		58
12	10	1/2	1/2	3/4	1	1	1/4		1/4	1.0		3	69		58
12	10	1/2	1/2	3/4	1	1	1/4		1/4	1.0		2	74		58
13	11	0	0	3/4	2	1	1/4		1/4	1.0		3	45		65
