mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	7/16	2/4	1	1	1/16		1/16	1		2	74		0
2	1	0	0	2/4	2	1	1/8		1/8	1		1	55		6
2	1	0	0	2/4	1	1	1/8		1/8	1		2	74		1
2	1	1/8	1/8	2/4	2	1	1/8		1/8	1		2	62		7
2	1	1/8	1/8	2/4	2	1	1/8		1/8	1		1	67		7
2	1	1/8	1/8	2/4	2	1	1/8		1/8	1		5	71		7
2	1	1/8	1/8	2/4	1	1	1/8		1/8	1		5	83		2
2	1	1/4	1/4	2/4	2	1	1/4		1/4	1		2	62		8
2	1	1/4	1/4	2/4	2	1	1/4		1/4	1		1	67		8
2	1	1/4	1/4	2/4	2	1	1/4		1/4	1		5	71		8
2	1	1/4	1/4	2/4	1	1	1/8		1/8	1		1	79		3
2	1	3/8	3/8	2/4	1	1	1/16		1/16	1		6	78		4
2	1	7/16	7/16	2/4	1	1	1/16		1/16	1		4	76		5
3	2	0	0	2/4	2	1	1/8		1/8	1		2	50		13
3	2	0	0	2/4	1	1	1/8		1/8	1		2	74		9
3	2	1/8	1/8	2/4	2	1	1/8		1/8	1		2	62		14
3	2	1/8	1/8	2/4	2	1	1/8		1/8	1		6	66		14
3	2	1/8	1/8	2/4	2	1	1/8		1/8	1		0	72		14
3	2	1/8	1/8	2/4	1	1	1/8		1/8	1		0	84		10
3	2	1/4	1/4	2/4	2	1	1/4		1/4	1		2	62		15
3	2	1/4	1/4	2/4	2	1	1/4		1/4	1		6	66		15
3	2	1/4	1/4	2/4	2	1	1/4		1/4	1		0	72		15
3	2	1/4	1/4	2/4	1	1	3/16		1/8	3/2		6	78		11
3	2	7/16	7/16	2/4	1	1	1/16		1/16	1		2	74		12
4	3	0	0	2/4	2	1	1/8		1/8	1		2	50		20
4	3	0	0	2/4	1	1	1/8		1/8	1		2	74		16
4	3	1/8	1/8	2/4	2	1	1/8		1/8	1		2	62		21
