mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	1	1	0	grace32	1/32	1		0	72		0
1	0	0	1/2	3/4	1	1	0	grace32	1/32	1		2	74		1
1	0	0	1/2	3/4	1	1	1/4		1/4	1		0	72		2
2	1	0	0	3/4	2	1	1/4		1/4	1		3	45		6
2	1	0	0	3/4	1	1	1/4		1/4	1		3	69		3
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52		7
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57		7
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60		7
2	1	1/4	1/4	3/4	1	1	1/4		1/4	1		4	76		4
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52		8
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57		8
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		8
2	1	1/2	1/2	3/4	1	1	1/4		1/4	1		9	75		5
3	2	0	0	3/4	2	1	1/4		1/4	1		0	48		13
3	2	0	0	3/4	1	1	1/2		1/2	1		4	76		9
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52		14
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57		14
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60		14
3	2	1/2	1/2	3/4	1	1	0	grace32	1/32	1		3	69		10
3	2	1/2	1/2	3/4	1	1	0	grace32	1/32	1		5	71		11
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52		15
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57		15
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		15
3	2	1/2	1/2	3/4	1	1	1/4		1/4	1		3	69		12
4	3	0	0	3/4	2	1	1/4		1/4	1		5	47		19
4	3	0	0	3/4	1	1	1/4		1/4	1		8	68		16
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52		20
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1		8	56		20
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62		20
4	3	1/4	1/4	3/4	1	1	1/4		1/4	1		4	76		17
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52		21
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		8	56		21
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62		21
