mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/2	3/4	1	1	1/4	1/4	1.0		1	79		0
2	1	0	0	3/4	2	2	1/4	1/4	1.0		5	59		9
2	1	0	0	3/4	2	2	1/4	1/4	1.0		9	63		9
2	1	0	0	3/4	2	2	1/4	1/4	1.0		6	66		9
2	1	0	0	3/4	2	2	1/4	1/4	1.0		3	69		9
2	1	0	0	3/4	2	1	1/2	1/2	1.0		5	71		7
2	1	0	0	3/4	1	1	1/8	1/8	1.0		6	78		1
2	1	1/8	1/8	3/4	1	1	1/8	1/8	1.0		3	81		2
2	1	1/4	1/4	3/4	2	2	1/4	1/4	1.0		4	64		10
2	1	1/4	1/4	3/4	2	2	1/4	1/4	1.0		1	67		10
2	1	1/4	1/4	3/4	1	1	1/8	1/8	1.0		1	79		3
2	1	3/8	3/8	3/4	1	1	1/8	1/8	1.0		4	76		4
2	1	1/2	1/2	3/4	2	2	1/4	1/4	1.0		5	59		11
2	1	1/2	1/2	3/4	2	2	1/4	1/4	1.0		6	66		11
2	1	1/2	1/2	3/4	2	2	1/4	1/4	1.0		3	69		11
2	1	1/2	1/2	3/4	2	1	1/4	1/4	1.0		5	71		8
2	1	1/2	1/2	3/4	1	1	1/8	1/8	1.0		9	75		5
2	1	5/8	5/8	3/4	1	1	1/8	1/8	1.0		6	78		6
3	2	0	0	3/4	2	2	1/2	1/2	1.0		4	64		19
3	2	0	0	3/4	2	2	1/2	1/2	1.0		1	67		19
3	2	0	0	3/4	2	1	1/2	1/2	1.0		5	71		18
3	2	0	0	3/4	1	1	1/8	1/8	1.0		4	76		12
3	2	1/8	1/8	3/4	1	1	1/8	1/8	1.0		1	79		13
3	2	1/4	1/4	3/4	1	1	1/8	1/8	1.0		5	71		14
3	2	3/8	3/8	3/4	1	1	1/8	1/8	1.0		1	79		15
3	2	1/2	1/2	3/4	1	1	1/8	1/8	1.0		4	76		16
3	2	5/8	5/8	3/4	1	1	1/8	1/8	1.0		5	83		17
4	3	0	0	3/4	2	2	1/4	1/4	1.0		5	59		28
4	3	0	0	3/4	2	2	1/4	1/4	1.0		9	63		28
4	3	0	0	3/4	2	2	1/4	1/4	1.0		6	66		28
4	3	0	0	3/4	2	2	1/4	1/4	1.0		3	69		28
4	3	0	0	3/4	2	1	1/2	1/2	1.0		5	71		26
4	3	0	0	3/4	1	1	1/8	1/8	1.0		6	78		20
4	3	1/8	1/8	3/4	1	1	1/8	1/8	1.0		3	81		21
4	3	1/4	1/4	3/4	2	2	1/4	1/4	1.0		4	64		29
4	3	1/4	1/4	3/4	2	2	1/4	1/4	1.0		1	67		29
4	3	1/4	1/4	3/4	1	1	1/8	1/8	1.0		1	79		22
4	3	3/8	3/8	3/4	1	1	1/8	1/8	1.0		4	76		23
4	3	1/2	1/2	3/4	2	2	1/4	1/4	1.0		5	59		30
4	3	1/2	1/2	3/4	2	2	1/4	1/4	1.0		6	66		30
4	3	1/2	1/2	3/4	2	2	1/4	1/4	1.0		3	69		30
4	3	1/2	1/2	3/4	2	1	1/4	1/4	1.0		5	71		27
4	3	1/2	1/2	3/4	1	1	1/8	1/8	1.0		9	75		24
4	3	5/8	5/8	3/4	1	1	1/8	1/8	1.0		6	78		25
5	4	0	0	3/4	2	1	1/2	1/2	1.0		4	64		37
5	4	0	0	3/4	2	1	1/2	1/2	1.0		1	67		37
5	4	0	0	3/4	2	1	1/2	1/2	1.0		5	71		37
5	4	0	0	3/4	1	1	1/8	1/8	1.0		4	76		31
5	4	1/8	1/8	3/4	1	1	1/8	1/8	1.0		1	79		32
5	4	1/4	1/4	3/4	1	1	1/8	1/8	1.0		5	71		33
5	4	3/8	3/8	3/4	1	1	1/8	1/8	1.0		1	79		34
5	4	1/2	1/2	3/4	1	1	1/8	1/8	1.0		4	76		35
5	4	5/8	5/8	3/4	1	1	1/8	1/8	1.0		4	88		36
6	5	0	0	3/4	2	1	1/4	1/4	1.0		2	50		44
6	5	0	0	3/4	1	1	1/8	1/8	1.0		6	78		38
6	5	1/8	1/8	3/4	1	1	1/8	1/8	1.0		3	81		39
6	5	1/4	1/4	3/4	2	1	1/4	1/4	1.0		2	62		45
6	5	1/4	1/4	3/4	2	1	1/4	1/4	1.0		6	66		45
6	5	1/4	1/4	3/4	2	1	1/4	1/4	1.0		0	72		45
6	5	1/4	1/4	3/4	1	1	1/8	1/8	1.0		1	79		40
6	5	3/8	3/8	3/4	1	1	1/8	1/8	1.0		2	74		41
6	5	1/2	1/2	3/4	2	1	1/4	1/4	1.0		2	62		46
6	5	1/2	1/2	3/4	2	1	1/4	1/4	1.0		6	66		46
6	5	1/2	1/2	3/4	2	1	1/4	1/4	1.0		0	72		46
6	5	1/2	1/2	3/4	1	1	1/8	1/8	1.0		1	79		42
6	5	5/8	5/8	3/4	1	1	1/8	1/8	1.0		3	81		43
7	6	0	0	3/4	2	1	1/4	1/4	1.0		1	55		53
7	6	0	0	3/4	1	1	1/8	1/8	1.0		1	79		47
7	6	1/8	1/8	3/4	1	1	1/8	1/8	1.0		5	83		48
7	6	1/4	1/4	3/4	2	1	1/4	1/4	1.0		2	62		54
7	6	1/4	1/4	3/4	2	1	1/4	1/4	1.0		1	67		54
7	6	1/4	1/4	3/4	2	1	1/4	1/4	1.0		5	71		54
7	6	1/4	1/4	3/4	1	1	1/8	1/8	1.0		3	81		49
7	6	3/8	3/8	3/4	1	1	1/8	1/8	1.0		2	74		50
7	6	1/2	1/2	3/4	2	1	1/4	1/4	1.0		2	62		55
7	6	1/2	1/2	3/4	2	1	1/4	1/4	1.0		1	67		55
7	6	1/2	1/2	3/4	2	1	1/4	1/4	1.0		5	71		55
7	6	1/2	1/2	3/4	1	1	1/8	1/8	1.0		3	81		51
7	6	5/8	5/8	3/4	1	1	1/8	1/8	1.0		5	83		52
8	7	0	0	3/4	2	1	1/4	1/4	1.0		2	50		62
8	7	0	0	3/4	1	1	1/8	1/8	1.0		3	81		56
8	7	1/8	1/8	3/4	1	1	1/8	1/8	1.0		4	88		57
8	7	1/4	1/4	3/4	2	1	1/4	1/4	1.0		2	62		63
8	7	1/4	1/4	3/4	2	1	1/4	1/4	1.0		6	66		63
8	7	1/4	1/4	3/4	2	1	1/4	1/4	1.0		0	72		63
8	7	1/4	1/4	3/4	1	1	1/8	1/8	1.0		5	83		58
8	7	3/8	3/8	3/4	1	1	1/8	1/8	1.0		2	86		59
8	7	1/2	1/2	3/4	2	1	1/4	1/4	1.0		2	62		64
8	7	1/2	1/2	3/4	2	1	1/4	1/4	1.0		6	66		64
8	7	1/2	1/2	3/4	2	1	1/4	1/4	1.0		0	72		64
8	7	1/2	1/2	3/4	1	1	1/8	1/8	1.0		0	84		60
8	7	5/8	5/8	3/4	1	1	1/8	1/8	1.0		3	81		61
9	8	0	0	3/4	2	1	1/4	1/4	1.0		1	55		66
9	8	0	0	3/4	1	1	1/2	1/2	1.0		1	79		65
9	8	1/4	1/4	3/4	2	1	1/4	1/4	1.0		2	62		67
9	8	1/4	1/4	3/4	2	1	1/4	1/4	1.0		1	67		67
9	8	1/4	1/4	3/4	2	1	1/4	1/4	1.0		5	71		67
10	8	0	1/2	3/4	1	1	1/8	1/8	1.0		1	79		68
10	8	1/8	5/8	3/4	1	1	1/8	1/8	1.0		3	81		69
11	9	0	0	3/4	2	1	1/4	1/4	1.0		1	55		76
11	9	0	0	3/4	1	1	1/8	1/8	1.0		1	79		70
11	9	1/8	1/8	3/4	1	1	1/8	1/8	1.0		1	91		71
11	9	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	64		77
11	9	1/4	1/4	3/4	2	1	1/4	1/4	1.0		1	67		77
11	9	1/4	1/4	3/4	2	1	1/4	1/4	1.0		0	72		77
11	9	1/4	1/4	3/4	1	1	1/8	1/8	1.0		3	81		72
11	9	3/8	3/8	3/4	1	1	1/8	1/8	1.0		6	90		73
11	9	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	64		78
11	9	1/2	1/2	3/4	2	1	1/4	1/4	1.0		1	67		78
11	9	1/2	1/2	3/4	2	1	1/4	1/4	1.0		0	72		78
11	9	1/2	1/2	3/4	1	1	1/8	1/8	1.0		0	84		74
11	9	5/8	5/8	3/4	1	1	1/8	1/8	1.0		4	88		75
12	10	0	0	3/4	2	1	1/4	1/4	1.0		1	55		85
12	10	0	0	3/4	1	1	1/8	1/8	1.0		5	83		79
12	10	1/8	1/8	3/4	1	1	1/8	1/8	1.0		2	86		80
12	10	1/4	1/4	3/4	2	1	1/4	1/4	1.0		2	62		86
12	10	1/4	1/4	3/4	2	1	1/4	1/4	1.0		1	67		86
12	10	1/4	1/4	3/4	2	1	1/4	1/4	1.0		5	71		86
12	10	1/4	1/4	3/4	1	1	1/8	1/8	1.0		2	74		81
12	10	3/8	3/8	3/4	1	1	1/8	1/8	1.0		2	86		82
12	10	1/2	1/2	3/4	2	1	1/4	1/4	1.0		2	62		87
12	10	1/2	1/2	3/4	2	1	1/4	1/4	1.0		1	67		87
12	10	1/2	1/2	3/4	2	1	1/4	1/4	1.0		5	71		87
12	10	1/2	1/2	3/4	1	1	1/8	1/8	1.0		5	83		83
12	10	5/8	5/8	3/4	1	1	1/8	1/8	1.0		2	86		84
13	11	0	0	3/4	2	1	1/4	1/4	1.0		2	50		94
13	11	0	0	3/4	1	1	1/8	1/8	1.0		4	76		88
13	11	1/8	1/8	3/4	1	1	1/8	1/8	1.0		0	84		89
13	11	1/4	1/4	3/4	2	1	1/4	1/4	1.0		2	62		95
13	11	1/4	1/4	3/4	2	1	1/4	1/4	1.0		3	69		95
13	11	1/4	1/4	3/4	2	1	1/4	1/4	1.0		0	72		95
13	11	1/4	1/4	3/4	1	1	1/8	1/8	1.0		6	78		90
13	11	3/8	3/8	3/4	1	1	1/8	1/8	1.0		0	84		91
13	11	1/2	1/2	3/4	2	1	1/4	1/4	1.0		2	62		96
13	11	1/2	1/2	3/4	2	1	1/4	1/4	1.0		6	66		96
13	11	1/2	1/2	3/4	2	1	1/4	1/4	1.0		0	72		96
13	11	1/2	1/2	3/4	1	1	1/8	1/8	1.0		3	81		92
13	11	5/8	5/8	3/4	1	1	1/8	1/8	1.0		0	84		93
14	12	0	0	3/4	2	1	1/4	1/4	1.0		1	55		103
14	12	0	0	3/4	1	1	1/8	1/8	1.0		1	79		97
14	12	1/8	1/8	3/4	1	1	1/8	1/8	1.0		5	83		98
14	12	1/4	1/4	3/4	2	1	1/4	1/4	1.0		2	62		104
14	12	1/4	1/4	3/4	2	1	1/4	1/4	1.0		1	67		104
14	12	1/4	1/4	3/4	2	1	1/4	1/4	1.0		5	71		104
14	12	1/4	1/4	3/4	1	1	1/8	1/8	1.0		2	74		99
14	12	3/8	3/8	3/4	1	1	1/8	1/8	1.0		5	83		100
14	12	1/2	1/2	3/4	2	1	1/4	1/4	1.0		2	62		105
14	12	1/2	1/2	3/4	2	1	1/4	1/4	1.0		1	67		105
14	12	1/2	1/2	3/4	2	1	1/4	1/4	1.0		5	71		105
