mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	2/4	2	1	1/4		1/4	1.0		2	50		5
1	1	0	0	2/4	2	2	1/2		1/2	1.0		2	50		7
1	1	0	0	2/4	1	2	1/2		1/2	1.0		2	62		4
1	1	0	0	2/4	1	1	1/8		1/8	1.0		6	66		0
1	1	0	0	2/4	1	2	1/2		1/2	1.0		6	66		4
1	1	1/8	1/8	2/4	1	1	1/8		1/8	1.0		3	69		1
1	1	1/4	1/4	2/4	2	1	1/4		1/4	1.0		3	57		6
1	1	1/4	1/4	2/4	1	1	1/8		1/8	1.0		5	71		2
1	1	3/8	3/8	2/4	1	1	1/8		1/8	1.0		3	69		3
2	2	0	0	2/4	2	1	1/4		1/4	1.0		4	52		13
2	2	0	0	2/4	2	2	1/2		1/2	1.0		4	52		15
2	2	0	0	2/4	1	2	1/2		1/2	1.0		7	61		12
2	2	0	0	2/4	1	1	1/8		1/8	1.0		1	67		8
2	2	0	0	2/4	1	2	1/2		1/2	1.0		1	67		12
2	2	1/8	1/8	2/4	1	1	1/8		1/8	1.0		3	69		9
2	2	1/4	1/4	2/4	2	1	1/4		1/4	1.0		3	57		14
2	2	1/4	1/4	2/4	1	1	1/8		1/8	1.0		5	71		10
2	2	3/8	3/8	2/4	1	1	1/8		1/8	1.0		3	69		11
3	3	0	0	2/4	2	1	1/4		1/4	1.0		3	45		18
3	3	0	0	2/4	2	2	1/2		1/2	1.0		3	45		20
3	3	0	0	2/4	1	1	1/4		1/4	1.0		7	61		16
3	3	0	0	2/4	1	1	1/4		1/4	1.0		1	67		16
3	3	1/4	1/4	2/4	2	1	1/4		1/4	1.0		3	57		19
3	3	1/4	1/4	2/4	1	1	1/4		1/4	1.0		3	69		17
3	3	1/4	1/4	2/4	1	1	1/4		1/4	1.0		7	73		17
3	3	1/4	1/4	2/4	1	1	1/4		1/4	1.0		1	79		17
4	4	0	0	2/4	2	1	1/4		1/4	1.0		2	50		22
4	4	0	0	2/4	2	2	1/2		1/2	1.0		2	50		24
4	4	0	0	2/4	1	1	1/2		1/2	1.0		3	69		21
4	4	0	0	2/4	1	1	1/2		1/2	1.0		2	74		21
4	4	0	0	2/4	1	1	1/2		1/2	1.0		6	78		21
