mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	1/4	2/4	1	1	1/16	1/16	1		0	72		0
1	0	1/16	5/16	2/4	1	1	1/16	1/16	1		2	74		1
1	0	1/8	3/8	2/4	1	1	1/16	1/16	1		4	76		2
1	0	3/16	7/16	2/4	1	1	1/16	1/16	1		-1	77		3
2	1	0	0	2/4	2	1	1/8	1/8	1		0	48		8
2	1	0	0	2/4	1	1	3/16	1/8	3/2		0	72		4
2	1	0	0	2/4	1	1	3/16	1/8	3/2		4	76		4
2	1	0	0	2/4	1	1	3/16	1/8	3/2		1	79		4
2	1	1/8	1/8	2/4	2	1	1/8	1/8	1		1	55		9
2	1	1/8	1/8	2/4	2	1	1/8	1/8	1		0	60		9
2	1	1/8	1/8	2/4	2	1	1/8	1/8	1		4	64		9
2	1	3/16	3/16	2/4	1	1	1/16	1/16	1		0	72		5
2	1	3/16	3/16	2/4	1	1	1/16	1/16	1		4	76		5
2	1	3/16	3/16	2/4	1	1	1/16	1/16	1		1	79		5
2	1	1/4	1/4	2/4	2	1	1/8	1/8	1		0	48		10
2	1	1/4	1/4	2/4	1	1	3/16	1/8	3/2		0	72		6
2	1	1/4	1/4	2/4	1	1	3/16	1/8	3/2		4	76		6
2	1	1/4	1/4	2/4	1	1	3/16	1/8	3/2		1	79		6
2	1	3/8	3/8	2/4	2	1	1/8	1/8	1		1	55		11
2	1	3/8	3/8	2/4	2	1	1/8	1/8	1		0	60		11
2	1	3/8	3/8	2/4	2	1	1/8	1/8	1		4	64		11
2	1	7/16	7/16	2/4	1	1	1/16	1/16	1		0	72		7
2	1	7/16	7/16	2/4	1	1	1/16	1/16	1		4	76		7
2	1	7/16	7/16	2/4	1	1	1/16	1/16	1		1	79		7
3	2	0	0	2/4	2	1	1/8	1/8	1		0	48		18
3	2	0	0	2/4	1	1	3/16	1/8	3/2		0	72		12
3	2	0	0	2/4	1	1	3/16	1/8	3/2		4	76		12
3	2	0	0	2/4	1	1	3/16	1/8	3/2		1	79		12
3	2	1/8	1/8	2/4	2	1	1/8	1/8	1		1	55		19
3	2	1/8	1/8	2/4	2	1	1/8	1/8	1		0	60		19
3	2	1/8	1/8	2/4	2	1	1/8	1/8	1		4	64		19
3	2	3/16	3/16	2/4	1	1	1/16	1/16	1		0	72		13
3	2	3/16	3/16	2/4	1	1	1/16	1/16	1		4	76		13
3	2	3/16	3/16	2/4	1	1	1/16	1/16	1		1	79		13
3	2	1/4	1/4	2/4	2	1	1/8	1/8	1		0	48		20
3	2	1/4	1/4	2/4	1	1	1/16	1/16	1		1	79		14
3	2	5/16	5/16	2/4	1	1	1/16	1/16	1		3	81		15
3	2	3/8	3/8	2/4	2	1	1/8	1/8	1		1	55		21
3	2	3/8	3/8	2/4	2	1	1/8	1/8	1		0	60		21
3	2	3/8	3/8	2/4	2	1	1/8	1/8	1		4	64		21
3	2	3/8	3/8	2/4	1	1	1/16	1/16	1		5	83		16
3	2	7/16	7/16	2/4	1	1	1/16	1/16	1		0	84		17
4	3	0	0	2/4	2	1	1/8	1/8	1		1	43		26
4	3	0	0	2/4	1	1	3/16	1/8	3/2		1	79		22
4	3	0	0	2/4	1	1	3/16	1/8	3/2		5	83		22
4	3	0	0	2/4	1	1	3/16	1/8	3/2		2	86		22
4	3	1/8	1/8	2/4	2	1	1/8	1/8	1		1	55		27
4	3	1/8	1/8	2/4	2	1	1/8	1/8	1		5	59		27
4	3	1/8	1/8	2/4	2	1	1/8	1/8	1		2	62		27
4	3	3/16	3/16	2/4	1	1	1/16	1/16	1		1	79		23
4	3	3/16	3/16	2/4	1	1	1/16	1/16	1		5	83		23
4	3	3/16	3/16	2/4	1	1	1/16	1/16	1		2	86		23
4	3	1/4	1/4	2/4	2	1	1/8	1/8	1		1	43		28
4	3	1/4	1/4	2/4	1	1	3/16	1/8	3/2		1	79		24
4	3	1/4	1/4	2/4	1	1	3/16	1/8	3/2		5	83		24
4	3	1/4	1/4	2/4	1	1	3/16	1/8	3/2		2	86		24
4	3	3/8	3/8	2/4	2	1	1/8	1/8	1		1	55		29
4	3	3/8	3/8	2/4	2	1	1/8	1/8	1		5	59		29
4	3	3/8	3/8	2/4	2	1	1/8	1/8	1		2	62		29
4	3	7/16	7/16	2/4	1	1	1/16	1/16	1		1	79		25
4	3	7/16	7/16	2/4	1	1	1/16	1/16	1		5	83		25
4	3	7/16	7/16	2/4	1	1	1/16	1/16	1		2	86		25
5	4	0	0	2/4	2	1	1/8	1/8	1		1	43		36
5	4	0	0	2/4	1	1	3/16	1/8	3/2		1	79		30
5	4	0	0	2/4	1	1	3/16	1/8	3/2		5	83		30
5	4	0	0	2/4	1	1	3/16	1/8	3/2		2	86		30
5	4	1/8	1/8	2/4	2	1	1/8	1/8	1		1	55		37
5	4	1/8	1/8	2/4	2	1	1/8	1/8	1		5	59		37
5	4	1/8	1/8	2/4	2	1	1/8	1/8	1		2	62		37
5	4	3/16	3/16	2/4	1	1	1/16	1/16	1		1	79		31
5	4	3/16	3/16	2/4	1	1	1/16	1/16	1		5	83		31
5	4	3/16	3/16	2/4	1	1	1/16	1/16	1		2	86		31
5	4	1/4	1/4	2/4	2	1	1/8	1/8	1		1	43		38
5	4	1/4	1/4	2/4	1	1	1/16	1/16	1		0	72		32
5	4	5/16	5/16	2/4	1	1	1/16	1/16	1		2	74		33
5	4	3/8	3/8	2/4	2	1	1/8	1/8	1		1	55		39
5	4	3/8	3/8	2/4	2	1	1/8	1/8	1		5	59		39
5	4	3/8	3/8	2/4	2	1	1/8	1/8	1		2	62		39
5	4	3/8	3/8	2/4	1	1	1/16	1/16	1		4	76		34
5	4	7/16	7/16	2/4	1	1	1/16	1/16	1		-1	77		35
6	5	0	0	2/4	2	1	1/8	1/8	1		0	48		44
6	5	0	0	2/4	1	1	3/16	1/8	3/2		0	72		40
6	5	0	0	2/4	1	1	3/16	1/8	3/2		4	76		40
6	5	0	0	2/4	1	1	3/16	1/8	3/2		1	79		40
6	5	1/8	1/8	2/4	2	1	1/8	1/8	1		1	55		45
6	5	1/8	1/8	2/4	2	1	1/8	1/8	1		0	60		45
6	5	1/8	1/8	2/4	2	1	1/8	1/8	1		4	64		45
6	5	3/16	3/16	2/4	1	1	1/16	1/16	1		0	72		41
6	5	3/16	3/16	2/4	1	1	1/16	1/16	1		4	76		41
6	5	3/16	3/16	2/4	1	1	1/16	1/16	1		1	79		41
6	5	1/4	1/4	2/4	2	1	1/8	1/8	1		0	48		46
6	5	1/4	1/4	2/4	1	1	3/16	1/8	3/2		0	72		42
6	5	1/4	1/4	2/4	1	1	3/16	1/8	3/2		4	76		42
6	5	1/4	1/4	2/4	1	1	3/16	1/8	3/2		1	79		42
6	5	3/8	3/8	2/4	2	1	1/8	1/8	1		1	55		47
6	5	3/8	3/8	2/4	2	1	1/8	1/8	1		0	60		47
6	5	3/8	3/8	2/4	2	1	1/8	1/8	1		4	64		47
6	5	7/16	7/16	2/4	1	1	1/16	1/16	1		0	72		43
6	5	7/16	7/16	2/4	1	1	1/16	1/16	1		4	76		43
6	5	7/16	7/16	2/4	1	1	1/16	1/16	1		1	79		43
7	6	0	0	2/4	2	1	1/8	1/8	1		0	48		52
7	6	0	0	2/4	1	1	3/16	1/8	3/2		0	72		48
7	6	0	0	2/4	1	1	3/16	1/8	3/2		4	76		48
7	6	0	0	2/4	1	1	3/16	1/8	3/2		0	84		48
7	6	1/8	1/8	2/4	2	1	1/8	1/8	1		1	55		53
7	6	1/8	1/8	2/4	2	1	1/8	1/8	1		0	60		53
7	6	1/8	1/8	2/4	2	1	1/8	1/8	1		4	64		53
7	6	3/16	3/16	2/4	1	1	1/16	1/16	1		0	72		49
7	6	3/16	3/16	2/4	1	1	1/16	1/16	1		4	76		49
7	6	3/16	3/16	2/4	1	1	1/16	1/16	1		1	79		49
7	6	1/4	1/4	2/4	2	1	1/8	1/8	1		4	52		54
7	6	1/4	1/4	2/4	1	1	3/16	1/8	3/2		0	72		50
7	6	1/4	1/4	2/4	1	1	3/16	1/8	3/2		4	76		50
7	6	1/4	1/4	2/4	1	1	3/16	1/8	3/2		1	79		50
7	6	3/8	3/8	2/4	2	1	1/8	1/8	1		1	55		55
7	6	3/8	3/8	2/4	2	1	1/8	1/8	1		0	60		55
7	6	3/8	3/8	2/4	2	1	1/8	1/8	1		4	64		55
7	6	7/16	7/16	2/4	1	1	1/16	1/16	1		0	72		51
7	6	7/16	7/16	2/4	1	1	1/16	1/16	1		4	76		51
7	6	7/16	7/16	2/4	1	1	1/16	1/16	1		1	79		51
8	7	0	0	2/4	2	1	3/16	1/8	3/2		1	55		60
8	7	0	0	2/4	2	1	3/16	1/8	3/2		4	64		60
8	7	0	0	2/4	1	1	3/16	1/8	3/2		1	67		56
8	7	0	0	2/4	2	1	3/16	1/8	3/2		1	67		60
8	7	0	0	2/4	1	1	3/16	1/8	3/2		4	76		56
8	7	0	0	2/4	1	1	3/16	1/8	3/2		1	79		56
8	7	3/16	3/16	2/4	2	1	1/16	1/16	1		1	55		61
8	7	3/16	3/16	2/4	2	1	1/16	1/16	1		2	62		61
8	7	3/16	3/16	2/4	2	1	1/16	1/16	1		-1	65		61
8	7	3/16	3/16	2/4	1	1	1/16	1/16	1		1	67		57
8	7	3/16	3/16	2/4	1	1	1/16	1/16	1		2	74		57
8	7	3/16	3/16	2/4	1	1	1/16	1/16	1		-1	77		57
8	7	1/4	1/4	2/4	2	1	1/8	1/8	1		1	55		62
8	7	1/4	1/4	2/4	2	1	1/8	1/8	1		2	62		62
8	7	1/4	1/4	2/4	2	1	1/8	1/8	1		-1	65		62
8	7	1/4	1/4	2/4	1	1	1/8	1/8	1		1	67		58
8	7	1/4	1/4	2/4	1	1	1/8	1/8	1		2	74		58
8	7	1/4	1/4	2/4	1	1	1/8	1/8	1		-1	77		58
8	7	3/8	3/8	2/4	2	1	1/8	1/8	1		1	55		63
8	7	3/8	3/8	2/4	2	1	1/8	1/8	1		5	59		63
8	7	3/8	3/8	2/4	2	1	1/8	1/8	1		2	62		63
8	7	3/8	3/8	2/4	1	1	1/8	1/8	1		1	67		59
8	7	3/8	3/8	2/4	1	1	1/8	1/8	1		5	71		59
8	7	3/8	3/8	2/4	1	1	1/8	1/8	1		2	74		59
9	8	0	0	2/4	2	1	1/4	1/4	1		0	48		65
9	8	0	0	2/4	2	1	1/4	1/4	1		1	55		65
9	8	0	0	2/4	2	1	1/4	1/4	1		0	60		65
9	8	0	0	2/4	1	1	1/4	1/4	1		4	64		64
9	8	0	0	2/4	1	1	1/4	1/4	1		1	67		64
9	8	0	0	2/4	1	1	1/4	1/4	1		0	72		64
10	8	0	1/4	2/4	1	1	1/16	1/16	1		4	76		66
10	8	1/16	5/16	2/4	1	1	1/16	1/16	1		6	78		67
10	8	1/8	3/8	2/4	1	1	1/16	1/16	1		8	80		68
10	8	3/16	7/16	2/4	1	1	1/16	1/16	1		3	81		69
11	9	0	0	2/4	2	1	1/8	1/8	1		4	52		74
11	9	0	0	2/4	1	1	3/16	1/8	3/2		4	76		70
11	9	0	0	2/4	1	1	3/16	1/8	3/2		8	80		70
11	9	0	0	2/4	1	1	3/16	1/8	3/2		5	83		70
11	9	1/8	1/8	2/4	2	1	1/8	1/8	1		8	56		75
11	9	1/8	1/8	2/4	2	1	1/8	1/8	1		5	59		75
11	9	1/8	1/8	2/4	2	1	1/8	1/8	1		4	64		75
11	9	3/16	3/16	2/4	1	1	1/16	1/16	1		4	76		71
11	9	3/16	3/16	2/4	1	1	1/16	1/16	1		8	80		71
11	9	3/16	3/16	2/4	1	1	1/16	1/16	1		5	83		71
11	9	1/4	1/4	2/4	2	1	1/8	1/8	1		2	50		76
11	9	1/4	1/4	2/4	1	1	3/16	1/8	3/2		4	76		72
11	9	1/4	1/4	2/4	1	1	3/16	1/8	3/2		8	80		72
11	9	1/4	1/4	2/4	1	1	3/16	1/8	3/2		5	83		72
11	9	3/8	3/8	2/4	2	1	1/8	1/8	1		8	56		77
11	9	3/8	3/8	2/4	2	1	1/8	1/8	1		5	59		77
11	9	3/8	3/8	2/4	2	1	1/8	1/8	1		4	64		77
11	9	7/16	7/16	2/4	1	1	1/16	1/16	1		4	76		73
11	9	7/16	7/16	2/4	1	1	1/16	1/16	1		8	80		73
11	9	7/16	7/16	2/4	1	1	1/16	1/16	1		5	83		73
12	10	0	0	2/4	2	1	1/8	1/8	1		0	48		82
12	10	0	0	2/4	1	1	3/16	1/8	3/2		4	76		78
12	10	0	0	2/4	1	1	3/16	1/8	3/2		3	81		78
12	10	0	0	2/4	1	1	3/16	1/8	3/2		0	84		78
12	10	1/8	1/8	2/4	2	1	1/8	1/8	1		4	52		83
12	10	1/8	1/8	2/4	2	1	1/8	1/8	1		3	57		83
12	10	1/8	1/8	2/4	2	1	1/8	1/8	1		0	60		83
12	10	3/16	3/16	2/4	1	1	1/16	1/16	1		4	76		79
12	10	3/16	3/16	2/4	1	1	1/16	1/16	1		3	81		79
12	10	3/16	3/16	2/4	1	1	1/16	1/16	1		0	84		79
12	10	1/4	1/4	2/4	2	1	1/8	1/8	1		3	45		84
12	10	1/4	1/4	2/4	1	1	3/16	1/8	3/2		4	76		80
12	10	1/4	1/4	2/4	1	1	3/16	1/8	3/2		3	81		80
12	10	1/4	1/4	2/4	1	1	3/16	1/8	3/2		0	84		80
12	10	3/8	3/8	2/4	2	1	1/8	1/8	1		4	52		85
12	10	3/8	3/8	2/4	2	1	1/8	1/8	1		3	57		85
12	10	3/8	3/8	2/4	2	1	1/8	1/8	1		0	60		85
12	10	7/16	7/16	2/4	1	1	1/16	1/16	1		4	76		81
12	10	7/16	7/16	2/4	1	1	1/16	1/16	1		3	81		81
12	10	7/16	7/16	2/4	1	1	1/16	1/16	1		0	84		81
13	11	0	0	2/4	2	1	1/8	1/8	1		2	50		90
13	11	0	0	2/4	1	1	3/16	1/8	3/2		2	74		86
13	11	0	0	2/4	1	1	3/16	1/8	3/2		6	78		86
13	11	0	0	2/4	1	1	3/16	1/8	3/2		3	81		86
13	11	1/8	1/8	2/4	2	1	1/8	1/8	1		6	54		91
13	11	1/8	1/8	2/4	2	1	1/8	1/8	1		3	57		91
13	11	1/8	1/8	2/4	2	1	1/8	1/8	1		2	62		91
13	11	3/16	3/16	2/4	1	1	1/16	1/16	1		2	74		87
13	11	3/16	3/16	2/4	1	1	1/16	1/16	1		6	78		87
13	11	3/16	3/16	2/4	1	1	1/16	1/16	1		3	81		87
13	11	1/4	1/4	2/4	2	1	1/8	1/8	1		0	48		92
13	11	1/4	1/4	2/4	1	1	3/16	1/8	3/2		2	74		88
13	11	1/4	1/4	2/4	1	1	3/16	1/8	3/2		6	78		88
13	11	1/4	1/4	2/4	1	1	3/16	1/8	3/2		3	81		88
13	11	3/8	3/8	2/4	2	1	1/8	1/8	1		6	54		93
13	11	3/8	3/8	2/4	2	1	1/8	1/8	1		3	57		93
13	11	3/8	3/8	2/4	2	1	1/8	1/8	1		2	62		93
13	11	7/16	7/16	2/4	1	1	1/16	1/16	1		2	74		89
13	11	7/16	7/16	2/4	1	1	1/16	1/16	1		6	78		89
13	11	7/16	7/16	2/4	1	1	1/16	1/16	1		3	81		89
14	12	0	0	2/4	2	1	1/8	1/8	1		5	47		98
14	12	0	0	2/4	1	1	3/16	1/8	3/2		2	74		94
14	12	0	0	2/4	1	1	3/16	1/8	3/2		1	79		94
14	12	0	0	2/4	1	1	3/16	1/8	3/2		5	83		94
14	12	1/8	1/8	2/4	2	1	1/8	1/8	1		2	50		99
14	12	1/8	1/8	2/4	2	1	1/8	1/8	1		1	55		99
14	12	1/8	1/8	2/4	2	1	1/8	1/8	1		5	59		99
14	12	3/16	3/16	2/4	1	1	1/16	1/16	1		2	74		95
14	12	3/16	3/16	2/4	1	1	1/16	1/16	1		1	79		95
14	12	3/16	3/16	2/4	1	1	1/16	1/16	1		5	83		95
14	12	1/4	1/4	2/4	2	1	1/8	1/8	1		1	43		100
14	12	1/4	1/4	2/4	1	1	3/16	1/8	3/2		2	74		96
14	12	1/4	1/4	2/4	1	1	3/16	1/8	3/2		1	79		96
14	12	1/4	1/4	2/4	1	1	3/16	1/8	3/2		5	83		96
14	12	3/8	3/8	2/4	2	1	1/8	1/8	1		2	50		101
14	12	3/8	3/8	2/4	2	1	1/8	1/8	1		1	55		101
14	12	3/8	3/8	2/4	2	1	1/8	1/8	1		5	59		101
14	12	7/16	7/16	2/4	1	1	1/16	1/16	1		2	74		97
14	12	7/16	7/16	2/4	1	1	1/16	1/16	1		1	79		97
14	12	7/16	7/16	2/4	1	1	1/16	1/16	1		5	83		97
15	13	0	0	2/4	2	1	3/16	1/8	3/2		4	52		106
15	13	0	0	2/4	2	1	3/16	1/8	3/2		1	55		106
15	13	0	0	2/4	2	1	3/16	1/8	3/2		5	59		106
15	13	0	0	2/4	1	1	3/16	1/8	3/2		5	71		102
15	13	0	0	2/4	1	1	3/16	1/8	3/2		1	79		102
15	13	0	0	2/4	1	1	3/16	1/8	3/2		5	83		102
15	13	3/16	3/16	2/4	2	1	1/16	1/16	1		4	52		107
15	13	3/16	3/16	2/4	2	1	1/16	1/16	1		1	55		107
15	13	3/16	3/16	2/4	2	1	1/16	1/16	1		5	59		107
15	13	3/16	3/16	2/4	1	1	1/16	1/16	1		5	71		103
15	13	3/16	3/16	2/4	1	1	1/16	1/16	1		1	79		103
15	13	3/16	3/16	2/4	1	1	1/16	1/16	1		5	83		103
15	13	1/4	1/4	2/4	2	1	3/16	1/8	3/2		6	54		108
15	13	1/4	1/4	2/4	2	1	3/16	1/8	3/2		3	57		108
15	13	1/4	1/4	2/4	2	1	3/16	1/8	3/2		2	62		108
15	13	1/4	1/4	2/4	1	1	3/16	1/8	3/2		2	74		104
15	13	1/4	1/4	2/4	1	1	3/16	1/8	3/2		3	81		104
15	13	1/4	1/4	2/4	1	1	3/16	1/8	3/2		2	86		104
15	13	7/16	7/16	2/4	2	1	1/16	1/16	1		6	54		109
15	13	7/16	7/16	2/4	2	1	1/16	1/16	1		3	57		109
15	13	7/16	7/16	2/4	2	1	1/16	1/16	1		2	62		109
15	13	7/16	7/16	2/4	1	1	1/16	1/16	1		2	74		105
15	13	7/16	7/16	2/4	1	1	1/16	1/16	1		3	81		105
15	13	7/16	7/16	2/4	1	1	1/16	1/16	1		2	86		105
16	14	0	0	2/4	2	1	3/16	1/8	3/2		1	55		114
16	14	0	0	2/4	2	1	3/16	1/8	3/2		5	59		114
16	14	0	0	2/4	2	1	3/16	1/8	3/2		2	62		114
16	14	0	0	2/4	1	1	3/16	1/8	3/2		2	74		110
16	14	0	0	2/4	1	1	3/16	1/8	3/2		1	79		110
16	14	0	0	2/4	1	1	3/16	1/8	3/2		5	83		110
16	14	3/16	3/16	2/4	2	1	1/16	1/16	1		1	55		115
16	14	3/16	3/16	2/4	2	1	1/16	1/16	1		5	59		115
16	14	3/16	3/16	2/4	2	1	1/16	1/16	1		2	62		115
16	14	3/16	3/16	2/4	1	1	1/16	1/16	1		2	74		111
16	14	3/16	3/16	2/4	1	1	1/16	1/16	1		1	79		111
16	14	3/16	3/16	2/4	1	1	1/16	1/16	1		5	83		111
16	14	1/4	1/4	2/4	2	1	3/16	1/8	3/2		0	48		116
16	14	1/4	1/4	2/4	2	1	3/16	1/8	3/2		4	52		116
16	14	1/4	1/4	2/4	2	1	3/16	1/8	3/2		3	57		116
16	14	1/4	1/4	2/4	2	1	3/16	1/8	3/2		0	60		116
16	14	1/4	1/4	2/4	1	1	3/16	1/8	3/2		0	72		112
16	14	1/4	1/4	2/4	1	1	3/16	1/8	3/2		4	76		112
16	14	1/4	1/4	2/4	1	1	3/16	1/8	3/2		3	81		112
16	14	1/4	1/4	2/4	1	1	3/16	1/8	3/2		0	84		112
16	14	7/16	7/16	2/4	2	1	1/16	1/16	1		0	48		117
16	14	7/16	7/16	2/4	2	1	1/16	1/16	1		4	52		117
16	14	7/16	7/16	2/4	2	1	1/16	1/16	1		3	57		117
16	14	7/16	7/16	2/4	2	1	1/16	1/16	1		0	60		117
16	14	7/16	7/16	2/4	1	1	1/16	1/16	1		0	72		113
16	14	7/16	7/16	2/4	1	1	1/16	1/16	1		4	76		113
16	14	7/16	7/16	2/4	1	1	1/16	1/16	1		3	81		113
16	14	7/16	7/16	2/4	1	1	1/16	1/16	1		0	84		113
17	15	0	0	2/4	2	1	3/16	1/8	3/2		2	50		122
17	15	0	0	2/4	2	1	3/16	1/8	3/2		1	55		122
17	15	0	0	2/4	2	1	3/16	1/8	3/2		5	59		122
17	15	0	0	2/4	2	1	3/16	1/8	3/2		2	62		122
17	15	0	0	2/4	1	1	3/16	1/8	3/2		5	71		118
17	15	0	0	2/4	1	1	3/16	1/8	3/2		2	74		118
17	15	0	0	2/4	1	1	3/16	1/8	3/2		1	79		118
17	15	0	0	2/4	1	1	3/16	1/8	3/2		5	83		118
17	15	3/16	3/16	2/4	2	1	1/16	1/16	1		2	50		123
17	15	3/16	3/16	2/4	2	1	1/16	1/16	1		1	55		123
17	15	3/16	3/16	2/4	2	1	1/16	1/16	1		5	59		123
17	15	3/16	3/16	2/4	2	1	1/16	1/16	1		2	62		123
17	15	3/16	3/16	2/4	1	1	1/16	1/16	1		5	71		119
17	15	3/16	3/16	2/4	1	1	1/16	1/16	1		2	74		119
17	15	3/16	3/16	2/4	1	1	1/16	1/16	1		1	79		119
17	15	3/16	3/16	2/4	1	1	1/16	1/16	1		5	83		119
17	15	1/4	1/4	2/4	2	1	3/16	1/8	3/2		2	50		124
17	15	1/4	1/4	2/4	2	1	3/16	1/8	3/2		6	54		124
17	15	1/4	1/4	2/4	2	1	3/16	1/8	3/2		3	57		124
17	15	1/4	1/4	2/4	2	1	3/16	1/8	3/2		2	62		124
17	15	1/4	1/4	2/4	1	1	3/16	1/8	3/2		3	69		120
17	15	1/4	1/4	2/4	1	1	3/16	1/8	3/2		2	74		120
