mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	3/8	3/4	1	1	1/8	1/8	1		-2	70		0
1	0	1/8	1/2	3/4	1	1	1/8	1/8	1		0	72		1
1	0	1/4	5/8	3/4	1	1	1/8	1/8	1		2	74		2
2	1	0	0	3/4	2	1	1/4	1/4	1		-3	51		7
2	1	0	0	3/4	1	1	1/8	1/8	1		1	67		3
2	1	0	0	3/4	1	1	1/8	1/8	1		-2	70		3
2	1	0	0	3/4	1	1	1/8	1/8	1		-3	75		3
2	1	1/8	1/8	3/4	1	1	1/8	1/8	1	1	1	67		4
2	1	1/8	1/8	3/4	1	1	1/8	1/8	1	1	-2	70		4
2	1	1/8	1/8	3/4	1	1	1/8	1/8	1		-3	75		4
2	1	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58		8
2	1	1/4	1/4	3/4	1	1	1/4	1/4	1	-1	1	67		5
2	1	1/4	1/4	3/4	2	1	1/4	1/4	1		1	67		8
2	1	1/4	1/4	3/4	1	1	1/4	1/4	1	-1	-2	70		5
2	1	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79		5
2	1	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58		9
2	1	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63		9
2	1	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67		6
2	1	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	70		6
2	1	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74		6
3	2	0	0	3/4	2	1	1/4	1/4	1		-3	51		14
3	2	0	0	3/4	1	1	1/8	1/8	1		1	67		10
3	2	0	0	3/4	1	1	1/8	1/8	1		-2	70		10
3	2	0	0	3/4	1	1	1/8	1/8	1		-3	75		10
3	2	1/8	1/8	3/4	1	1	1/8	1/8	1	1	1	67		11
3	2	1/8	1/8	3/4	1	1	1/8	1/8	1	1	-2	70		11
3	2	1/8	1/8	3/4	1	1	1/8	1/8	1		-3	75		11
3	2	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58		15
3	2	1/4	1/4	3/4	1	1	1/4	1/4	1	-1	1	67		12
3	2	1/4	1/4	3/4	2	1	1/4	1/4	1		1	67		15
3	2	1/4	1/4	3/4	1	1	1/4	1/4	1	-1	-2	70		12
3	2	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	77		12
3	2	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58		16
3	2	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63		16
3	2	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67		13
3	2	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	70		13
3	2	1/2	1/2	3/4	1	1	1/4	1/4	1		-5	73		13
4	3	0	0	3/4	2	1	1/4	1/4	1		-3	51		21
4	3	0	0	3/4	1	1	1/8	1/8	1		-4	68		17
4	3	0	0	3/4	1	1	1/8	1/8	1		0	72		17
4	3	1/8	1/8	3/4	1	1	1/8	1/8	1		-4	68		18
4	3	1/8	1/8	3/4	1	1	1/8	1/8	1		0	72		18
4	3	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60		22
4	3	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63		22
4	3	1/4	1/4	3/4	1	1	1/4	1/4	1		-4	68		19
4	3	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72		19
4	3	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60		23
4	3	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63		23
4	3	1/2	1/2	3/4	1	1	1/4	1/4	1		-4	68		20
4	3	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74		20
5	4	0	0	3/4	2	1	1/4	1/4	1		-3	51		28
5	4	0	0	3/4	1	1	3/8	1/4	3/2		1	67		24
5	4	0	0	3/4	1	1	3/8	1/4	3/2		-3	75		24
5	4	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58		29
5	4	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63		29
5	4	3/8	3/8	3/4	1	1	1/8	1/8	1		-3	75		25
5	4	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58		30
5	4	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63		30
5	4	1/2	1/2	3/4	1	1	1/8	1/8	1		-1	77		26
5	4	5/8	5/8	3/4	1	1	1/8	1/8	1		1	79		27
6	5	0	0	3/4	2	1	1/4	1/4	1		-2	46		35
6	5	0	0	3/4	1	1	1/8	1/8	1		2	74		31
6	5	0	0	3/4	1	1	1/8	1/8	1		-4	80		31
6	5	1/8	1/8	3/4	1	1	1/8	1/8	1		2	74		32
6	5	1/8	1/8	3/4	1	1	1/8	1/8	1		-4	80		32
6	5	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58		36
6	5	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65		36
6	5	1/4	1/4	3/4	1	1	1/4	1/4	1		2	74		33
6	5	1/4	1/4	3/4	1	1	1/4	1/4	1		-4	80		33
6	5	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58		37
6	5	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65		37
6	5	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74		34
6	5	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	82		34
7	6	0	0	3/4	2	1	1/4	1/4	1		-3	51		42
7	6	0	0	3/4	1	1	3/8	1/4	3/2		-3	75		38
7	6	0	0	3/4	1	1	3/8	1/4	3/2		1	79		38
7	6	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58		43
7	6	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63		43
7	6	1/4	1/4	3/4	2	1	1/4	1/4	1		1	67		43
7	6	3/8	3/8	3/4	1	1	1/8	1/8	1		1	79		39
7	6	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58		44
7	6	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63		44
7	6	1/2	1/2	3/4	2	1	1/4	1/4	1		1	67		44
7	6	1/2	1/2	3/4	1	1	1/8	1/8	1		-1	77		40
7	6	5/8	5/8	3/4	1	1	1/8	1/8	1		-3	75		41
8	7	0	0	3/4	2	1	1/4	1/4	1		-1	41		55
8	7	0	0	3/4	1	2	1/4	1/4	1		3	69		51
8	7	0	0	3/4	1	1	1/8	1/8	1		2	74		45
8	7	1/8	1/8	3/4	1	1	1/8	1/8	1		0	72		46
8	7	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60		56
8	7	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63		56
8	7	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65		56
8	7	1/4	1/4	3/4	1	2	1/8	1/8	1		3	69		52
8	7	1/4	1/4	3/4	1	1	1/8	1/8	1		0	72		47
8	7	3/8	3/8	3/4	1	2	1/8	1/8	1		3	69		53
8	7	3/8	3/8	3/4	1	1	1/8	1/8	1		0	72		48
8	7	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60		57
8	7	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63		57
8	7	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65		57
8	7	1/2	1/2	3/4	1	2	1/4	1/4	1		3	69		54
8	7	1/2	1/2	3/4	1	1	1/8	1/8	1		0	72		49
8	7	5/8	5/8	3/4	1	1	1/8	1/8	1		-1	77		50
9	8	0	0	3/4	2	1	1/4	1/4	1		-2	46		62
9	8	0	0	3/4	1	1	3/8	1/4	3/2		-2	70		58
9	8	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58		63
9	8	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62		63
9	8	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65		63
9	8	3/8	3/8	3/4	1	1	1/8	1/8	1		-2	82		59
9	8	1/2	1/2	3/4	1	1	1/8	1/8	1		0	84		60
9	8	5/8	5/8	3/4	1	1	1/8	1/8	1		2	86		61
10	9	0	0	3/4	2	1	1/4	1/4	1		-3	51		68
10	9	0	0	3/4	1	1	1/8	1/8	1		-3	75		64
10	9	0	0	3/4	1	1	1/8	1/8	1		-3	87		64
10	9	1/8	1/8	3/4	1	1	1/8	1/8	1		-3	75		65
10	9	1/8	1/8	3/4	1	1	1/8	1/8	1		-3	87		65
10	9	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58		69
10	9	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63		69
10	9	1/4	1/4	3/4	2	1	1/4	1/4	1		1	67		69
10	9	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79		66
10	9	1/4	1/4	3/4	1	1	1/4	1/4	1		1	91		66
10	9	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58		70
10	9	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63		70
10	9	1/2	1/2	3/4	2	1	1/4	1/4	1		1	67		70
10	9	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74		67
10	9	1/2	1/2	3/4	1	1	1/4	1/4	1		2	86		67
11	10	0	0	3/4	2	1	1/4	1/4	1		-3	51		75
11	10	0	0	3/4	1	1	1/8	1/8	1		-3	75		71
11	10	0	0	3/4	1	1	1/8	1/8	1		-3	87		71
11	10	1/8	1/8	3/4	1	1	1/8	1/8	1		-3	75		72
11	10	1/8	1/8	3/4	1	1	1/8	1/8	1		-3	87		72
11	10	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58		76
11	10	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63		76
11	10	1/4	1/4	3/4	2	1	1/4	1/4	1		1	67		76
11	10	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	77		73
11	10	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	89		73
11	10	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58		77
11	10	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63		77
11	10	1/2	1/2	3/4	2	1	1/4	1/4	1		1	67		77
11	10	1/2	1/2	3/4	1	1	1/4	1/4	1		-5	73		74
11	10	1/2	1/2	3/4	1	1	1/4	1/4	1		-5	85		74
12	11	0	0	3/4	2	1	1/4	1/4	1		-3	51		82
12	11	0	0	3/4	1	1	1/8	1/8	1		0	72		78
12	11	0	0	3/4	1	1	1/8	1/8	1		0	84		78
12	11	1/8	1/8	3/4	1	1	1/8	1/8	1		0	72		79
12	11	1/8	1/8	3/4	1	1	1/8	1/8	1		0	84		79
