mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	2/4	2	1	1/4	1/4	1.0		2	62		4
1	1	0	0	2/4	2	1	1/4	1/4	1.0		6	66		4
1	1	0	0	2/4	2	1	1/4	1/4	1.0		3	69		4
1	1	0	0	2/4	1	1	1/8	1/8	1.0		6	78		0
1	1	1/8	1/8	2/4	1	1	1/8	1/8	1.0		5	83		1
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	57		5
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	66		5
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	69		5
1	1	1/4	1/4	2/4	1	1	1/8	1/8	1.0		3	81		2
1	1	3/8	3/8	2/4	1	1	1/8	1/8	1.0		6	78		3
2	2	0	0	2/4	2	1	1/4	1/4	1.0		2	62		9
2	2	0	0	2/4	2	1	1/4	1/4	1.0		6	66		9
2	2	0	0	2/4	2	1	1/4	1/4	1.0		3	69		9
2	2	0	0	2/4	1	1	1/8	1/8	1.0		5	83		6
2	2	1/8	1/8	2/4	1	1	1/8	1/8	1.0		3	81		7
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	57		10
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	66		10
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	69		10
2	2	1/4	1/4	2/4	1	1	1/4	1/4	1.0		6	78		8
3	3	0	0	2/4	2	1	1/4	1/4	1.0		7	61		15
3	3	0	0	2/4	2	1	1/4	1/4	1.0		4	64		15
3	3	0	0	2/4	2	1	1/4	1/4	1.0		3	69		15
3	3	0	0	2/4	1	1	1/8	1/8	1.0		1	79		11
3	3	1/8	1/8	2/4	1	1	1/8	1/8	1.0		5	83		12
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	57		16
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		4	64		16
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	69		16
3	3	1/4	1/4	2/4	1	1	1/8	1/8	1.0		3	81		13
3	3	3/8	3/8	2/4	1	1	1/8	1/8	1.0		1	79		14
4	4	0	0	2/4	2	1	1/4	1/4	1.0		7	61		19
4	4	0	0	2/4	2	1	1/4	1/4	1.0		4	64		19
4	4	0	0	2/4	2	1	1/4	1/4	1.0		3	69		19
4	4	0	0	2/4	1	1	1/4	1/4	1.0		4	88		17
4	4	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	57		20
4	4	1/4	1/4	2/4	2	1	1/4	1/4	1.0		4	64		20
4	4	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	69		20
4	4	1/4	1/4	2/4	1	1	1/8	1/8	1.0		1	79		18
5	5	0	0	2/4	2	1	1/4	1/4	1.0		2	62		25
5	5	0	0	2/4	2	1	1/4	1/4	1.0		6	66		25
5	5	0	0	2/4	2	1	1/4	1/4	1.0		3	69		25
5	5	0	0	2/4	1	1	1/8	1/8	1.0		6	78		21
5	5	1/8	1/8	2/4	1	1	1/8	1/8	1.0		5	83		22
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	57		26
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	66		26
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	69		26
5	5	1/4	1/4	2/4	1	1	1/8	1/8	1.0		3	81		23
5	5	3/8	3/8	2/4	1	1	1/8	1/8	1.0		6	78		24
6	6	0	0	2/4	2	1	1/4	1/4	1.0		2	62		30
6	6	0	0	2/4	2	1	1/4	1/4	1.0		6	66		30
6	6	0	0	2/4	2	1	1/4	1/4	1.0		3	69		30
6	6	0	0	2/4	1	1	1/8	1/8	1.0		2	86		27
6	6	1/8	1/8	2/4	1	1	1/8	1/8	1.0		3	81		28
6	6	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	57		31
6	6	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	66		31
6	6	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	69		31
6	6	1/4	1/4	2/4	1	1	1/4	1/4	1.0		6	78		29
7	7	0	0	2/4	2	1	1/4	1/4	1.0		7	61		36
7	7	0	0	2/4	2	1	1/4	1/4	1.0		4	64		36
7	7	0	0	2/4	2	1	1/4	1/4	1.0		3	69		36
7	7	0	0	2/4	1	1	1/8	1/8	1.0		1	79		32
7	7	1/8	1/8	2/4	1	1	1/8	1/8	1.0		4	88		33
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	57		37
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		4	64		37
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	69		37
7	7	1/4	1/4	2/4	1	1	1/8	1/8	1.0		3	81		34
7	7	3/8	3/8	2/4	1	1	1/8	1/8	1.0		7	85		35
8	8	0	0	2/4	2	1	1/4	1/4	1.0		2	62		39
8	8	0	0	2/4	2	1	1/4	1/4	1.0		6	66		39
8	8	0	0	2/4	2	1	1/4	1/4	1.0		3	69		39
8	8	0	0	2/4	1	1	1/4	1/4	1.0		2	86		38
9	9	0	0	2/4	2	1	1/4	1/4	1.0		5	71		44
9	9	0	0	2/4	2	1	1/4	1/4	1.0		2	74		44
9	9	0	0	2/4	1	1	1/8	1/8	1.0		6	78		40
9	9	1/8	1/8	2/4	1	1	1/8	1/8	1.0		2	86		41
9	9	1/4	1/4	2/4	2	1	1/8	1/8	1.0		6	66		45
9	9	1/4	1/4	2/4	2	1	1/8	1/8	1.0		7	73		45
9	9	1/4	1/4	2/4	1	1	1/8	1/8	1.0		10	82		42
9	9	3/8	3/8	2/4	1	1	1/8	1/8	1.0		7	85		43
10	10	0	0	2/4	2	1	1/4	1/4	1.0		1	67		50
10	10	0	0	2/4	2	1	1/4	1/4	1.0		5	71		50
10	10	0	0	2/4	1	1	1/8	1/8	1.0		2	74		46
10	10	1/8	1/8	2/4	1	1	1/8	1/8	1.0		5	83		47
10	10	1/4	1/4	2/4	2	1	1/8	1/8	1.0		2	62		51
10	10	1/4	1/4	2/4	2	1	1/8	1/8	1.0		3	69		51
10	10	1/4	1/4	2/4	1	1	1/8	1/8	1.0		6	78		48
10	10	3/8	3/8	2/4	1	1	1/8	1/8	1.0		3	81		49
11	11	0	0	2/4	2	1	1/4	1/4	1.0		4	64		56
11	11	0	0	2/4	2	1	1/4	1/4	1.0		1	67		56
11	11	0	0	2/4	1	1	1/8	1/8	1.0		5	71		52
11	11	1/8	1/8	2/4	1	1	1/8	1/8	1.0		1	79		53
11	11	1/4	1/4	2/4	2	1	1/8	1/8	1.0		5	59		57
11	11	1/4	1/4	2/4	2	1	1/8	1/8	1.0		6	66		57
11	11	1/4	1/4	2/4	1	1	1/8	1/8	1.0		9	75		54
11	11	3/8	3/8	2/4	1	1	1/8	1/8	1.0		6	78		55
12	12	0	0	2/4	2	1	1/2	1/2	1.0		4	64		62
12	12	0	0	2/4	2	1	1/2	1/2	1.0		1	67		62
12	12	0	0	2/4	1	1	1/8	1/8	1.0		4	76		58
12	12	1/8	1/8	2/4	1	1	1/8	1/8	1.0		6	78		59
12	12	1/4	1/4	2/4	1	1	1/8	1/8	1.0		1	79		60
12	12	3/8	3/8	2/4	1	1	1/8	1/8	1.0		8	80		61
13	13	0	0	2/4	2	1	1/4	1/4	1.0		3	57		67
13	13	0	0	2/4	2	1	1/4	1/4	1.0		7	61		67
13	13	0	0	2/4	2	1	1/4	1/4	1.0		1	67		67
13	13	0	0	2/4	1	1	1/8	1/8	1.0		3	81		63
13	13	1/8	1/8	2/4	1	1	1/8	1/8	1.0		7	85		64
13	13	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	57		68
13	13	1/4	1/4	2/4	2	1	1/4	1/4	1.0		7	61		68
13	13	1/4	1/4	2/4	2	1	1/4	1/4	1.0		1	67		68
13	13	1/4	1/4	2/4	1	1	1/8	1/8	1.0		5	83		65
13	13	3/8	3/8	2/4	1	1	1/8	1/8	1.0		3	81		66
14	14	0	0	2/4	2	1	1/2	1/2	1.0		3	57		73
14	14	0	0	2/4	2	1	1/2	1/2	1.0		2	62		73
14	14	0	0	2/4	2	1	1/2	1/2	1.0		6	66		73
14	14	0	0	2/4	1	1	1/8	1/8	1.0		4	88		69
14	14	1/8	1/8	2/4	1	1	1/8	1/8	1.0		2	86		70
14	14	1/4	1/4	2/4	1	1	1/8	1/8	1.0		7	85		71
14	14	3/8	3/8	2/4	1	1	1/8	1/8	1.0		5	83		72
15	15	0	0	2/4	2	1	1/4	1/4	1.0		3	57		78
15	15	0	0	2/4	2	1	1/4	1/4	1.0		7	61		78
15	15	0	0	2/4	2	1	1/4	1/4	1.0		1	67		78
15	15	0	0	2/4	1	1	1/8	1/8	1.0		3	81		74
15	15	1/8	1/8	2/4	1	1	1/8	1/8	1.0		1	79		75
15	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	57		79
15	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		7	61		79
15	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		1	67		79
15	15	1/4	1/4	2/4	1	1	1/8	1/8	1.0		6	78		76
15	15	3/8	3/8	2/4	1	1	1/8	1/8	1.0		4	76		77
16	16	0	0	2/4	2	1	1/4	1/4	1.0		2	62		81
16	16	0	0	2/4	2	1	1/4	1/4	1.0		6	66		81
16	16	0	0	2/4	1	1	1/4	1/4	1.0		2	74		80
